getter,peers,micros,payload,rcv_flag,delay
1,64,1000000,32,0,180
1,64,1000000,32,0,214
1,64,1000000,32,0,217
1,64,1000000,32,0,220
1,64,1000000,32,0,222
1,64,1000000,32,0,225
1,64,1000000,32,0,1150
1,64,1000000,32,0,1188
1,64,1000000,32,0,1191
1,64,1000000,32,0,1194
1,64,1000000,32,0,1197
1,64,1000000,32,0,1200
1,64,1000000,32,0,1297
1,64,1000000,32,0,1310
1,64,1000000,32,0,1314
1,64,1000000,32,0,1317
1,64,1000000,32,0,1320
1,64,1000000,32,0,1323
1,64,1000000,32,0,1325
1,64,1000000,32,0,1328
1,64,1000000,32,0,1330
1,64,1000000,32,0,1332
1,64,1000000,32,0,1335
1,64,1000000,32,0,1337
1,64,1000000,32,0,1340
1,64,1000000,32,0,1342
1,64,1000000,32,0,1345
1,64,1000000,32,0,1348
1,64,1000000,32,0,1350
1,64,1000000,32,0,1353
1,64,1000000,32,0,1356
1,64,1000000,32,0,1359
1,64,1000000,32,0,1361
1,64,1000000,32,0,1364
1,64,1000000,32,0,1366
1,64,1000000,32,0,1369
1,64,1000000,32,0,1372
1,64,1000000,32,0,1374
1,64,1000000,32,0,1383
1,64,1000000,32,0,1386
1,64,1000000,32,0,1389
1,64,1000000,32,0,1392
1,64,1000000,32,0,1394
1,64,1000000,32,0,1397
1,64,1000000,32,0,1400
1,64,1000000,32,0,1402
1,64,1000000,32,0,1405
1,64,1000000,32,0,1408
1,64,1000000,32,0,1412
1,64,1000000,32,0,1415
1,64,1000000,32,0,1417
1,64,1000000,32,0,1420
1,64,1000000,32,0,1423
1,64,1000000,32,0,1425
1,64,1000000,32,0,1428
1,64,1000000,32,0,1431
1,64,1000000,32,0,1434
1,64,1000000,32,0,1436
1,64,1000000,32,0,1439
1,64,1000000,32,0,1442
1,64,1000000,32,0,1444
1,64,1000000,32,0,1447
1,64,1000000,32,0,1449
1,64,1000000,32,0,1452
1,64,1000000,32,0,1454
1,64,1000000,32,0,1456
1,64,1000000,32,0,1458
1,64,1000000,32,0,1460
1,64,1000000,32,0,1462
1,64,1000000,32,0,1463
1,64,1000000,32,0,824
1,64,1000000,32,0,856
1,64,1000000,32,0,1113
1,64,1000000,32,0,1123
1,64,1000000,32,0,1126
1,64,1000000,32,0,1130
1,64,1000000,32,0,1133
1,64,1000000,32,0,1136
1,64,1000000,32,0,1140
1,64,1000000,32,0,1143
1,64,1000000,32,0,1146
1,64,1000000,32,0,1148
1,64,1000000,32,0,1151
1,64,1000000,32,0,1154
1,64,1000000,32,0,1157
1,64,1000000,32,0,1162
1,64,1000000,32,0,1165
1,64,1000000,32,0,1201
1,64,1000000,32,0,1209
1,64,1000000,32,0,1212
1,64,1000000,32,0,1215
1,64,1000000,32,0,1218
1,64,1000000,32,0,1221
1,64,1000000,32,0,1223
1,64,1000000,32,0,1226
1,64,1000000,32,0,1229
1,64,1000000,32,0,1232
1,64,1000000,32,0,1235
1,64,1000000,32,0,1237
1,64,1000000,32,0,1241
1,64,1000000,32,0,1243
1,64,1000000,32,0,1246
1,64,1000000,32,0,1249
1,64,1000000,32,0,1252
1,64,1000000,32,0,1254
1,64,1000000,32,0,1257
1,64,1000000,32,0,1260
1,64,1000000,32,0,1263
1,64,1000000,32,0,1266
1,64,1000000,32,0,1269
1,64,1000000,32,0,1272
1,64,1000000,32,0,1275
1,64,1000000,32,0,1279
1,64,1000000,32,0,1283
1,64,1000000,32,0,1286
1,64,1000000,32,0,1288
1,64,1000000,32,0,1291
1,64,1000000,32,0,1298
1,64,1000000,32,0,1301
1,64,1000000,32,0,1304
1,64,1000000,32,0,1306
1,64,1000000,32,0,1309
1,64,1000000,32,0,1312
1,64,1000000,32,0,1315
1,64,1000000,32,0,1318
1,64,1000000,32,0,1320
1,64,1000000,32,0,1323
1,64,1000000,32,0,1326
1,64,1000000,32,0,1329
1,64,1000000,32,0,1332
1,64,1000000,32,0,1335
1,64,1000000,32,0,1337
1,64,1000000,32,0,1362
1,64,1000000,32,0,1380
1,64,1000000,32,0,957
1,64,1000000,32,0,992
1,64,1000000,32,0,995
1,64,1000000,32,0,999
1,64,1000000,32,0,1002
1,64,1000000,32,0,1005
1,64,1000000,32,0,1008
1,64,1000000,32,0,1011
1,64,1000000,32,0,1013
1,64,1000000,32,0,1016
1,64,1000000,32,0,1019
1,64,1000000,32,0,1022
1,64,1000000,32,0,1024
1,64,1000000,32,0,1027
1,64,1000000,32,0,1030
1,64,1000000,32,0,1033
1,64,1000000,32,0,1036
1,64,1000000,32,0,1039
1,64,1000000,32,0,1041
1,64,1000000,32,0,1044
1,64,1000000,32,0,1046
1,64,1000000,32,0,1049
1,64,1000000,32,0,1052
1,64,1000000,32,0,1108
1,64,1000000,32,0,1116
1,64,1000000,32,0,1120
1,64,1000000,32,0,1122
1,64,1000000,32,0,1125
1,64,1000000,32,0,1128
1,64,1000000,32,0,1130
1,64,1000000,32,0,1133
1,64,1000000,32,0,1137
1,64,1000000,32,0,1140
1,64,1000000,32,0,1143
1,64,1000000,32,0,1146
1,64,1000000,32,0,1149
1,64,1000000,32,0,1152
1,64,1000000,32,0,1156
1,64,1000000,32,0,1159
1,64,1000000,32,0,1163
1,64,1000000,32,0,1166
1,64,1000000,32,0,1169
1,64,1000000,32,0,1172
1,64,1000000,32,0,1189
1,64,1000000,32,0,1192
1,64,1000000,32,0,1195
1,64,1000000,32,0,1198
1,64,1000000,32,0,1237
1,64,1000000,32,0,1243
1,64,1000000,32,0,1291
1,64,1000000,32,0,1297
1,64,1000000,32,0,1300
1,64,1000000,32,0,1304
1,64,1000000,32,0,1307
1,64,1000000,32,0,1309
1,64,1000000,32,0,1312
1,64,1000000,32,0,1321
1,64,1000000,32,0,1325
1,64,1000000,32,0,1328
1,64,1000000,32,0,1331
1,64,1000000,32,0,1334
1,64,1000000,32,0,1337
1,64,1000000,32,0,1340
1,64,1000000,32,0,1349
1,64,1000000,32,0,1114
1,64,1000000,32,0,1154
1,64,1000000,32,0,1158
1,64,1000000,32,0,1161
1,64,1000000,32,0,1164
1,64,1000000,32,0,1167
1,64,1000000,32,0,1170
1,64,1000000,32,0,1173
1,64,1000000,32,0,1176
1,64,1000000,32,0,1179
1,64,1000000,32,0,1181
1,64,1000000,32,0,1185
1,64,1000000,32,0,1187
1,64,1000000,32,0,1190
1,64,1000000,32,0,1193
1,64,1000000,32,0,1200
1,64,1000000,32,0,1202
1,64,1000000,32,0,1205
1,64,1000000,32,0,1207
1,64,1000000,32,0,1210
1,64,1000000,32,0,1212
1,64,1000000,32,0,1217
1,64,1000000,32,0,1219
1,64,1000000,32,0,1222
1,64,1000000,32,0,1225
1,64,1000000,32,0,1228
1,64,1000000,32,0,1231
1,64,1000000,32,0,1233
1,64,1000000,32,0,1236
1,64,1000000,32,0,1239
1,64,1000000,32,0,1241
1,64,1000000,32,0,1244
1,64,1000000,32,0,1247
1,64,1000000,32,0,1250
