getter,peers,micros,payload,rcv_flag,delay
1
2
1,1024,1000000,32,0,490
3
1,1024,1000000,32,0,501
1,1024,1000000,32,0,527
4
1,1024,1000000,32,0,490
1,1024,1000000,32,0,515
1,1024,1000000,32,0,534
5
1,1024,1000000,32,0,483
1,1024,1000000,32,0,504
1,1024,1000000,32,0,506
1,1024,1000000,32,0,508
1,1024,1000000,32,0,573
1,1024,1000000,32,0,596
1,1024,1000000,32,0,598
1,1024,1000000,32,0,600
1,1024,1000000,32,0,602
1,1024,1000000,32,0,552
1,1024,1000000,32,0,574
1,1024,1000000,32,0,578
1,1024,1000000,32,0,580
1,1024,1000000,32,0,582
1,1024,1000000,32,0,538
1,1024,1000000,32,0,563
1,1024,1000000,32,0,568
1,1024,1000000,32,0,570
1,1024,1000000,32,0,571
