getter,peers,micros,payload,rcv_flag,delay
100,100,100000,16,0,229
100,100,100000,16,0,145
100,100,100000,16,0,225
100,100,100000,16,0,169
100,100,100000,16,0,211
100,100,100000,16,0,311
100,100,100000,16,0,918
100,100,100000,16,0,369
100,100,100000,16,0,231
100,100,100000,16,0,226
100,100,100000,16,0,379
100,100,100000,16,0,210
100,100,100000,16,0,752
100,100,100000,16,0,214
100,100,100000,16,0,203
100,100,100000,16,0,181
100,100,100000,16,0,188
100,100,100000,16,0,185
100,100,100000,16,0,166
100,100,100000,16,0,166
100,100,100000,16,0,1079
100,100,100000,16,0,207
100,100,100000,16,0,183
100,100,100000,16,0,363
100,100,100000,16,0,225
100,100,100000,16,0,216
100,100,100000,16,0,390
100,100,100000,16,0,313
100,100,100000,16,0,187
100,100,100000,16,0,194
100,100,100000,16,0,196
100,100,100000,16,0,574
100,100,100000,16,0,505
100,100,100000,16,0,471
100,100,100000,16,0,3083
100,100,100000,16,0,1849
100,100,100000,16,0,1622
100,100,100000,16,0,339
100,100,100000,16,0,421
100,100,100000,16,0,1165
100,100,100000,16,0,195
100,100,100000,16,0,261
100,100,100000,16,0,415
100,100,100000,16,0,508
100,100,100000,16,0,204
100,100,100000,16,0,203
100,100,100000,16,0,213
100,100,100000,16,0,202
100,100,100000,16,0,243
100,100,100000,16,0,220
100,100,100000,16,0,178
100,100,100000,16,0,182
100,100,100000,16,0,217
100,100,100000,16,0,343
100,100,100000,16,0,229
100,100,100000,16,0,252
100,100,100000,16,0,194
100,100,100000,16,0,200
100,100,100000,16,0,198
100,100,100000,16,0,268
100,100,100000,16,0,365
100,100,100000,16,0,230
100,100,100000,16,0,199
100,100,100000,16,0,178
100,100,100000,16,0,2177
100,100,100000,16,0,3950
100,100,100000,16,0,413
100,100,100000,16,0,360
100,100,100000,16,0,431
100,100,100000,16,0,745
100,100,100000,16,0,393
100,100,100000,16,0,490
100,100,100000,16,0,590
100,100,100000,16,0,300
100,100,100000,16,0,267
100,100,100000,16,0,534
100,100,100000,16,0,302
100,100,100000,16,0,210
100,100,100000,16,0,205
100,100,100000,16,0,217
100,100,100000,16,0,994
100,100,100000,16,0,393
100,100,100000,16,0,508
100,100,100000,16,0,1197
100,100,100000,16,0,331
100,100,100000,16,0,252
100,100,100000,16,0,639
100,100,100000,16,0,620
100,100,100000,16,0,691
100,100,100000,16,0,885
100,100,100000,16,0,639
100,100,100000,16,0,221
100,100,100000,16,0,179
100,100,100000,16,0,194
100,100,100000,16,0,219
100,100,100000,16,0,229
100,100,100000,16,0,199
100,100,100000,16,0,202
100,100,100000,16,0,445
100,100,100000,16,0,358
100,100,100000,16,0,584
100,100,100000,16,0,230
100,100,100000,16,0,225
100,100,100000,16,0,210
100,100,100000,16,0,188
100,100,100000,16,0,457
100,100,100000,16,0,1740
100,100,100000,16,0,1332
100,100,100000,16,0,460
100,100,100000,16,0,2530
100,100,100000,16,0,610
100,100,100000,16,0,1401
100,100,100000,16,0,3610
100,100,100000,16,0,572
100,100,100000,16,0,236
100,100,100000,16,0,253
100,100,100000,16,0,255
100,100,100000,16,0,640
100,100,100000,16,0,842
100,100,100000,16,0,249
100,100,100000,16,0,280
100,100,100000,16,0,244
100,100,100000,16,0,248
100,100,100000,16,0,248
100,100,100000,16,0,231
100,100,100000,16,0,212
100,100,100000,16,0,393
100,100,100000,16,0,419
100,100,100000,16,0,612
100,100,100000,16,0,968
100,100,100000,16,0,360
100,100,100000,16,0,2271
100,100,100000,16,0,620
100,100,100000,16,0,739
100,100,100000,16,0,681
100,100,100000,16,0,297
100,100,100000,16,0,224
100,100,100000,16,0,219
100,100,100000,16,0,242
100,100,100000,16,0,247
100,100,100000,16,0,214
100,100,100000,16,0,221
100,100,100000,16,0,196
100,100,100000,16,0,483
100,100,100000,16,0,1759
100,100,100000,16,0,226
100,100,100000,16,0,268
100,100,100000,16,0,218
100,100,100000,16,0,201
100,100,100000,16,0,208
100,100,100000,16,0,254
100,100,100000,16,0,196
100,100,100000,16,0,191
100,100,100000,16,0,239
100,100,100000,16,0,243
100,100,100000,16,0,206
100,100,100000,16,0,223
100,100,100000,16,0,182
100,100,100000,16,0,209
100,100,100000,16,0,209
100,100,100000,16,0,211
100,100,100000,16,0,216
100,100,100000,16,0,239
100,100,100000,16,0,202
100,100,100000,16,0,244
100,100,100000,16,0,269
100,100,100000,16,0,241
100,100,100000,16,0,211
100,100,100000,16,0,239
100,100,100000,16,0,337
100,100,100000,16,0,619
100,100,100000,16,0,237
100,100,100000,16,0,206
100,100,100000,16,0,202
100,100,100000,16,0,223
100,100,100000,16,0,232
100,100,100000,16,0,231
100,100,100000,16,0,257
100,100,100000,16,0,247
100,100,100000,16,0,239
100,100,100000,16,0,242
100,100,100000,16,0,200
100,100,100000,16,0,229
100,100,100000,16,0,218
100,100,100000,16,0,207
100,100,100000,16,0,192
100,100,100000,16,0,214
100,100,100000,16,0,228
100,100,100000,16,0,234
100,100,100000,16,0,231
100,100,100000,16,0,234
100,100,100000,16,0,205
100,100,100000,16,0,187
100,100,100000,16,0,187
100,100,100000,16,0,245
100,100,100000,16,0,251
100,100,100000,16,0,226
100,100,100000,16,0,246
100,100,100000,16,0,209
100,100,100000,16,0,210
100,100,100000,16,0,225
100,100,100000,16,0,267
100,100,100000,16,0,186
100,100,100000,16,0,231
100,100,100000,16,0,206
100,100,100000,16,0,233
100,100,100000,16,0,2063
100,100,100000,16,0,579
100,100,100000,16,0,1774
100,100,100000,16,0,307
