getter,peers,micros,payload,rcv_flag,delay
100,100,10,1048576,0,1528
100,100,10,1048576,0,11311
100,100,10,1048576,0,10292
100,100,10,1048576,0,14368
100,100,10,1048576,0,15638
100,100,10,1048576,0,15814
100,100,10,1048576,0,14678
100,100,10,1048576,0,4808
100,100,10,1048576,0,13504
100,100,10,1048576,0,13314
100,100,10,1048576,0,2906
100,100,10,1048576,0,2026
100,100,10,1048576,0,2603
100,100,10,1048576,0,9899
100,100,10,1048576,0,19269
100,100,10,1048576,0,28659
100,100,10,1048576,0,15606
100,100,10,1048576,0,32597
100,100,10,1048576,0,34068
100,100,10,1048576,0,28363
100,100,10,1048576,0,4335
100,100,10,1048576,0,30182
100,100,10,1048576,0,37788
100,100,10,1048576,0,2473
100,100,10,1048576,0,36637
100,100,10,1048576,0,28363
100,100,10,1048576,0,2939
100,100,10,1048576,0,28242
100,100,10,1048576,0,3777
100,100,10,1048576,0,10614
100,100,10,1048576,0,6879
100,100,10,1048576,0,4538
100,100,10,1048576,0,37855
100,100,10,1048576,0,31927
100,100,10,1048576,0,56220
100,100,10,1048576,0,10583
100,100,10,1048576,0,2845
100,100,10,1048576,0,39452
100,100,10,1048576,0,15621
100,100,10,1048576,0,6864
100,100,10,1048576,0,6021
100,100,10,1048576,0,2925
100,100,10,1048576,0,16811
100,100,10,1048576,0,33504
100,100,10,1048576,0,16509
100,100,10,1048576,0,4280
100,100,10,1048576,0,6793
100,100,10,1048576,0,56191
100,100,10,1048576,0,47489
100,100,10,1048576,0,9196
100,100,10,1048576,0,42306
100,100,10,1048576,0,5399
100,100,10,1048576,0,23239
100,100,10,1048576,0,3062
100,100,10,1048576,0,35159
100,100,10,1048576,0,24259
100,100,10,1048576,0,4077
100,100,10,1048576,0,2068
100,100,10,1048576,0,7353
100,100,10,1048576,0,2394
100,100,10,1048576,0,8638
100,100,10,1048576,0,19261
100,100,10,1048576,0,3035
100,100,10,1048576,0,2433
100,100,10,1048576,0,10882
100,100,10,1048576,0,7270
100,100,10,1048576,0,5375
100,100,10,1048576,0,4242
100,100,10,1048576,0,12906
100,100,10,1048576,0,4519
100,100,10,1048576,0,17532
100,100,10,1048576,0,41755
100,100,10,1048576,0,60640
100,100,10,1048576,0,24100
100,100,10,1048576,0,15107
100,100,10,1048576,0,26170
100,100,10,1048576,0,4349
100,100,10,1048576,0,28127
100,100,10,1048576,0,7965
100,100,10,1048576,0,63912
100,100,10,1048576,0,11890
100,100,10,1048576,0,9983
100,100,10,1048576,0,3631
100,100,10,1048576,0,15146
100,100,10,1048576,0,19759
100,100,10,1048576,0,12985
100,100,10,1048576,0,28824
100,100,10,1048576,0,15690
100,100,10,1048576,0,2295
100,100,10,1048576,0,28549
100,100,10,1048576,0,1448
100,100,10,1048576,0,6026
100,100,10,1048576,0,79474
100,100,10,1048576,0,2027
100,100,10,1048576,0,3214
100,100,10,1048576,0,6004
100,100,10,1048576,0,33654
100,100,10,1048576,0,100979
100,100,10,1048576,0,4378
100,100,10,1048576,0,27140
100,100,10,1048576,0,13225
100,100,10,1048576,0,58541
100,100,10,1048576,0,8648
100,100,10,1048576,0,41880
100,100,10,1048576,0,12638
100,100,10,1048576,0,1801
100,100,10,1048576,0,13391
100,100,10,1048576,0,2768
100,100,10,1048576,0,39575
100,100,10,1048576,0,12125
100,100,10,1048576,0,36192
100,100,10,1048576,0,47239
100,100,10,1048576,0,40982
100,100,10,1048576,0,18530
100,100,10,1048576,0,42070
100,100,10,1048576,0,92966
100,100,10,1048576,0,31893
100,100,10,1048576,0,18987
100,100,10,1048576,0,3491
100,100,10,1048576,0,22601
100,100,10,1048576,0,16682
100,100,10,1048576,0,52455
100,100,10,1048576,0,6342
100,100,10,1048576,0,16750
100,100,10,1048576,0,72514
100,100,10,1048576,0,4734
100,100,10,1048576,0,2721
100,100,10,1048576,0,8318
100,100,10,1048576,0,7236
100,100,10,1048576,0,3044
100,100,10,1048576,0,15317
100,100,10,1048576,0,29707
100,100,10,1048576,0,76805
100,100,10,1048576,0,57698
100,100,10,1048576,0,27810
100,100,10,1048576,0,62607
100,100,10,1048576,0,52559
100,100,10,1048576,0,56702
100,100,10,1048576,0,3521
100,100,10,1048576,0,17754
100,100,10,1048576,0,5196
100,100,10,1048576,0,5498
100,100,10,1048576,0,14411
100,100,10,1048576,0,5384
100,100,10,1048576,0,75375
100,100,10,1048576,0,6375
100,100,10,1048576,0,107415
100,100,10,1048576,0,21301
100,100,10,1048576,0,54696
100,100,10,1048576,0,41403
100,100,10,1048576,0,2273
100,100,10,1048576,0,11750
100,100,10,1048576,0,23228
100,100,10,1048576,0,11015
100,100,10,1048576,0,119303
100,100,10,1048576,0,3693
100,100,10,1048576,0,6486
100,100,10,1048576,0,12254
100,100,10,1048576,0,13646
100,100,10,1048576,0,41791
100,100,10,1048576,0,70499
100,100,10,1048576,0,3577
100,100,10,1048576,0,2724
100,100,10,1048576,0,3814
100,100,10,1048576,0,38329
100,100,10,1048576,0,8227
100,100,10,1048576,0,4660
100,100,10,1048576,0,26007
100,100,10,1048576,0,44909
100,100,10,1048576,0,23343
100,100,10,1048576,0,8879
100,100,10,1048576,0,6485
100,100,10,1048576,0,19793
100,100,10,1048576,0,54745
100,100,10,1048576,0,23781
100,100,10,1048576,0,13416
100,100,10,1048576,0,40485
100,100,10,1048576,0,30909
100,100,10,1048576,0,12653
100,100,10,1048576,0,48521
100,100,10,1048576,0,2179
100,100,10,1048576,0,34750
100,100,10,1048576,0,1715
100,100,10,1048576,0,55059
100,100,10,1048576,0,8021
100,100,10,1048576,0,40217
100,100,10,1048576,0,2664
100,100,10,1048576,0,2230
100,100,10,1048576,0,90179
100,100,10,1048576,0,10246
100,100,10,1048576,0,7718
100,100,10,1048576,0,44156
100,100,10,1048576,0,6807
100,100,10,1048576,0,10085
