getter,peers,micros,payload,rcv_flag,delay
100,100,10000,4096,0,193
100,100,10000,4096,0,744
100,100,10000,4096,0,211
100,100,10000,4096,0,193
100,100,10000,4096,0,211
100,100,10000,4096,0,198
100,100,10000,4096,0,215
100,100,10000,4096,0,167
100,100,10000,4096,0,206
100,100,10000,4096,0,402
100,100,10000,4096,0,1450
100,100,10000,4096,0,184
100,100,10000,4096,0,154
100,100,10000,4096,0,209
100,100,10000,4096,0,249
100,100,10000,4096,0,160
100,100,10000,4096,0,181
100,100,10000,4096,0,164
100,100,10000,4096,0,556
100,100,10000,4096,0,184
100,100,10000,4096,0,210
100,100,10000,4096,0,215
100,100,10000,4096,0,179
100,100,10000,4096,0,297
100,100,10000,4096,0,1149
100,100,10000,4096,0,457
100,100,10000,4096,0,2514
100,100,10000,4096,0,1003
100,100,10000,4096,0,2605
100,100,10000,4096,0,534
100,100,10000,4096,0,326
100,100,10000,4096,0,330
100,100,10000,4096,0,3123
100,100,10000,4096,0,239
100,100,10000,4096,0,1838
100,100,10000,4096,0,186
100,100,10000,4096,0,183
100,100,10000,4096,0,199
100,100,10000,4096,0,185
100,100,10000,4096,0,208
100,100,10000,4096,0,183
100,100,10000,4096,0,159
100,100,10000,4096,0,255
100,100,10000,4096,0,209
100,100,10000,4096,0,234
100,100,10000,4096,0,326
100,100,10000,4096,0,326
100,100,10000,4096,0,355
100,100,10000,4096,0,275
100,100,10000,4096,0,836
100,100,10000,4096,0,1605
100,100,10000,4096,0,434
100,100,10000,4096,0,1446
100,100,10000,4096,0,389
100,100,10000,4096,0,268
100,100,10000,4096,0,504
100,100,10000,4096,0,315
100,100,10000,4096,0,2585
100,100,10000,4096,0,263
100,100,10000,4096,0,1501
100,100,10000,4096,0,3534
100,100,10000,4096,0,2714
100,100,10000,4096,0,2238
100,100,10000,4096,0,177
100,100,10000,4096,0,206
100,100,10000,4096,0,208
100,100,10000,4096,0,198
100,100,10000,4096,0,189
100,100,10000,4096,0,600
100,100,10000,4096,0,173
100,100,10000,4096,0,218
100,100,10000,4096,0,188
100,100,10000,4096,0,175
100,100,10000,4096,0,245
100,100,10000,4096,0,237
100,100,10000,4096,0,375
100,100,10000,4096,0,1366
100,100,10000,4096,0,510
100,100,10000,4096,0,456
100,100,10000,4096,0,199
100,100,10000,4096,0,196
100,100,10000,4096,0,202
100,100,10000,4096,0,256
100,100,10000,4096,0,294
100,100,10000,4096,0,768
100,100,10000,4096,0,314
100,100,10000,4096,0,787
100,100,10000,4096,0,346
100,100,10000,4096,0,198
100,100,10000,4096,0,221
100,100,10000,4096,0,271
100,100,10000,4096,0,187
100,100,10000,4096,0,213
100,100,10000,4096,0,188
100,100,10000,4096,0,204
100,100,10000,4096,0,184
100,100,10000,4096,0,229
100,100,10000,4096,0,169
100,100,10000,4096,0,206
100,100,10000,4096,0,208
100,100,10000,4096,0,184
100,100,10000,4096,0,204
100,100,10000,4096,0,214
