getter,peers,micros,payload,rcv_flag,delay
100,100,1,4096,0,1704
100,100,1,4096,0,1167
100,100,1,4096,0,2335
100,100,1,4096,0,740
100,100,1,4096,0,2740
100,100,1,4096,0,2949
100,100,1,4096,0,4858
100,100,1,4096,0,2680
100,100,1,4096,0,1271
100,100,1,4096,0,434
100,100,1,4096,0,5421
100,100,1,4096,0,512
100,100,1,4096,0,634
100,100,1,4096,0,528
100,100,1,4096,0,542
100,100,1,4096,0,603
100,100,1,4096,0,6582
100,100,1,4096,0,5866
100,100,1,4096,0,1115
100,100,1,4096,0,634
100,100,1,4096,0,1625
100,100,1,4096,0,1188
100,100,1,4096,0,4789
100,100,1,4096,0,1382
100,100,1,4096,0,1027
100,100,1,4096,0,5158
100,100,1,4096,0,4904
100,100,1,4096,0,1466
100,100,1,4096,0,4064
100,100,1,4096,0,1328
100,100,1,4096,0,2178
100,100,1,4096,0,3049
100,100,1,4096,0,1578
100,100,1,4096,0,8005
100,100,1,4096,0,2610
100,100,1,4096,0,367
100,100,1,4096,0,1048
100,100,1,4096,0,1072
100,100,1,4096,0,3377
100,100,1,4096,0,9593
100,100,1,4096,0,1088
100,100,1,4096,0,2524
100,100,1,4096,0,1515
100,100,1,4096,0,324
100,100,1,4096,0,7442
100,100,1,4096,0,2913
100,100,1,4096,0,852
100,100,1,4096,0,934
100,100,1,4096,0,10954
100,100,1,4096,0,1351
100,100,1,4096,0,621
100,100,1,4096,0,326
100,100,1,4096,0,783
100,100,1,4096,0,720
100,100,1,4096,0,589
100,100,1,4096,0,731
100,100,1,4096,0,485
100,100,1,4096,0,1557
100,100,1,4096,0,1953
100,100,1,4096,0,2125
100,100,1,4096,0,556
100,100,1,4096,0,255
100,100,1,4096,0,6192
100,100,1,4096,0,328
100,100,1,4096,0,1035
100,100,1,4096,0,1343
100,100,1,4096,0,480
100,100,1,4096,0,1154
100,100,1,4096,0,2600
100,100,1,4096,0,6833
100,100,1,4096,0,3080
100,100,1,4096,0,227
100,100,1,4096,0,4368
100,100,1,4096,0,7414
100,100,1,4096,0,8209
100,100,1,4096,0,10569
100,100,1,4096,0,278
100,100,1,4096,0,2166
100,100,1,4096,0,1228
100,100,1,4096,0,9624
100,100,1,4096,0,779
100,100,1,4096,0,1985
100,100,1,4096,0,457
100,100,1,4096,0,816
100,100,1,4096,0,2122
100,100,1,4096,0,2449
100,100,1,4096,0,2469
100,100,1,4096,0,298
100,100,1,4096,0,3030
100,100,1,4096,0,7889
100,100,1,4096,0,6842
100,100,1,4096,0,1979
100,100,1,4096,0,3253
100,100,1,4096,0,2445
100,100,1,4096,0,5319
100,100,1,4096,0,8638
100,100,1,4096,0,3053
100,100,1,4096,0,11977
100,100,1,4096,0,1442
100,100,1,4096,0,466
100,100,1,4096,0,440
100,100,1,4096,0,280
100,100,1,4096,0,1329
100,100,1,4096,0,1790
100,100,1,4096,0,1553
100,100,1,4096,0,9790
100,100,1,4096,0,455
100,100,1,4096,0,896
100,100,1,4096,0,1602
100,100,1,4096,0,4010
100,100,1,4096,0,1584
100,100,1,4096,0,12548
100,100,1,4096,0,2656
100,100,1,4096,0,391
100,100,1,4096,0,697
100,100,1,4096,0,638
100,100,1,4096,0,4769
100,100,1,4096,0,9944
100,100,1,4096,0,820
100,100,1,4096,0,2797
100,100,1,4096,0,684
100,100,1,4096,0,4449
100,100,1,4096,0,1131
100,100,1,4096,0,709
100,100,1,4096,0,5052
100,100,1,4096,0,4787
100,100,1,4096,0,361
100,100,1,4096,0,2050
100,100,1,4096,0,3904
100,100,1,4096,0,5107
100,100,1,4096,0,3203
100,100,1,4096,0,3273
100,100,1,4096,0,404
100,100,1,4096,0,3450
100,100,1,4096,0,584
100,100,1,4096,0,505
100,100,1,4096,0,14774
100,100,1,4096,0,716
100,100,1,4096,0,2211
100,100,1,4096,0,2954
100,100,1,4096,0,5004
100,100,1,4096,0,11582
100,100,1,4096,0,23175
100,100,1,4096,0,3794
100,100,1,4096,0,331
100,100,1,4096,0,1002
100,100,1,4096,0,939
100,100,1,4096,0,4621
100,100,1,4096,0,2610
100,100,1,4096,0,5576
100,100,1,4096,0,754
100,100,1,4096,0,23695
100,100,1,4096,0,9125
100,100,1,4096,0,602
100,100,1,4096,0,870
100,100,1,4096,0,7287
100,100,1,4096,0,1564
100,100,1,4096,0,7017
100,100,1,4096,0,706
100,100,1,4096,0,5365
100,100,1,4096,0,1274
100,100,1,4096,0,386
100,100,1,4096,0,881
100,100,1,4096,0,6002
100,100,1,4096,0,3287
100,100,1,4096,0,1012
100,100,1,4096,0,29082
100,100,1,4096,0,277
100,100,1,4096,0,423
100,100,1,4096,0,1236
100,100,1,4096,0,2477
100,100,1,4096,0,1096
100,100,1,4096,0,6354
100,100,1,4096,0,5728
100,100,1,4096,0,5609
100,100,1,4096,0,1717
100,100,1,4096,0,501
100,100,1,4096,0,342
100,100,1,4096,0,853
100,100,1,4096,0,2953
100,100,1,4096,0,270
100,100,1,4096,0,7424
100,100,1,4096,0,1395
100,100,1,4096,0,591
100,100,1,4096,0,11272
100,100,1,4096,0,11762
100,100,1,4096,0,280
100,100,1,4096,0,3033
100,100,1,4096,0,1881
100,100,1,4096,0,183
100,100,1,4096,0,654
100,100,1,4096,0,385
100,100,1,4096,0,1758
100,100,1,4096,0,374
100,100,1,4096,0,2510
100,100,1,4096,0,6967
100,100,1,4096,0,255
100,100,1,4096,0,3795
100,100,1,4096,0,542
100,100,1,4096,0,7279
100,100,1,4096,0,303
100,100,1,4096,0,16703
100,100,1,4096,0,2226
100,100,1,4096,0,13623
100,100,1,4096,0,8089
100,100,1,4096,0,3798
100,100,1,4096,0,1817
100,100,1,4096,0,9720
100,100,1,4096,0,544
100,100,1,4096,0,10906
100,100,1,4096,0,4216
100,100,1,4096,0,4634
100,100,1,4096,0,1825
100,100,1,4096,0,4424
100,100,1,4096,0,405
100,100,1,4096,0,971
100,100,1,4096,0,16154
100,100,1,4096,0,11306
100,100,1,4096,0,2616
100,100,1,4096,0,562
100,100,1,4096,0,6916
100,100,1,4096,0,9147
100,100,1,4096,0,7410
100,100,1,4096,0,6691
100,100,1,4096,0,1590
100,100,1,4096,0,10621
100,100,1,4096,0,3729
100,100,1,4096,0,504
100,100,1,4096,0,3054
100,100,1,4096,0,776
100,100,1,4096,0,5439
100,100,1,4096,0,3555
100,100,1,4096,0,2753
100,100,1,4096,0,892
100,100,1,4096,0,2221
100,100,1,4096,0,1286
100,100,1,4096,0,1230
100,100,1,4096,0,390
100,100,1,4096,0,674
100,100,1,4096,0,5361
100,100,1,4096,0,415
100,100,1,4096,0,2695
100,100,1,4096,0,4255
100,100,1,4096,0,2646
100,100,1,4096,0,863
100,100,1,4096,0,274
100,100,1,4096,0,1193
100,100,1,4096,0,2705
100,100,1,4096,0,987
100,100,1,4096,0,12377
100,100,1,4096,0,41732
100,100,1,4096,0,311
100,100,1,4096,0,1465
100,100,1,4096,0,2222
100,100,1,4096,0,1148
100,100,1,4096,0,2317
100,100,1,4096,0,1556
100,100,1,4096,0,443
100,100,1,4096,0,425
100,100,1,4096,0,832
100,100,1,4096,0,448
100,100,1,4096,0,572
100,100,1,4096,0,476
100,100,1,4096,0,963
100,100,1,4096,0,5716
100,100,1,4096,0,305
100,100,1,4096,0,764
100,100,1,4096,0,472
100,100,1,4096,0,430
100,100,1,4096,0,300
100,100,1,4096,0,565
100,100,1,4096,0,321
100,100,1,4096,0,12129
100,100,1,4096,0,1495
100,100,1,4096,0,2575
100,100,1,4096,0,3907
100,100,1,4096,0,5387
100,100,1,4096,0,851
100,100,1,4096,0,2817
100,100,1,4096,0,1463
100,100,1,4096,0,4417
100,100,1,4096,0,22054
100,100,1,4096,0,6786
100,100,1,4096,0,7149
100,100,1,4096,0,1305
100,100,1,4096,0,819
100,100,1,4096,0,11211
100,100,1,4096,0,8146
100,100,1,4096,0,567
100,100,1,4096,0,743
100,100,1,4096,0,4251
100,100,1,4096,0,245
100,100,1,4096,0,10428
100,100,1,4096,0,264
100,100,1,4096,0,2874
100,100,1,4096,0,286
100,100,1,4096,0,6600
100,100,1,4096,0,2673
100,100,1,4096,0,360
100,100,1,4096,0,7798
100,100,1,4096,0,10562
100,100,1,4096,0,10199
100,100,1,4096,0,448
100,100,1,4096,0,1863
100,100,1,4096,0,1546
100,100,1,4096,0,1244
100,100,1,4096,0,623
100,100,1,4096,0,4041
100,100,1,4096,0,1518
100,100,1,4096,0,60855
100,100,1,4096,0,5118
100,100,1,4096,0,13666
100,100,1,4096,0,3771
100,100,1,4096,0,17541
100,100,1,4096,0,18082
100,100,1,4096,0,335
100,100,1,4096,0,23476
100,100,1,4096,0,14456
100,100,1,4096,0,4850
100,100,1,4096,0,719
100,100,1,4096,0,359
100,100,1,4096,0,17677
100,100,1,4096,0,7694
100,100,1,4096,0,2355
100,100,1,4096,0,19625
100,100,1,4096,0,1722
100,100,1,4096,0,276
100,100,1,4096,0,271
100,100,1,4096,0,1303
100,100,1,4096,0,295
100,100,1,4096,0,320
100,100,1,4096,0,495
100,100,1,4096,0,1494
100,100,1,4096,0,303
100,100,1,4096,0,727
100,100,1,4096,0,6248
100,100,1,4096,0,966
100,100,1,4096,0,37562
100,100,1,4096,0,22776
100,100,1,4096,0,329
100,100,1,4096,0,584
100,100,1,4096,0,11247
100,100,1,4096,0,24408
100,100,1,4096,0,10913
100,100,1,4096,0,341
100,100,1,4096,0,29687
100,100,1,4096,0,3852
100,100,1,4096,0,22815
100,100,1,4096,0,520
100,100,1,4096,0,5323
100,100,1,4096,0,371
100,100,1,4096,0,325
100,100,1,4096,0,18817
100,100,1,4096,0,40695
100,100,1,4096,0,272
100,100,1,4096,0,19213
100,100,1,4096,0,44921
100,100,1,4096,0,44993
100,100,1,4096,0,9781
100,100,1,4096,0,3757
100,100,1,4096,0,1166
100,100,1,4096,0,469
100,100,1,4096,0,4322
100,100,1,4096,0,1428
100,100,1,4096,0,823
100,100,1,4096,0,2854
100,100,1,4096,0,533
100,100,1,4096,0,3910
100,100,1,4096,0,3531
