getter,peers,micros,payload,rcv_flag,delay
100,100,10,4,0,1430
100,100,10,4,0,320
100,100,10,4,0,2703
100,100,10,4,0,432
100,100,10,4,0,416
100,100,10,4,0,1073
100,100,10,4,0,489
100,100,10,4,0,881
100,100,10,4,0,264
100,100,10,4,0,2563
100,100,10,4,0,448
100,100,10,4,0,948
100,100,10,4,0,880
100,100,10,4,0,2264
100,100,10,4,0,1273
100,100,10,4,0,2020
100,100,10,4,0,413
100,100,10,4,0,854
100,100,10,4,0,3586
100,100,10,4,0,4071
100,100,10,4,0,234
100,100,10,4,0,485
100,100,10,4,0,2104
100,100,10,4,0,793
100,100,10,4,0,5710
100,100,10,4,0,331
100,100,10,4,0,862
100,100,10,4,0,474
100,100,10,4,0,509
100,100,10,4,0,462
100,100,10,4,0,12659
100,100,10,4,0,871
100,100,10,4,0,1306
100,100,10,4,0,2554
100,100,10,4,0,889
100,100,10,4,0,292
100,100,10,4,0,1188
100,100,10,4,0,623
100,100,10,4,0,1006
100,100,10,4,0,8624
100,100,10,4,0,2581
100,100,10,4,0,515
100,100,10,4,0,4725
100,100,10,4,0,2265
100,100,10,4,0,687
100,100,10,4,0,538
100,100,10,4,0,845
100,100,10,4,0,1379
100,100,10,4,0,4436
100,100,10,4,0,1290
100,100,10,4,0,2285
100,100,10,4,0,943
100,100,10,4,0,716
100,100,10,4,0,281
100,100,10,4,0,3247
100,100,10,4,0,2348
100,100,10,4,0,1158
100,100,10,4,0,8056
100,100,10,4,0,296
100,100,10,4,0,4553
100,100,10,4,0,251
100,100,10,4,0,461
100,100,10,4,0,1483
100,100,10,4,0,455
100,100,10,4,0,203
100,100,10,4,0,1029
100,100,10,4,0,6912
100,100,10,4,0,1077
100,100,10,4,0,263
100,100,10,4,0,305
100,100,10,4,0,5146
100,100,10,4,0,1235
100,100,10,4,0,4127
100,100,10,4,0,1595
100,100,10,4,0,2899
100,100,10,4,0,4227
100,100,10,4,0,5344
100,100,10,4,0,1075
100,100,10,4,0,2842
100,100,10,4,0,1424
100,100,10,4,0,2418
100,100,10,4,0,2642
100,100,10,4,0,6886
100,100,10,4,0,6800
100,100,10,4,0,1284
100,100,10,4,0,5315
100,100,10,4,0,730
100,100,10,4,0,4327
100,100,10,4,0,565
100,100,10,4,0,5106
100,100,10,4,0,2496
100,100,10,4,0,31624
100,100,10,4,0,2821
100,100,10,4,0,7737
100,100,10,4,0,3220
100,100,10,4,0,1036
100,100,10,4,0,1107
100,100,10,4,0,395
100,100,10,4,0,419
100,100,10,4,0,817
100,100,10,4,0,512
100,100,10,4,0,364
100,100,10,4,0,304
100,100,10,4,0,6008
100,100,10,4,0,1469
100,100,10,4,0,249
100,100,10,4,0,508
100,100,10,4,0,1654
100,100,10,4,0,421
100,100,10,4,0,3327
100,100,10,4,0,640
100,100,10,4,0,340
100,100,10,4,0,297
100,100,10,4,0,1081
100,100,10,4,0,7685
100,100,10,4,0,347
100,100,10,4,0,13391
100,100,10,4,0,1355
100,100,10,4,0,1740
100,100,10,4,0,838
100,100,10,4,0,777
100,100,10,4,0,496
100,100,10,4,0,7520
100,100,10,4,0,1554
100,100,10,4,0,616
100,100,10,4,0,355
100,100,10,4,0,2863
100,100,10,4,0,2609
100,100,10,4,0,1827
100,100,10,4,0,1406
100,100,10,4,0,301
100,100,10,4,0,1191
100,100,10,4,0,256
100,100,10,4,0,2099
100,100,10,4,0,517
100,100,10,4,0,1601
100,100,10,4,0,3859
100,100,10,4,0,3129
100,100,10,4,0,3448
100,100,10,4,0,175
100,100,10,4,0,2162
100,100,10,4,0,807
100,100,10,4,0,5777
100,100,10,4,0,763
100,100,10,4,0,1710
100,100,10,4,0,4105
100,100,10,4,0,274
100,100,10,4,0,597
100,100,10,4,0,7345
100,100,10,4,0,198
100,100,10,4,0,843
100,100,10,4,0,1220
100,100,10,4,0,5947
100,100,10,4,0,1469
100,100,10,4,0,2885
100,100,10,4,0,894
100,100,10,4,0,2131
100,100,10,4,0,3114
100,100,10,4,0,3802
100,100,10,4,0,1794
100,100,10,4,0,403
100,100,10,4,0,512
100,100,10,4,0,5243
100,100,10,4,0,1399
