getter,peers,micros,payload,rcv_flag,delay
100,100,0,512,0,2884
100,100,0,512,0,899
100,100,0,512,0,4296
100,100,0,512,0,1315
100,100,0,512,0,1378
100,100,0,512,0,453
100,100,0,512,0,11126
100,100,0,512,0,11002
100,100,0,512,0,3379
100,100,0,512,0,661
100,100,0,512,0,3698
100,100,0,512,0,2258
100,100,0,512,0,1399
100,100,0,512,0,1769
100,100,0,512,0,424
100,100,0,512,0,8441
100,100,0,512,0,3821
100,100,0,512,0,4695
100,100,0,512,0,1072
100,100,0,512,0,6678
100,100,0,512,0,379
100,100,0,512,0,1193
100,100,0,512,0,23884
100,100,0,512,0,984
100,100,0,512,0,5939
100,100,0,512,0,17382
100,100,0,512,0,16534
100,100,0,512,0,7980
100,100,0,512,0,452
100,100,0,512,0,6296
100,100,0,512,0,17255
100,100,0,512,0,369
100,100,0,512,0,18338
100,100,0,512,0,18695
100,100,0,512,0,3790
100,100,0,512,0,359
100,100,0,512,0,28077
100,100,0,512,0,3024
100,100,0,512,0,16281
100,100,0,512,0,1198
100,100,0,512,0,1791
100,100,0,512,0,1655
100,100,0,512,0,446
100,100,0,512,0,437
100,100,0,512,0,4474
100,100,0,512,0,1516
100,100,0,512,0,8868
100,100,0,512,0,2132
100,100,0,512,0,24028
100,100,0,512,0,6984
100,100,0,512,0,14907
100,100,0,512,0,32085
100,100,0,512,0,28575
100,100,0,512,0,11302
100,100,0,512,0,6308
100,100,0,512,0,21959
100,100,0,512,0,2237
100,100,0,512,0,3235
100,100,0,512,0,8581
100,100,0,512,0,5628
100,100,0,512,0,22542
100,100,0,512,0,30181
100,100,0,512,0,9185
100,100,0,512,0,5328
100,100,0,512,0,6854
100,100,0,512,0,2744
100,100,0,512,0,14845
100,100,0,512,0,13161
100,100,0,512,0,12520
100,100,0,512,0,42318
100,100,0,512,0,25786
100,100,0,512,0,14377
100,100,0,512,0,6145
100,100,0,512,0,29418
100,100,0,512,0,8481
100,100,0,512,0,2498
100,100,0,512,0,20528
100,100,0,512,0,23093
100,100,0,512,0,42307
100,100,0,512,0,2847
100,100,0,512,0,38141
100,100,0,512,0,12307
100,100,0,512,0,45790
100,100,0,512,0,13649
100,100,0,512,0,18273
100,100,0,512,0,29531
100,100,0,512,0,21439
100,100,0,512,0,10791
100,100,0,512,0,17541
100,100,0,512,0,16974
100,100,0,512,0,11131
100,100,0,512,0,576
100,100,0,512,0,3691
100,100,0,512,0,4120
100,100,0,512,0,9889
100,100,0,512,0,462
100,100,0,512,0,10355
100,100,0,512,0,3903
100,100,0,512,0,11502
100,100,0,512,0,4292
100,100,0,512,0,412
100,100,0,512,0,9462
100,100,0,512,0,8212
100,100,0,512,0,8555
100,100,0,512,0,34282
100,100,0,512,0,3810
100,100,0,512,0,487
100,100,0,512,0,14896
100,100,0,512,0,1644
100,100,0,512,0,456
100,100,0,512,0,481
100,100,0,512,0,780
100,100,0,512,0,16021
100,100,0,512,0,16006
100,100,0,512,0,1665
100,100,0,512,0,460
100,100,0,512,0,8664
100,100,0,512,0,2890
100,100,0,512,0,3861
100,100,0,512,0,35148
100,100,0,512,0,51754
100,100,0,512,0,502
100,100,0,512,0,5739
100,100,0,512,0,324
100,100,0,512,0,664
100,100,0,512,0,10462
100,100,0,512,0,21148
100,100,0,512,0,2702
100,100,0,512,0,2315
100,100,0,512,0,2929
100,100,0,512,0,1182
100,100,0,512,0,970
100,100,0,512,0,564
100,100,0,512,0,2247
100,100,0,512,0,40903
100,100,0,512,0,251
100,100,0,512,0,8758
100,100,0,512,0,18736
100,100,0,512,0,1124
100,100,0,512,0,2249
100,100,0,512,0,2633
100,100,0,512,0,830
100,100,0,512,0,250
100,100,0,512,0,2898
100,100,0,512,0,5294
100,100,0,512,0,17965
100,100,0,512,0,2697
100,100,0,512,0,1475
100,100,0,512,0,604
100,100,0,512,0,6027
100,100,0,512,0,3710
100,100,0,512,0,358
100,100,0,512,0,2346
100,100,0,512,0,7622
100,100,0,512,0,5466
100,100,0,512,0,7490
100,100,0,512,0,12379
100,100,0,512,0,1305
100,100,0,512,0,10865
100,100,0,512,0,488
100,100,0,512,0,42883
100,100,0,512,0,64103
100,100,0,512,0,1059
100,100,0,512,0,49649
100,100,0,512,0,3025
100,100,0,512,0,6732
100,100,0,512,0,1245
100,100,0,512,0,10938
100,100,0,512,0,405
100,100,0,512,0,1814
100,100,0,512,0,10124
100,100,0,512,0,1184
100,100,0,512,0,451
100,100,0,512,0,43533
100,100,0,512,0,1318
100,100,0,512,0,2195
100,100,0,512,0,35329
100,100,0,512,0,15048
100,100,0,512,0,7590
100,100,0,512,0,5054
100,100,0,512,0,726
100,100,0,512,0,32674
100,100,0,512,0,57744
100,100,0,512,0,3185
100,100,0,512,0,28531
100,100,0,512,0,1566
100,100,0,512,0,227
100,100,0,512,0,4497
100,100,0,512,0,10322
100,100,0,512,0,6222
100,100,0,512,0,6511
100,100,0,512,0,13584
100,100,0,512,0,1093
100,100,0,512,0,58406
100,100,0,512,0,681
100,100,0,512,0,504
100,100,0,512,0,32884
100,100,0,512,0,14874
100,100,0,512,0,44002
100,100,0,512,0,17828
100,100,0,512,0,317
100,100,0,512,0,44081
100,100,0,512,0,191
100,100,0,512,0,2108
100,100,0,512,0,12454
100,100,0,512,0,350
100,100,0,512,0,20688
100,100,0,512,0,6722
100,100,0,512,0,13775
100,100,0,512,0,419
100,100,0,512,0,9812
100,100,0,512,0,24400
100,100,0,512,0,23587
100,100,0,512,0,9477
100,100,0,512,0,19343
100,100,0,512,0,2589
100,100,0,512,0,2634
100,100,0,512,0,40885
100,100,0,512,0,10811
100,100,0,512,0,925
100,100,0,512,0,7844
100,100,0,512,0,21641
100,100,0,512,0,14248
100,100,0,512,0,1098
100,100,0,512,0,22788
100,100,0,512,0,21826
100,100,0,512,0,331
100,100,0,512,0,2491
100,100,0,512,0,29784
100,100,0,512,0,728
100,100,0,512,0,785
100,100,0,512,0,411
100,100,0,512,0,9350
100,100,0,512,0,314
100,100,0,512,0,27558
100,100,0,512,0,390
100,100,0,512,0,2074
100,100,0,512,0,4674
100,100,0,512,0,28145
100,100,0,512,0,6492
100,100,0,512,0,2686
100,100,0,512,0,502
100,100,0,512,0,3468
100,100,0,512,0,4500
100,100,0,512,0,6626
100,100,0,512,0,3298
100,100,0,512,0,3795
100,100,0,512,0,1381
100,100,0,512,0,225
100,100,0,512,0,12362
100,100,0,512,0,261
100,100,0,512,0,879
100,100,0,512,0,356
100,100,0,512,0,17422
100,100,0,512,0,747
100,100,0,512,0,714
100,100,0,512,0,4144
100,100,0,512,0,364
100,100,0,512,0,17728
100,100,0,512,0,410
100,100,0,512,0,4071
100,100,0,512,0,2643
100,100,0,512,0,3803
100,100,0,512,0,22476
100,100,0,512,0,6433
100,100,0,512,0,1356
100,100,0,512,0,515
100,100,0,512,0,509
100,100,0,512,0,621
100,100,0,512,0,2769
100,100,0,512,0,622
100,100,0,512,0,440
100,100,0,512,0,58159
100,100,0,512,0,4237
100,100,0,512,0,80223
100,100,0,512,0,3968
100,100,0,512,0,780
100,100,0,512,0,3536
100,100,0,512,0,29931
100,100,0,512,0,7199
100,100,0,512,0,15133
100,100,0,512,0,1072
100,100,0,512,0,4770
100,100,0,512,0,1155
100,100,0,512,0,1771
100,100,0,512,0,1468
100,100,0,512,0,4421
100,100,0,512,0,732
100,100,0,512,0,226
100,100,0,512,0,264
100,100,0,512,0,4152
100,100,0,512,0,705
100,100,0,512,0,615
100,100,0,512,0,974
100,100,0,512,0,447
100,100,0,512,0,36518
100,100,0,512,0,369
100,100,0,512,0,672
100,100,0,512,0,455
100,100,0,512,0,1120
100,100,0,512,0,52391
100,100,0,512,0,397
100,100,0,512,0,1014
100,100,0,512,0,469
100,100,0,512,0,745
100,100,0,512,0,555
100,100,0,512,0,1085
100,100,0,512,0,319
100,100,0,512,0,8750
100,100,0,512,0,549
100,100,0,512,0,317
100,100,0,512,0,388
100,100,0,512,0,913
100,100,0,512,0,4490
100,100,0,512,0,660
100,100,0,512,0,737
100,100,0,512,0,2961
100,100,0,512,0,277
100,100,0,512,0,7133
100,100,0,512,0,244
100,100,0,512,0,2851
100,100,0,512,0,1049
100,100,0,512,0,4078
100,100,0,512,0,535
100,100,0,512,0,846
100,100,0,512,0,422
100,100,0,512,0,3134
100,100,0,512,0,705
100,100,0,512,0,2890
100,100,0,512,0,1239
100,100,0,512,0,1517
100,100,0,512,0,2517
100,100,0,512,0,878
100,100,0,512,0,11038
100,100,0,512,0,299
100,100,0,512,0,2689
100,100,0,512,0,687
100,100,0,512,0,670
100,100,0,512,0,1727
100,100,0,512,0,8818
100,100,0,512,0,547
100,100,0,512,0,1481
100,100,0,512,0,932
100,100,0,512,0,2115
100,100,0,512,0,614
100,100,0,512,0,1013
100,100,0,512,0,550
100,100,0,512,0,967
100,100,0,512,0,8495
100,100,0,512,0,269
