getter,peers,micros,payload,rcv_flag,delay
10,10,10000,33554432,0,38370
10,10,10000,33554432,0,54892
10,10,10000,33554432,0,58874
10,10,10000,33554432,0,70645
10,10,10000,33554432,0,51843
10,10,10000,33554432,0,49481
10,10,10000,33554432,0,88510
10,10,10000,33554432,0,106638
10,10,10000,33554432,0,33066
10,10,10000,33554432,0,39765
10,10,10000,33554432,0,48098
10,10,10000,33554432,0,60178
10,10,10000,33554432,0,49823
10,10,10000,33554432,0,32962
10,10,10000,33554432,0,23567
10,10,10000,33554432,0,36324
10,10,10000,33554432,0,37543
10,10,10000,33554432,0,36848
10,10,10000,33554432,0,28073
10,10,10000,33554432,0,53105
10,10,10000,33554432,0,74432
10,10,10000,33554432,0,61111
10,10,10000,33554432,0,30494
10,10,10000,33554432,0,70583
10,10,10000,33554432,0,36690
10,10,10000,33554432,0,19271
10,10,10000,33554432,0,46042
10,10,10000,33554432,0,36056
10,10,10000,33554432,0,61750
10,10,10000,33554432,0,57328
10,10,10000,33554432,0,65893
10,10,10000,33554432,0,61118
10,10,10000,33554432,0,64571
10,10,10000,33554432,0,83868
10,10,10000,33554432,0,86907
10,10,10000,33554432,0,42397
10,10,10000,33554432,0,29493
10,10,10000,33554432,0,31797
10,10,10000,33554432,0,40499
10,10,10000,33554432,0,35632
10,10,10000,33554432,0,40124
10,10,10000,33554432,0,41312
10,10,10000,33554432,0,58800
10,10,10000,33554432,0,50160
10,10,10000,33554432,0,42303
10,10,10000,33554432,0,81862
10,10,10000,33554432,0,89679
10,10,10000,33554432,0,47983
10,10,10000,33554432,0,36152
10,10,10000,33554432,0,52050
10,10,10000,33554432,0,27258
10,10,10000,33554432,0,54225
10,10,10000,33554432,0,84495
10,10,10000,33554432,0,67480
10,10,10000,33554432,0,45078
10,10,10000,33554432,0,53654
10,10,10000,33554432,0,45167
10,10,10000,33554432,0,64365
10,10,10000,33554432,0,46150
10,10,10000,33554432,0,51032
10,10,10000,33554432,0,76127
10,10,10000,33554432,0,50504
10,10,10000,33554432,0,38487
10,10,10000,33554432,0,45705
10,10,10000,33554432,0,38903
10,10,10000,33554432,0,45124
10,10,10000,33554432,0,76578
10,10,10000,33554432,0,47882
10,10,10000,33554432,0,73981
10,10,10000,33554432,0,36860
10,10,10000,33554432,0,33424
10,10,10000,33554432,0,36827
10,10,10000,33554432,0,55908
10,10,10000,33554432,0,46452
10,10,10000,33554432,0,44492
10,10,10000,33554432,0,38649
10,10,10000,33554432,0,36492
10,10,10000,33554432,0,59893
10,10,10000,33554432,0,52825
10,10,10000,33554432,0,72793
10,10,10000,33554432,0,35902
10,10,10000,33554432,0,145042
10,10,10000,33554432,0,42983
10,10,10000,33554432,0,43635
10,10,10000,33554432,0,37374
10,10,10000,33554432,0,33221
10,10,10000,33554432,0,31314
10,10,10000,33554432,0,64836
10,10,10000,33554432,0,45181
10,10,10000,33554432,0,37831
10,10,10000,33554432,0,61341
10,10,10000,33554432,0,65444
10,10,10000,33554432,0,69927
10,10,10000,33554432,0,45329
10,10,10000,33554432,0,63040
10,10,10000,33554432,0,46518
10,10,10000,33554432,0,46339
10,10,10000,33554432,0,56685
10,10,10000,33554432,0,58164
