getter,peers,micros,payload,rcv_flag,delay
1,1024,1,32,0,1185
1,1024,1,32,0,14248
1,1024,1,32,0,12204
1,1024,1,32,0,1643
1,1024,1,32,0,1852
1,1024,1,32,0,2297
1,1024,1,32,0,1342
1,1024,1,32,0,1004
1,1024,1,32,0,2152
1,1024,1,32,0,1377
1,1024,1,32,0,1302
1,1024,1,32,0,1600
1,1024,1,32,0,1434
1,1024,1,32,0,1187
1,1024,1,32,0,4117
1,1024,1,32,0,1940
1,1024,1,32,0,3753
1,1024,1,32,0,1668
1,1024,1,32,0,2051
1,1024,1,32,0,2446
1,1024,1,32,0,3911
1,1024,1,32,0,3171
1,1024,1,32,0,5715
1,1024,1,32,0,5208
1,1024,1,32,0,6813
1,1024,1,32,0,17881
1,1024,1,32,0,9508
1,1024,1,32,0,12896
1,1024,1,32,0,10323
1,1024,1,32,0,13465
1,1024,1,32,0,7423
1,1024,1,32,0,10601
1,1024,1,32,0,9231
1,1024,1,32,0,8866
1,1024,1,32,0,9759
1,1024,1,32,0,18474
1,1024,1,32,0,20003
1,1024,1,32,0,10284
1,1024,1,32,0,13746
1,1024,1,32,0,30325
1,1024,1,32,0,25838
1,1024,1,32,0,19761
1,1024,1,32,0,36254
1,1024,1,32,0,32481
1,1024,1,32,0,21367
1,1024,1,32,0,24034
1,1024,1,32,0,33645
1,1024,1,32,0,58999
1,1024,1,32,0,4956765
1,1024,1,32,0,1233775
1,1024,1,32,0,26910
1,1024,1,32,0,25035
1,1024,1,32,0,26918
1,1024,1,32,0,26273
1,1024,1,32,0,26629
1,1024,1,32,0,26184
1,1024,1,32,0,28597
1,1024,1,32,0,27066
1,1024,1,32,0,24495
1,1024,1,32,0,25603
1,1024,1,32,0,25253
1,1024,1,32,0,25561
1,1024,1,32,0,24544
1,1024,1,32,0,27936
1,1024,1,32,0,26684
1,1024,1,32,0,25068
1,1024,1,32,0,26659
1,1024,1,32,0,23918
1,1024,1,32,0,23697
1,1024,1,32,0,23809
1,1024,1,32,0,24113
1,1024,1,32,0,24426
1,1024,1,32,0,23316
1,1024,1,32,0,24099
1,1024,1,32,0,23094
1,1024,1,32,0,22753
1,1024,1,32,0,23487
1,1024,1,32,0,23915
1,1024,1,32,0,22836
1,1024,1,32,0,24840
1,1024,1,32,0,24903
1,1024,1,32,0,25448
1,1024,1,32,0,23518
1,1024,1,32,0,23242
1,1024,1,32,0,23446
1,1024,1,32,0,22722
1,1024,1,32,0,24040
1,1024,1,32,0,22955
1,1024,1,32,0,23205
1,1024,1,32,0,23993
1,1024,1,32,0,23863
1,1024,1,32,0,22227
1,1024,1,32,0,23060
1,1024,1,32,0,22486
1,1024,1,32,0,23497
1,1024,1,32,0,23130
1,1024,1,32,0,22665
1,1024,1,32,0,23152
1,1024,1,32,0,22812
1,1024,1,32,0,22110
1,1024,1,32,0,23812
1,1024,1,32,0,23252
1,1024,1,32,0,22841
1,1024,1,32,0,22978
1,1024,1,32,0,23601
1,1024,1,32,0,23624
1,1024,1,32,0,23197
1,1024,1,32,0,23226
1,1024,1,32,0,24275
1,1024,1,32,0,21957
1,1024,1,32,0,23872
1,1024,1,32,0,23331
1,1024,1,32,0,23875
1,1024,1,32,0,22747
1,1024,1,32,0,22903
1,1024,1,32,0,22635
1,1024,1,32,0,22985
1,1024,1,32,0,22638
1,1024,1,32,0,23361
1,1024,1,32,0,24596
1,1024,1,32,0,23402
1,1024,1,32,0,22882
1,1024,1,32,0,22612
1,1024,1,32,0,23051
1,1024,1,32,0,23195
1,1024,1,32,0,23389
1,1024,1,32,0,22222
1,1024,1,32,0,23161
1,1024,1,32,0,24212
1,1024,1,32,0,22416
1,1024,1,32,0,23039
1,1024,1,32,0,23612
1,1024,1,32,0,24142
1,1024,1,32,0,25891
1,1024,1,32,0,25116
1,1024,1,32,0,23847
1,1024,1,32,0,24942
1,1024,1,32,0,24841
1,1024,1,32,0,24481
1,1024,1,32,0,23586
1,1024,1,32,0,25069
1,1024,1,32,0,23873
1,1024,1,32,0,29505
1,1024,1,32,0,24352
1,1024,1,32,0,23357
1,1024,1,32,0,24492
1,1024,1,32,0,24329
1,1024,1,32,0,28359
1,1024,1,32,0,23406
1,1024,1,32,0,25855
1,1024,1,32,0,26554
1,1024,1,32,0,26673
1,1024,1,32,0,24562
1,1024,1,32,0,23965
1,1024,1,32,0,24044
1,1024,1,32,0,23981
1,1024,1,32,0,25745
1,1024,1,32,0,23060
1,1024,1,32,0,25236
1,1024,1,32,0,24210
1,1024,1,32,0,27830
1,1024,1,32,0,27028
1,1024,1,32,0,23768
1,1024,1,32,0,24667
1,1024,1,32,0,24641
1,1024,1,32,0,26416
1,1024,1,32,0,25435
1,1024,1,32,0,24824
1,1024,1,32,0,26602
1,1024,1,32,0,23908
1,1024,1,32,0,24526
1,1024,1,32,0,26737
1,1024,1,32,0,25177
1,1024,1,32,0,26043
1,1024,1,32,0,25697
1,1024,1,32,0,23615
1,1024,1,32,0,24644
1,1024,1,32,0,25549
1,1024,1,32,0,33076
1,1024,1,32,0,34107
