getter,peers,micros,payload,rcv_flag,delay
1,128,100000,32,0,2529
1,128,100000,32,0,2276
1,128,100000,32,0,2396
1,128,100000,32,0,2487
1,128,100000,32,0,2397
1,128,100000,32,0,2436
1,128,100000,32,0,2669
1,128,100000,32,0,2398
1,128,100000,32,0,2240
1,128,100000,32,0,2444
1,128,100000,32,0,2319
1,128,100000,32,0,2216
1,128,100000,32,0,2199
1,128,100000,32,0,2470
1,128,100000,32,0,2412
1,128,100000,32,0,2354
1,128,100000,32,0,2380
1,128,100000,32,0,2330
1,128,100000,32,0,2478
1,128,100000,32,0,2328
1,128,100000,32,0,2596
1,128,100000,32,0,2427
1,128,100000,32,0,2527
1,128,100000,32,0,2379
1,128,100000,32,0,2440
1,128,100000,32,0,2484
1,128,100000,32,0,2607
1,128,100000,32,0,2421
1,128,100000,32,0,2211
1,128,100000,32,0,2194
1,128,100000,32,0,2284
1,128,100000,32,0,2498
1,128,100000,32,0,2506
1,128,100000,32,0,2666
1,128,100000,32,0,2450
1,128,100000,32,0,2534
1,128,100000,32,0,2465
1,128,100000,32,0,2360
1,128,100000,32,0,2435
1,128,100000,32,0,2500
1,128,100000,32,0,2431
1,128,100000,32,0,2207
1,128,100000,32,0,2177
1,128,100000,32,0,2300
1,128,100000,32,0,2462
1,128,100000,32,0,2380
1,128,100000,32,0,2623
1,128,100000,32,0,2447
1,128,100000,32,0,2235
1,128,100000,32,0,2265
1,128,100000,32,0,2457
1,128,100000,32,0,2380
1,128,100000,32,0,2354
1,128,100000,32,0,2455
1,128,100000,32,0,2388
1,128,100000,32,0,2487
1,128,100000,32,0,2407
1,128,100000,32,0,2246
1,128,100000,32,0,2402
1,128,100000,32,0,2378
1,128,100000,32,0,2429
1,128,100000,32,0,2447
1,128,100000,32,0,2373
1,128,100000,32,0,2446
1,128,100000,32,0,2475
1,128,100000,32,0,2507
1,128,100000,32,0,2464
1,128,100000,32,0,2346
1,128,100000,32,0,2320
1,128,100000,32,0,2402
1,128,100000,32,0,3100
1,128,100000,32,0,2523
1,128,100000,32,0,2273
1,128,100000,32,0,2242
1,128,100000,32,0,2277
1,128,100000,32,0,2401
1,128,100000,32,0,2586
1,128,100000,32,0,2313
1,128,100000,32,0,2490
1,128,100000,32,0,2348
1,128,100000,32,0,2411
1,128,100000,32,0,2642
1,128,100000,32,0,2487
1,128,100000,32,0,2589
1,128,100000,32,0,2386
1,128,100000,32,0,2466
1,128,100000,32,0,2456
1,128,100000,32,0,2423
1,128,100000,32,0,2111
1,128,100000,32,0,2307
