getter,peers,micros,payload,rcv_flag,delay
1,512,0,32,0,561
1,512,0,32,0,156
1,512,0,32,0,118
1,512,0,32,0,123
1,512,0,32,0,104
1,512,0,32,0,95
1,512,0,32,0,105
1,512,0,32,0,92
1,512,0,32,0,83
1,512,0,32,0,81
1,512,0,32,0,87
1,512,0,32,0,89
1,512,0,32,0,190
1,512,0,32,0,113
1,512,0,32,0,120
1,512,0,32,0,543
1,512,0,32,0,205
1,512,0,32,0,178
1,512,0,32,0,154
1,512,0,32,0,162
1,512,0,32,0,163
1,512,0,32,0,167
1,512,0,32,0,161
1,512,0,32,0,569
1,512,0,32,0,397
1,512,0,32,0,338
1,512,0,32,0,229
1,512,0,32,0,235
1,512,0,32,0,237
1,512,0,32,0,906
1,512,0,32,0,358
1,512,0,32,0,326
1,512,0,32,0,309
1,512,0,32,0,323
1,512,0,32,0,311
1,512,0,32,0,296
1,512,0,32,0,453
1,512,0,32,0,480
1,512,0,32,0,564
1,512,0,32,0,391
1,512,0,32,0,354
1,512,0,32,0,395
1,512,0,32,0,444
1,512,0,32,0,496
1,512,0,32,0,562
1,512,0,32,0,411
1,512,0,32,0,400
1,512,0,32,0,394
1,512,0,32,0,427
1,512,0,32,0,380
1,512,0,32,0,427
1,512,0,32,0,1464
1,512,0,32,0,1373
1,512,0,32,0,618
1,512,0,32,0,724
1,512,0,32,0,567
1,512,0,32,0,719
1,512,0,32,0,902
1,512,0,32,0,1541
1,512,0,32,0,720
1,512,0,32,0,924
1,512,0,32,0,1141
1,512,0,32,0,871
1,512,0,32,0,891
1,512,0,32,0,1638
1,512,0,32,0,1173
1,512,0,32,0,1433
1,512,0,32,0,1106
1,512,0,32,0,1463
1,512,0,32,0,1680
1,512,0,32,0,2039
1,512,0,32,0,1441
1,512,0,32,0,1621
1,512,0,32,0,2056
1,512,0,32,0,2142
1,512,0,32,0,1797
1,512,0,32,0,1985
1,512,0,32,0,1940
1,512,0,32,0,2345
1,512,0,32,0,2373
1,512,0,32,0,2658
1,512,0,32,0,2315
1,512,0,32,0,2534
1,512,0,32,0,2193
1,512,0,32,0,2389
1,512,0,32,0,2832
1,512,0,32,0,2309
1,512,0,32,0,2478
1,512,0,32,0,2557
1,512,0,32,0,2514
1,512,0,32,0,2715
1,512,0,32,0,2391
1,512,0,32,0,3502
1,512,0,32,0,3767
1,512,0,32,0,3559
1,512,0,32,0,5596
1,512,0,32,0,5784
1,512,0,32,0,8379
1,512,0,32,0,6833
1,512,0,32,0,6923
1,512,0,32,0,4868
1,512,0,32,0,4786
1,512,0,32,0,4946
1,512,0,32,0,5269
1,512,0,32,0,5708
1,512,0,32,0,6430
1,512,0,32,0,5430
1,512,0,32,0,5350
1,512,0,32,0,7423
1,512,0,32,0,6490
1,512,0,32,0,7121
1,512,0,32,0,8618
1,512,0,32,0,9831
1,512,0,32,0,10873
1,512,0,32,0,9555
1,512,0,32,0,10941
1,512,0,32,0,11435
1,512,0,32,0,13561
1,512,0,32,0,16014
1,512,0,32,0,15727
1,512,0,32,0,10198
1,512,0,32,0,11111
1,512,0,32,0,10962
1,512,0,32,0,10451
1,512,0,32,0,10276
1,512,0,32,0,10470
1,512,0,32,0,10318
1,512,0,32,0,10297
1,512,0,32,0,10514
1,512,0,32,0,10793
1,512,0,32,0,9869
1,512,0,32,0,10257
1,512,0,32,0,10312
1,512,0,32,0,9933
1,512,0,32,0,170638
1,512,0,32,0,2903495
1,512,0,32,0,1951145
1,512,0,32,0,11476
1,512,0,32,0,11599
1,512,0,32,0,13043
1,512,0,32,0,11955
1,512,0,32,0,12229
1,512,0,32,0,12181
1,512,0,32,0,11647
1,512,0,32,0,11970
1,512,0,32,0,12757
1,512,0,32,0,12685
1,512,0,32,0,12678
1,512,0,32,0,12364
1,512,0,32,0,12199
1,512,0,32,0,11865
1,512,0,32,0,11798
1,512,0,32,0,11729
1,512,0,32,0,12163
1,512,0,32,0,12438
1,512,0,32,0,12563
1,512,0,32,0,11702
1,512,0,32,0,11861
1,512,0,32,0,11785
1,512,0,32,0,12200
1,512,0,32,0,11842
1,512,0,32,0,12767
