getter,peers,micros,payload,rcv_flag,delay
1,1024,10000,32,0,454
1,1024,10000,32,0,485
1,1024,10000,32,0,503
1,1024,10000,32,0,506
1,1024,10000,32,0,508
1,1024,10000,32,0,510
1,1024,10000,32,0,513
1,1024,10000,32,0,515
1,1024,10000,32,0,517
1,1024,10000,32,0,519
1,1024,10000,32,0,521
1,1024,10000,32,0,523
1,1024,10000,32,0,525
1,1024,10000,32,0,527
1,1024,10000,32,0,529
1,1024,10000,32,0,530
1,1024,10000,32,0,533
1,1024,10000,32,0,534
1,1024,10000,32,0,975
1,1024,10000,32,0,995
1,1024,10000,32,0,997
1,1024,10000,32,0,1000
1,1024,10000,32,0,1002
1,1024,10000,32,0,1004
1,1024,10000,32,0,1006
1,1024,10000,32,0,1008
1,1024,10000,32,0,1010
1,1024,10000,32,0,1012
1,1024,10000,32,0,1013
1,1024,10000,32,0,1015
1,1024,10000,32,0,1017
1,1024,10000,32,0,1019
1,1024,10000,32,0,1021
1,1024,10000,32,0,1023
1,1024,10000,32,0,1025
1,1024,10000,32,0,1027
1,1024,10000,32,0,1029
1,1024,10000,32,0,1031
1,1024,10000,32,0,1033
1,1024,10000,32,0,1035
1,1024,10000,32,0,1037
1,1024,10000,32,0,1039
1,1024,10000,32,0,1041
1,1024,10000,32,0,1042
1,1024,10000,32,0,1044
1,1024,10000,32,0,1575
1,1024,10000,32,0,1593
1,1024,10000,32,0,1596
1,1024,10000,32,0,1598
1,1024,10000,32,0,1600
1,1024,10000,32,0,1602
1,1024,10000,32,0,1604
1,1024,10000,32,0,1606
1,1024,10000,32,0,1607
1,1024,10000,32,0,1609
1,1024,10000,32,0,1611
1,1024,10000,32,0,1613
1,1024,10000,32,0,1615
1,1024,10000,32,0,1617
1,1024,10000,32,0,1619
1,1024,10000,32,0,1621
1,1024,10000,32,0,1622
1,1024,10000,32,0,1624
1,1024,10000,32,0,1626
1,1024,10000,32,0,1628
1,1024,10000,32,0,1630
1,1024,10000,32,0,1632
1,1024,10000,32,0,1636
1,1024,10000,32,0,1639
1,1024,10000,32,0,1642
1,1024,10000,32,0,1644
1,1024,10000,32,0,1645
1,1024,10000,32,0,1647
1,1024,10000,32,0,1650
1,1024,10000,32,0,1651
1,1024,10000,32,0,1653
1,1024,10000,32,0,1655
1,1024,10000,32,0,1658
1,1024,10000,32,0,1660
1,1024,10000,32,0,1662
1,1024,10000,32,0,1663
1,1024,10000,32,0,1665
1,1024,10000,32,0,1667
1,1024,10000,32,0,1669
1,1024,10000,32,0,1671
1,1024,10000,32,0,1672
1,1024,10000,32,0,5419
1,1024,10000,32,0,5441
1,1024,10000,32,0,5444
1,1024,10000,32,0,5446
1,1024,10000,32,0,5448
1,1024,10000,32,0,5451
1,1024,10000,32,0,5453
1,1024,10000,32,0,5455
1,1024,10000,32,0,5457
1,1024,10000,32,0,5460
1,1024,10000,32,0,5462
1,1024,10000,32,0,5464
1,1024,10000,32,0,5466
1,1024,10000,32,0,5470
1,1024,10000,32,0,5472
1,1024,10000,32,0,5474
1,1024,10000,32,0,5476
1,1024,10000,32,0,5478
1,1024,10000,32,0,5480
1,1024,10000,32,0,5482
1,1024,10000,32,0,5485
1,1024,10000,32,0,5486
1,1024,10000,32,0,5489
1,1024,10000,32,0,5490
1,1024,10000,32,0,5492
1,1024,10000,32,0,5494
1,1024,10000,32,0,5496
1,1024,10000,32,0,5498
1,1024,10000,32,0,5500
1,1024,10000,32,0,5502
1,1024,10000,32,0,5504
1,1024,10000,32,0,5506
1,1024,10000,32,0,5508
1,1024,10000,32,0,5510
1,1024,10000,32,0,5512
1,1024,10000,32,0,5514
1,1024,10000,32,0,5516
1,1024,10000,32,0,5518
1,1024,10000,32,0,5520
1,1024,10000,32,0,5521
1,1024,10000,32,0,5523
1,1024,10000,32,0,5525
1,1024,10000,32,0,5527
1,1024,10000,32,0,5529
1,1024,10000,32,0,5531
1,1024,10000,32,0,5533
1,1024,10000,32,0,5535
1,1024,10000,32,0,5537
1,1024,10000,32,0,5539
1,1024,10000,32,0,5541
1,1024,10000,32,0,5543
1,1024,10000,32,0,5545
1,1024,10000,32,0,5547
1,1024,10000,32,0,5549
1,1024,10000,32,0,5551
1,1024,10000,32,0,5553
1,1024,10000,32,0,5554
1,1024,10000,32,0,5556
1,1024,10000,32,0,5558
1,1024,10000,32,0,5560
1,1024,10000,32,0,5562
1,1024,10000,32,0,5564
1,1024,10000,32,0,5566
1,1024,10000,32,0,5568
1,1024,10000,32,0,5569
1,1024,10000,32,0,5571
1,1024,10000,32,0,3564
1,1024,10000,32,0,3588
1,1024,10000,32,0,3593
1,1024,10000,32,0,3596
1,1024,10000,32,0,3599
1,1024,10000,32,0,3601
1,1024,10000,32,0,3603
1,1024,10000,32,0,3606
1,1024,10000,32,0,3609
1,1024,10000,32,0,3612
1,1024,10000,32,0,3615
1,1024,10000,32,0,3618
1,1024,10000,32,0,3621
1,1024,10000,32,0,3623
1,1024,10000,32,0,3626
1,1024,10000,32,0,3629
1,1024,10000,32,0,3632
1,1024,10000,32,0,3634
1,1024,10000,32,0,3636
1,1024,10000,32,0,3638
1,1024,10000,32,0,3640
1,1024,10000,32,0,3642
1,1024,10000,32,0,3644
1,1024,10000,32,0,3646
1,1024,10000,32,0,3648
1,1024,10000,32,0,3650
1,1024,10000,32,0,3665
1,1024,10000,32,0,3668
1,1024,10000,32,0,3670
1,1024,10000,32,0,3672
1,1024,10000,32,0,3674
1,1024,10000,32,0,3675
1,1024,10000,32,0,3677
1,1024,10000,32,0,3679
1,1024,10000,32,0,3681
1,1024,10000,32,0,3683
1,1024,10000,32,0,3685
1,1024,10000,32,0,3687
1,1024,10000,32,0,3689
1,1024,10000,32,0,3691
1,1024,10000,32,0,3693
1,1024,10000,32,0,3695
1,1024,10000,32,0,3697
1,1024,10000,32,0,3699
1,1024,10000,32,0,3701
1,1024,10000,32,0,3703
1,1024,10000,32,0,3704
1,1024,10000,32,0,3707
1,1024,10000,32,0,3708
1,1024,10000,32,0,3710
1,1024,10000,32,0,3712
1,1024,10000,32,0,3714
1,1024,10000,32,0,3716
1,1024,10000,32,0,3718
1,1024,10000,32,0,3720
1,1024,10000,32,0,3722
1,1024,10000,32,0,3724
1,1024,10000,32,0,3726
1,1024,10000,32,0,3728
1,1024,10000,32,0,3730
1,1024,10000,32,0,3731
1,1024,10000,32,0,3733
1,1024,10000,32,0,3736
1,1024,10000,32,0,3738
1,1024,10000,32,0,3740
1,1024,10000,32,0,3742
1,1024,10000,32,0,3744
1,1024,10000,32,0,3746
1,1024,10000,32,0,3748
1,1024,10000,32,0,3750
1,1024,10000,32,0,3753
1,1024,10000,32,0,3754
1,1024,10000,32,0,3756
1,1024,10000,32,0,3758
1,1024,10000,32,0,3761
1,1024,10000,32,0,3763
1,1024,10000,32,0,3765
1,1024,10000,32,0,3767
1,1024,10000,32,0,3769
1,1024,10000,32,0,3772
1,1024,10000,32,0,3774
1,1024,10000,32,0,3776
1,1024,10000,32,0,3779
1,1024,10000,32,0,3780
1,1024,10000,32,0,3782
1,1024,10000,32,0,3784
1,1024,10000,32,0,3786
1,1024,10000,32,0,3788
1,1024,10000,32,0,3790
1,1024,10000,32,0,3792
1,1024,10000,32,0,2366
1,1024,10000,32,0,2394
1,1024,10000,32,0,2397
1,1024,10000,32,0,2399
1,1024,10000,32,0,2401
1,1024,10000,32,0,2405
1,1024,10000,32,0,2410
1,1024,10000,32,0,2413
1,1024,10000,32,0,2415
1,1024,10000,32,0,2417
1,1024,10000,32,0,2419
1,1024,10000,32,0,2421
1,1024,10000,32,0,2423
1,1024,10000,32,0,2425
1,1024,10000,32,0,2426
1,1024,10000,32,0,2429
1,1024,10000,32,0,2431
1,1024,10000,32,0,2433
1,1024,10000,32,0,2435
1,1024,10000,32,0,2436
1,1024,10000,32,0,2438
1,1024,10000,32,0,2440
1,1024,10000,32,0,2442
1,1024,10000,32,0,2444
1,1024,10000,32,0,2446
1,1024,10000,32,0,2448
1,1024,10000,32,0,2450
1,1024,10000,32,0,2452
1,1024,10000,32,0,2453
1,1024,10000,32,0,2455
1,1024,10000,32,0,2457
1,1024,10000,32,0,2461
1,1024,10000,32,0,2463
1,1024,10000,32,0,2465
1,1024,10000,32,0,2467
1,1024,10000,32,0,2468
1,1024,10000,32,0,2470
1,1024,10000,32,0,2473
1,1024,10000,32,0,2475
1,1024,10000,32,0,2477
1,1024,10000,32,0,2479
1,1024,10000,32,0,2481
1,1024,10000,32,0,2482
1,1024,10000,32,0,2484
1,1024,10000,32,0,2486
1,1024,10000,32,0,2488
1,1024,10000,32,0,2490
1,1024,10000,32,0,2494
1,1024,10000,32,0,2497
1,1024,10000,32,0,2498
1,1024,10000,32,0,2500
1,1024,10000,32,0,2502
1,1024,10000,32,0,2504
1,1024,10000,32,0,2505
1,1024,10000,32,0,2507
1,1024,10000,32,0,2509
1,1024,10000,32,0,2511
1,1024,10000,32,0,2512
1,1024,10000,32,0,2514
1,1024,10000,32,0,2516
1,1024,10000,32,0,2518
1,1024,10000,32,0,2520
1,1024,10000,32,0,2522
1,1024,10000,32,0,2523
1,1024,10000,32,0,2525
1,1024,10000,32,0,2527
1,1024,10000,32,0,2529
1,1024,10000,32,0,2531
1,1024,10000,32,0,2533
1,1024,10000,32,0,2535
1,1024,10000,32,0,2537
1,1024,10000,32,0,2538
1,1024,10000,32,0,2540
1,1024,10000,32,0,2543
1,1024,10000,32,0,2546
1,1024,10000,32,0,2548
1,1024,10000,32,0,2550
1,1024,10000,32,0,2552
1,1024,10000,32,0,2554
1,1024,10000,32,0,2556
1,1024,10000,32,0,2558
1,1024,10000,32,0,2560
1,1024,10000,32,0,2562
1,1024,10000,32,0,2564
1,1024,10000,32,0,2566
1,1024,10000,32,0,2567
1,1024,10000,32,0,2569
1,1024,10000,32,0,2571
1,1024,10000,32,0,2573
1,1024,10000,32,0,2574
1,1024,10000,32,0,2576
1,1024,10000,32,0,2578
1,1024,10000,32,0,2580
1,1024,10000,32,0,2582
1,1024,10000,32,0,2583
1,1024,10000,32,0,2586
1,1024,10000,32,0,2588
1,1024,10000,32,0,2589
1,1024,10000,32,0,2591
1,1024,10000,32,0,2593
1,1024,10000,32,0,2595
1,1024,10000,32,0,2597
1,1024,10000,32,0,2599
1,1024,10000,32,0,2601
1,1024,10000,32,0,2602
1,1024,10000,32,0,2604
1,1024,10000,32,0,2606
1,1024,10000,32,0,2608
1,1024,10000,32,0,8814
1,1024,10000,32,0,8837
1,1024,10000,32,0,8841
1,1024,10000,32,0,8844
1,1024,10000,32,0,8847
1,1024,10000,32,0,8849
1,1024,10000,32,0,8860
1,1024,10000,32,0,8863
1,1024,10000,32,0,8865
1,1024,10000,32,0,8867
1,1024,10000,32,0,8869
1,1024,10000,32,0,8871
1,1024,10000,32,0,8873
1,1024,10000,32,0,8875
1,1024,10000,32,0,8876
1,1024,10000,32,0,8878
1,1024,10000,32,0,8880
1,1024,10000,32,0,8882
1,1024,10000,32,0,8884
1,1024,10000,32,0,8886
1,1024,10000,32,0,8888
1,1024,10000,32,0,8889
1,1024,10000,32,0,8891
1,1024,10000,32,0,8893
1,1024,10000,32,0,8894
