getter,peers,micros,payload,rcv_flag,delay
1,1024,1,32,0,520
1,1024,1,32,0,330
1,1024,1,32,0,336
1,1024,1,32,0,143
1,1024,1,32,0,147
1,1024,1,32,0,107
1,1024,1,32,0,113
1,1024,1,32,0,91
1,1024,1,32,0,97
1,1024,1,32,0,87
1,1024,1,32,0,92
1,1024,1,32,0,87
1,1024,1,32,0,93
1,1024,1,32,0,94
1,1024,1,32,0,100
1,1024,1,32,0,97
1,1024,1,32,0,102
1,1024,1,32,0,95
1,1024,1,32,0,106
1,1024,1,32,0,96
1,1024,1,32,0,103
1,1024,1,32,0,101
1,1024,1,32,0,110
1,1024,1,32,0,104
1,1024,1,32,0,110
1,1024,1,32,0,765
1,1024,1,32,0,786
1,1024,1,32,0,1350
1,1024,1,32,0,1359
1,1024,1,32,0,1361
1,1024,1,32,0,1364
1,1024,1,32,0,1366
1,1024,1,32,0,1369
1,1024,1,32,0,1371
1,1024,1,32,0,691
1,1024,1,32,0,699
1,1024,1,32,0,701
1,1024,1,32,0,704
1,1024,1,32,0,706
1,1024,1,32,0,708
1,1024,1,32,0,710
1,1024,1,32,0,712
1,1024,1,32,0,714
1,1024,1,32,0,459
1,1024,1,32,0,467
1,1024,1,32,0,470
1,1024,1,32,0,472
1,1024,1,32,0,474
1,1024,1,32,0,476
1,1024,1,32,0,478
1,1024,1,32,0,479
1,1024,1,32,0,481
1,1024,1,32,0,545
1,1024,1,32,0,554
1,1024,1,32,0,557
1,1024,1,32,0,559
1,1024,1,32,0,561
1,1024,1,32,0,563
1,1024,1,32,0,565
1,1024,1,32,0,567
1,1024,1,32,0,568
1,1024,1,32,0,570
1,1024,1,32,0,555
1,1024,1,32,0,568
1,1024,1,32,0,570
1,1024,1,32,0,572
1,1024,1,32,0,574
1,1024,1,32,0,576
1,1024,1,32,0,578
1,1024,1,32,0,582
1,1024,1,32,0,584
1,1024,1,32,0,585
1,1024,1,32,0,587
1,1024,1,32,0,589
1,1024,1,32,0,552
1,1024,1,32,0,559
1,1024,1,32,0,562
1,1024,1,32,0,565
1,1024,1,32,0,568
1,1024,1,32,0,570
1,1024,1,32,0,572
1,1024,1,32,0,574
1,1024,1,32,0,576
1,1024,1,32,0,579
1,1024,1,32,0,580
1,1024,1,32,0,582
1,1024,1,32,0,275
1,1024,1,32,0,283
1,1024,1,32,0,286
1,1024,1,32,0,287
1,1024,1,32,0,289
1,1024,1,32,0,291
1,1024,1,32,0,293
1,1024,1,32,0,295
1,1024,1,32,0,297
1,1024,1,32,0,298
1,1024,1,32,0,301
1,1024,1,32,0,302
1,1024,1,32,0,304
1,1024,1,32,0,270
