getter,peers,micros,payload,rcv_flag,delay
1,1024,1000,32,0,2288
1,1024,1000,32,0,2317
1,1024,1000,32,0,2320
1,1024,1000,32,0,2322
1,1024,1000,32,0,2324
1,1024,1000,32,0,2326
1,1024,1000,32,0,2328
1,1024,1000,32,0,631
1,1024,1000,32,0,640
1,1024,1000,32,0,643
1,1024,1000,32,0,645
1,1024,1000,32,0,647
1,1024,1000,32,0,650
1,1024,1000,32,0,653
1,1024,1000,32,0,656
1,1024,1000,32,0,658
1,1024,1000,32,0,660
1,1024,1000,32,0,662
1,1024,1000,32,0,664
1,1024,1000,32,0,666
1,1024,1000,32,0,301
1,1024,1000,32,0,312
1,1024,1000,32,0,314
1,1024,1000,32,0,316
1,1024,1000,32,0,318
1,1024,1000,32,0,320
1,1024,1000,32,0,321
1,1024,1000,32,0,323
1,1024,1000,32,0,326
1,1024,1000,32,0,327
1,1024,1000,32,0,329
1,1024,1000,32,0,331
1,1024,1000,32,0,333
1,1024,1000,32,0,819
1,1024,1000,32,0,836
1,1024,1000,32,0,840
1,1024,1000,32,0,842
1,1024,1000,32,0,845
1,1024,1000,32,0,847
1,1024,1000,32,0,849
1,1024,1000,32,0,851
1,1024,1000,32,0,853
1,1024,1000,32,0,854
1,1024,1000,32,0,856
1,1024,1000,32,0,858
1,1024,1000,32,0,860
1,1024,1000,32,0,862
1,1024,1000,32,0,1651
1,1024,1000,32,0,1663
1,1024,1000,32,0,1668
1,1024,1000,32,0,1670
1,1024,1000,32,0,1672
1,1024,1000,32,0,1674
1,1024,1000,32,0,1677
1,1024,1000,32,0,1679
1,1024,1000,32,0,1681
1,1024,1000,32,0,1683
1,1024,1000,32,0,1685
1,1024,1000,32,0,1687
1,1024,1000,32,0,1689
1,1024,1000,32,0,1691
1,1024,1000,32,0,1693
1,1024,1000,32,0,1695
1,1024,1000,32,0,1697
1,1024,1000,32,0,1700
1,1024,1000,32,0,930
1,1024,1000,32,0,940
1,1024,1000,32,0,943
1,1024,1000,32,0,946
1,1024,1000,32,0,948
1,1024,1000,32,0,951
1,1024,1000,32,0,953
1,1024,1000,32,0,956
1,1024,1000,32,0,958
1,1024,1000,32,0,960
1,1024,1000,32,0,962
1,1024,1000,32,0,964
1,1024,1000,32,0,966
1,1024,1000,32,0,968
1,1024,1000,32,0,970
1,1024,1000,32,0,972
1,1024,1000,32,0,974
1,1024,1000,32,0,976
1,1024,1000,32,0,978
1,1024,1000,32,0,980
1,1024,1000,32,0,982
1,1024,1000,32,0,984
1,1024,1000,32,0,526
1,1024,1000,32,0,548
1,1024,1000,32,0,551
1,1024,1000,32,0,553
1,1024,1000,32,0,555
1,1024,1000,32,0,558
1,1024,1000,32,0,559
1,1024,1000,32,0,561
1,1024,1000,32,0,563
1,1024,1000,32,0,565
1,1024,1000,32,0,567
1,1024,1000,32,0,569
1,1024,1000,32,0,571
1,1024,1000,32,0,573
1,1024,1000,32,0,574
1,1024,1000,32,0,576
1,1024,1000,32,0,578
1,1024,1000,32,0,580
1,1024,1000,32,0,582
1,1024,1000,32,0,583
1,1024,1000,32,0,585
1,1024,1000,32,0,587
1,1024,1000,32,0,589
1,1024,1000,32,0,591
1,1024,1000,32,0,486
1,1024,1000,32,0,501
1,1024,1000,32,0,504
1,1024,1000,32,0,506
1,1024,1000,32,0,508
1,1024,1000,32,0,510
1,1024,1000,32,0,512
1,1024,1000,32,0,514
1,1024,1000,32,0,517
1,1024,1000,32,0,518
1,1024,1000,32,0,521
1,1024,1000,32,0,522
1,1024,1000,32,0,524
1,1024,1000,32,0,527
1,1024,1000,32,0,529
1,1024,1000,32,0,530
1,1024,1000,32,0,532
1,1024,1000,32,0,534
1,1024,1000,32,0,536
1,1024,1000,32,0,538
1,1024,1000,32,0,540
1,1024,1000,32,0,542
1,1024,1000,32,0,549
1,1024,1000,32,0,552
1,1024,1000,32,0,554
1,1024,1000,32,0,3187
1,1024,1000,32,0,3200
1,1024,1000,32,0,3204
1,1024,1000,32,0,3206
1,1024,1000,32,0,3208
1,1024,1000,32,0,3210
1,1024,1000,32,0,3213
1,1024,1000,32,0,3215
1,1024,1000,32,0,3217
1,1024,1000,32,0,3219
1,1024,1000,32,0,3221
1,1024,1000,32,0,3222
1,1024,1000,32,0,3224
1,1024,1000,32,0,3226
1,1024,1000,32,0,3228
1,1024,1000,32,0,3230
1,1024,1000,32,0,3232
1,1024,1000,32,0,3234
1,1024,1000,32,0,3236
1,1024,1000,32,0,3238
1,1024,1000,32,0,3240
1,1024,1000,32,0,3242
1,1024,1000,32,0,3244
1,1024,1000,32,0,3246
1,1024,1000,32,0,3248
1,1024,1000,32,0,3250
1,1024,1000,32,0,1123
1,1024,1000,32,0,1134
1,1024,1000,32,0,1137
1,1024,1000,32,0,1140
1,1024,1000,32,0,1143
1,1024,1000,32,0,1146
1,1024,1000,32,0,1148
1,1024,1000,32,0,1150
1,1024,1000,32,0,1152
1,1024,1000,32,0,1154
1,1024,1000,32,0,1156
1,1024,1000,32,0,1157
1,1024,1000,32,0,1159
1,1024,1000,32,0,1162
1,1024,1000,32,0,1163
1,1024,1000,32,0,1165
1,1024,1000,32,0,1167
1,1024,1000,32,0,1169
1,1024,1000,32,0,1171
1,1024,1000,32,0,1173
1,1024,1000,32,0,1175
1,1024,1000,32,0,1177
1,1024,1000,32,0,1179
1,1024,1000,32,0,1181
1,1024,1000,32,0,1182
1,1024,1000,32,0,1185
1,1024,1000,32,0,1186
1,1024,1000,32,0,1188
1,1024,1000,32,0,1199
1,1024,1000,32,0,1201
1,1024,1000,32,0,1203
1,1024,1000,32,0,1205
1,1024,1000,32,0,1207
1,1024,1000,32,0,1209
1,1024,1000,32,0,1210
1,1024,1000,32,0,1212
1,1024,1000,32,0,1215
1,1024,1000,32,0,2838
1,1024,1000,32,0,2868
1,1024,1000,32,0,2870
1,1024,1000,32,0,2872
1,1024,1000,32,0,2874
1,1024,1000,32,0,2876
1,1024,1000,32,0,2879
1,1024,1000,32,0,2881
1,1024,1000,32,0,2884
1,1024,1000,32,0,2887
1,1024,1000,32,0,2889
1,1024,1000,32,0,2892
1,1024,1000,32,0,2894
1,1024,1000,32,0,2897
1,1024,1000,32,0,2900
1,1024,1000,32,0,2902
1,1024,1000,32,0,2905
1,1024,1000,32,0,2907
1,1024,1000,32,0,2910
1,1024,1000,32,0,2913
1,1024,1000,32,0,2915
1,1024,1000,32,0,2918
1,1024,1000,32,0,2921
1,1024,1000,32,0,2923
1,1024,1000,32,0,2926
1,1024,1000,32,0,2929
1,1024,1000,32,0,2932
1,1024,1000,32,0,2934
1,1024,1000,32,0,2937
1,1024,1000,32,0,2940
1,1024,1000,32,0,2943
1,1024,1000,32,0,2945
1,1024,1000,32,0,2948
1,1024,1000,32,0,2951
1,1024,1000,32,0,2954
1,1024,1000,32,0,2956
1,1024,1000,32,0,2959
1,1024,1000,32,0,2961
1,1024,1000,32,0,4397
1,1024,1000,32,0,4423
1,1024,1000,32,0,4426
1,1024,1000,32,0,4428
1,1024,1000,32,0,4431
1,1024,1000,32,0,4433
1,1024,1000,32,0,4435
