getter,peers,micros,payload,rcv_flag,delay
1,1024,0,32,0,555
1,1024,0,32,0,86
1,1024,0,32,0,91
1,1024,0,32,0,363
1,1024,0,32,0,137
1,1024,0,32,0,142
1,1024,0,32,0,91
1,1024,0,32,0,97
1,1024,0,32,0,107
1,1024,0,32,0,115
1,1024,0,32,0,116
1,1024,0,32,0,123
1,1024,0,32,0,93
1,1024,0,32,0,99
1,1024,0,32,0,85
1,1024,0,32,0,91
1,1024,0,32,0,108
1,1024,0,32,0,118
1,1024,0,32,0,1808
1,1024,0,32,0,1818
1,1024,0,32,0,1136
1,1024,0,32,0,1144
1,1024,0,32,0,1147
1,1024,0,32,0,1150
1,1024,0,32,0,1152
1,1024,0,32,0,1154
1,1024,0,32,0,1156
1,1024,0,32,0,1159
1,1024,0,32,0,280
1,1024,0,32,0,288
1,1024,0,32,0,290
1,1024,0,32,0,292
1,1024,0,32,0,294
1,1024,0,32,0,296
1,1024,0,32,0,297
1,1024,0,32,0,300
1,1024,0,32,0,302
1,1024,0,32,0,304
1,1024,0,32,0,944
1,1024,0,32,0,952
1,1024,0,32,0,955
1,1024,0,32,0,957
1,1024,0,32,0,959
1,1024,0,32,0,961
1,1024,0,32,0,963
1,1024,0,32,0,965
1,1024,0,32,0,967
1,1024,0,32,0,969
1,1024,0,32,0,313
1,1024,0,32,0,320
1,1024,0,32,0,323
1,1024,0,32,0,325
1,1024,0,32,0,327
1,1024,0,32,0,330
1,1024,0,32,0,332
1,1024,0,32,0,335
1,1024,0,32,0,337
1,1024,0,32,0,339
1,1024,0,32,0,340
1,1024,0,32,0,343
1,1024,0,32,0,300
1,1024,0,32,0,308
1,1024,0,32,0,310
1,1024,0,32,0,312
1,1024,0,32,0,314
1,1024,0,32,0,316
1,1024,0,32,0,318
1,1024,0,32,0,320
1,1024,0,32,0,325
1,1024,0,32,0,327
1,1024,0,32,0,329
1,1024,0,32,0,330
1,1024,0,32,0,626
1,1024,0,32,0,634
1,1024,0,32,0,637
1,1024,0,32,0,640
1,1024,0,32,0,642
1,1024,0,32,0,645
1,1024,0,32,0,647
1,1024,0,32,0,649
1,1024,0,32,0,652
1,1024,0,32,0,654
1,1024,0,32,0,656
1,1024,0,32,0,659
1,1024,0,32,0,510
1,1024,0,32,0,517
1,1024,0,32,0,520
1,1024,0,32,0,522
1,1024,0,32,0,524
1,1024,0,32,0,526
1,1024,0,32,0,529
1,1024,0,32,0,531
1,1024,0,32,0,533
1,1024,0,32,0,535
1,1024,0,32,0,537
1,1024,0,32,0,539
1,1024,0,32,0,541
1,1024,0,32,0,361
1,1024,0,32,0,369
1,1024,0,32,0,372
1,1024,0,32,0,374
1,1024,0,32,0,376
1,1024,0,32,0,378
1,1024,0,32,0,380
1,1024,0,32,0,382
1,1024,0,32,0,384
1,1024,0,32,0,386
1,1024,0,32,0,388
1,1024,0,32,0,390
1,1024,0,32,0,392
1,1024,0,32,0,394
1,1024,0,32,0,749
1,1024,0,32,0,769
1,1024,0,32,0,773
1,1024,0,32,0,776
1,1024,0,32,0,779
1,1024,0,32,0,782
1,1024,0,32,0,785
1,1024,0,32,0,788
1,1024,0,32,0,791
1,1024,0,32,0,794
1,1024,0,32,0,797
1,1024,0,32,0,800
1,1024,0,32,0,803
1,1024,0,32,0,806
1,1024,0,32,0,566
1,1024,0,32,0,577
1,1024,0,32,0,580
1,1024,0,32,0,582
1,1024,0,32,0,586
1,1024,0,32,0,588
1,1024,0,32,0,590
1,1024,0,32,0,592
1,1024,0,32,0,594
1,1024,0,32,0,596
1,1024,0,32,0,598
1,1024,0,32,0,600
1,1024,0,32,0,602
1,1024,0,32,0,604
1,1024,0,32,0,606
1,1024,0,32,0,2002
1,1024,0,32,0,2016
1,1024,0,32,0,2020
1,1024,0,32,0,2023
1,1024,0,32,0,2026
1,1024,0,32,0,2029
1,1024,0,32,0,2032
1,1024,0,32,0,2035
1,1024,0,32,0,2038
1,1024,0,32,0,2041
1,1024,0,32,0,2045
1,1024,0,32,0,2047
1,1024,0,32,0,2050
1,1024,0,32,0,2053
1,1024,0,32,0,2056
1,1024,0,32,0,2058
1,1024,0,32,0,1061
1,1024,0,32,0,1074
1,1024,0,32,0,1077
1,1024,0,32,0,1080
1,1024,0,32,0,1085
1,1024,0,32,0,1087
1,1024,0,32,0,1089
1,1024,0,32,0,1091
1,1024,0,32,0,1093
1,1024,0,32,0,1096
1,1024,0,32,0,1098
1,1024,0,32,0,1101
1,1024,0,32,0,1103
1,1024,0,32,0,1106
1,1024,0,32,0,1109
1,1024,0,32,0,1112
1,1024,0,32,0,1115
1,1024,0,32,0,1117
1,1024,0,32,0,1120
1,1024,0,32,0,1123
1,1024,0,32,0,1125
1,1024,0,32,0,1411
1,1024,0,32,0,1424
1,1024,0,32,0,1427
1,1024,0,32,0,1429
1,1024,0,32,0,1431
1,1024,0,32,0,1433
1,1024,0,32,0,1435
1,1024,0,32,0,1437
1,1024,0,32,0,1439
1,1024,0,32,0,1441
1,1024,0,32,0,1443
1,1024,0,32,0,1445
1,1024,0,32,0,1447
1,1024,0,32,0,1449
1,1024,0,32,0,1451
1,1024,0,32,0,1453
1,1024,0,32,0,1455
1,1024,0,32,0,1457
1,1024,0,32,0,1459
1,1024,0,32,0,1461
1,1024,0,32,0,1463
1,1024,0,32,0,1465
1,1024,0,32,0,679
1,1024,0,32,0,690
1,1024,0,32,0,692
1,1024,0,32,0,695
1,1024,0,32,0,697
1,1024,0,32,0,699
1,1024,0,32,0,701
1,1024,0,32,0,703
1,1024,0,32,0,705
1,1024,0,32,0,707
1,1024,0,32,0,709
1,1024,0,32,0,711
1,1024,0,32,0,713
1,1024,0,32,0,715
1,1024,0,32,0,717
1,1024,0,32,0,719
1,1024,0,32,0,721
1,1024,0,32,0,722
1,1024,0,32,0,724
1,1024,0,32,0,726
1,1024,0,32,0,728
1,1024,0,32,0,730
1,1024,0,32,0,732
1,1024,0,32,0,743
1,1024,0,32,0,746
1,1024,0,32,0,693
1,1024,0,32,0,703
1,1024,0,32,0,705
1,1024,0,32,0,707
1,1024,0,32,0,709
1,1024,0,32,0,711
1,1024,0,32,0,713
1,1024,0,32,0,715
1,1024,0,32,0,717
1,1024,0,32,0,718
1,1024,0,32,0,720
1,1024,0,32,0,722
1,1024,0,32,0,725
1,1024,0,32,0,728
1,1024,0,32,0,730
1,1024,0,32,0,732
1,1024,0,32,0,733
1,1024,0,32,0,735
1,1024,0,32,0,737
1,1024,0,32,0,739
1,1024,0,32,0,741
1,1024,0,32,0,743
1,1024,0,32,0,744
1,1024,0,32,0,746
1,1024,0,32,0,748
1,1024,0,32,0,1028
1,1024,0,32,0,1039
1,1024,0,32,0,1041
1,1024,0,32,0,1044
1,1024,0,32,0,1046
1,1024,0,32,0,1048
1,1024,0,32,0,1050
1,1024,0,32,0,1052
1,1024,0,32,0,1054
1,1024,0,32,0,1057
1,1024,0,32,0,1059
1,1024,0,32,0,1061
1,1024,0,32,0,1063
1,1024,0,32,0,1065
1,1024,0,32,0,1067
1,1024,0,32,0,1069
1,1024,0,32,0,1071
1,1024,0,32,0,1073
1,1024,0,32,0,1075
1,1024,0,32,0,1077
1,1024,0,32,0,1079
1,1024,0,32,0,1080
1,1024,0,32,0,1082
1,1024,0,32,0,1084
1,1024,0,32,0,1086
1,1024,0,32,0,1088
1,1024,0,32,0,633
1,1024,0,32,0,645
1,1024,0,32,0,649
1,1024,0,32,0,652
1,1024,0,32,0,654
1,1024,0,32,0,656
1,1024,0,32,0,657
1,1024,0,32,0,659
1,1024,0,32,0,661
1,1024,0,32,0,664
1,1024,0,32,0,666
1,1024,0,32,0,668
1,1024,0,32,0,670
1,1024,0,32,0,672
1,1024,0,32,0,674
1,1024,0,32,0,676
1,1024,0,32,0,678
1,1024,0,32,0,679
1,1024,0,32,0,681
1,1024,0,32,0,683
1,1024,0,32,0,685
1,1024,0,32,0,687
1,1024,0,32,0,689
1,1024,0,32,0,690
1,1024,0,32,0,692
1,1024,0,32,0,694
1,1024,0,32,0,657
1,1024,0,32,0,668
1,1024,0,32,0,671
