getter,peers,micros,payload,rcv_flag,delay
1,128,10,32,0,232
1,128,10,32,0,137
1,128,10,32,0,81
1,128,10,32,0,80
1,128,10,32,0,95
1,128,10,32,0,76
1,128,10,32,0,75
1,128,10,32,0,82
1,128,10,32,0,94
1,128,10,32,0,78
1,128,10,32,0,76
1,128,10,32,0,73
1,128,10,32,0,101
1,128,10,32,0,124
1,128,10,32,0,107
1,128,10,32,0,100
1,128,10,32,0,95
1,128,10,32,0,199
1,128,10,32,0,301
1,128,10,32,0,188
1,128,10,32,0,166
1,128,10,32,0,153
1,128,10,32,0,158
1,128,10,32,0,149
1,128,10,32,0,153
1,128,10,32,0,155
1,128,10,32,0,148
1,128,10,32,0,147
1,128,10,32,0,220
1,128,10,32,0,170
1,128,10,32,0,154
1,128,10,32,0,163
1,128,10,32,0,187
1,128,10,32,0,175
1,128,10,32,0,161
1,128,10,32,0,195
1,128,10,32,0,368
1,128,10,32,0,216
1,128,10,32,0,232
1,128,10,32,0,301
1,128,10,32,0,250
1,128,10,32,0,240
1,128,10,32,0,240
1,128,10,32,0,293
1,128,10,32,0,258
1,128,10,32,0,296
1,128,10,32,0,229
1,128,10,32,0,272
1,128,10,32,0,273
1,128,10,32,0,277
1,128,10,32,0,277
1,128,10,32,0,257
1,128,10,32,0,343
1,128,10,32,0,263
1,128,10,32,0,531
1,128,10,32,0,474
1,128,10,32,0,411
1,128,10,32,0,384
1,128,10,32,0,443
1,128,10,32,0,450
1,128,10,32,0,461
1,128,10,32,0,463
1,128,10,32,0,501
1,128,10,32,0,524
1,128,10,32,0,526
1,128,10,32,0,514
1,128,10,32,0,498
1,128,10,32,0,872
1,128,10,32,0,603
1,128,10,32,0,604
1,128,10,32,0,607
1,128,10,32,0,562
1,128,10,32,0,623
1,128,10,32,0,792
1,128,10,32,0,810
1,128,10,32,0,784
1,128,10,32,0,780
1,128,10,32,0,803
1,128,10,32,0,746
1,128,10,32,0,1116
1,128,10,32,0,773
1,128,10,32,0,747
1,128,10,32,0,794
1,128,10,32,0,1014
1,128,10,32,0,934
1,128,10,32,0,1100
1,128,10,32,0,1134
1,128,10,32,0,1126
1,128,10,32,0,1015
1,128,10,32,0,1260
1,128,10,32,0,1084
1,128,10,32,0,1281
1,128,10,32,0,1782
1,128,10,32,0,3351
1,128,10,32,0,1865
1,128,10,32,0,1626
1,128,10,32,0,1499
1,128,10,32,0,1583
1,128,10,32,0,2058
1,128,10,32,0,1914
1,128,10,32,0,2081
1,128,10,32,0,2434
1,128,10,32,0,2243
1,128,10,32,0,2581
1,128,10,32,0,2768
1,128,10,32,0,2523
1,128,10,32,0,3045
1,128,10,32,0,2620
1,128,10,32,0,2649
1,128,10,32,0,2597
1,128,10,32,0,2456
1,128,10,32,0,2811
1,128,10,32,0,2503
1,128,10,32,0,2345
1,128,10,32,0,2363
1,128,10,32,0,2348
1,128,10,32,0,2595
1,128,10,32,0,2586
1,128,10,32,0,2623
1,128,10,32,0,2603
1,128,10,32,0,2496
1,128,10,32,0,2427
1,128,10,32,0,2722
1,128,10,32,0,2690
1,128,10,32,0,2433
1,128,10,32,0,2757
1,128,10,32,0,2499
1,128,10,32,0,2401
1,128,10,32,0,2397
1,128,10,32,0,2500
1,128,10,32,0,2389
1,128,10,32,0,2546
1,128,10,32,0,2457
1,128,10,32,0,2188
1,128,10,32,0,2244
1,128,10,32,0,3602
1,128,10,32,0,2656
1,128,10,32,0,2543
1,128,10,32,0,2509
1,128,10,32,0,2319
1,128,10,32,0,2390
1,128,10,32,0,2397
1,128,10,32,0,2361
1,128,10,32,0,2280
1,128,10,32,0,2371
1,128,10,32,0,2399
1,128,10,32,0,2495
1,128,10,32,0,2567
1,128,10,32,0,2639
1,128,10,32,0,2390
1,128,10,32,0,2448
1,128,10,32,0,2525
1,128,10,32,0,2431
1,128,10,32,0,2911
1,128,10,32,0,2446
1,128,10,32,0,2319
1,128,10,32,0,2459
1,128,10,32,0,2368
1,128,10,32,0,2251
1,128,10,32,0,2745
1,128,10,32,0,2193
1,128,10,32,0,2243
1,128,10,32,0,2429
1,128,10,32,0,2435
1,128,10,32,0,2306
1,128,10,32,0,2661
1,128,10,32,0,3070
1,128,10,32,0,2575
1,128,10,32,0,2467
1,128,10,32,0,2692
1,128,10,32,0,2350
1,128,10,32,0,2233
1,128,10,32,0,2437
1,128,10,32,0,2314
1,128,10,32,0,2709
1,128,10,32,0,2319
1,128,10,32,0,2210
1,128,10,32,0,2535
1,128,10,32,0,2545
1,128,10,32,0,2278
1,128,10,32,0,2471
1,128,10,32,0,2213
1,128,10,32,0,2524
1,128,10,32,0,2491
1,128,10,32,0,6225
1,128,10,32,0,2639
1,128,10,32,0,2353
1,128,10,32,0,2401
1,128,10,32,0,2491
1,128,10,32,0,2520
1,128,10,32,0,2394
1,128,10,32,0,2638
1,128,10,32,0,2253
1,128,10,32,0,2518
1,128,10,32,0,2243
1,128,10,32,0,2352
1,128,10,32,0,2442
1,128,10,32,0,2311
1,128,10,32,0,2656
1,128,10,32,0,2454
1,128,10,32,0,2464
1,128,10,32,0,2330
