getter,peers,micros,payload,rcv_flag,delay
1,512,1,32,0,556
1,512,1,32,0,165
1,512,1,32,0,185
1,512,1,32,0,121
1,512,1,32,0,90
1,512,1,32,0,272
1,512,1,32,0,130
1,512,1,32,0,117
1,512,1,32,0,116
1,512,1,32,0,135
1,512,1,32,0,229
1,512,1,32,0,145
1,512,1,32,0,130
1,512,1,32,0,151
1,512,1,32,0,130
1,512,1,32,0,125
1,512,1,32,0,134
1,512,1,32,0,119
1,512,1,32,0,122
1,512,1,32,0,117
1,512,1,32,0,1062
1,512,1,32,0,267
1,512,1,32,0,227
1,512,1,32,0,202
1,512,1,32,0,259
1,512,1,32,0,358
1,512,1,32,0,217
1,512,1,32,0,411
1,512,1,32,0,250
1,512,1,32,0,349
1,512,1,32,0,246
1,512,1,32,0,285
1,512,1,32,0,255
1,512,1,32,0,368
1,512,1,32,0,258
1,512,1,32,0,251
1,512,1,32,0,272
1,512,1,32,0,250
1,512,1,32,0,239
1,512,1,32,0,1103
1,512,1,32,0,344
1,512,1,32,0,611
1,512,1,32,0,537
1,512,1,32,0,378
1,512,1,32,0,540
1,512,1,32,0,555
1,512,1,32,0,376
1,512,1,32,0,380
1,512,1,32,0,367
1,512,1,32,0,566
1,512,1,32,0,410
1,512,1,32,0,367
1,512,1,32,0,782
1,512,1,32,0,452
1,512,1,32,0,471
1,512,1,32,0,444
1,512,1,32,0,500
1,512,1,32,0,797
1,512,1,32,0,652
1,512,1,32,0,541
1,512,1,32,0,513
1,512,1,32,0,805
1,512,1,32,0,827
1,512,1,32,0,892
1,512,1,32,0,739
1,512,1,32,0,685
1,512,1,32,0,902
1,512,1,32,0,689
1,512,1,32,0,1634
1,512,1,32,0,1093
1,512,1,32,0,1014
1,512,1,32,0,1017
1,512,1,32,0,1330
1,512,1,32,0,1458
1,512,1,32,0,1361
1,512,1,32,0,1335
1,512,1,32,0,1213
1,512,1,32,0,2357
1,512,1,32,0,2217
1,512,1,32,0,1230
1,512,1,32,0,1981
1,512,1,32,0,1861
1,512,1,32,0,1569
1,512,1,32,0,1535
1,512,1,32,0,3194
1,512,1,32,0,1796
1,512,1,32,0,3416
1,512,1,32,0,2492
1,512,1,32,0,3736
1,512,1,32,0,4377
1,512,1,32,0,3378
1,512,1,32,0,4383
1,512,1,32,0,5462
1,512,1,32,0,3763
1,512,1,32,0,4814
1,512,1,32,0,4263
1,512,1,32,0,6225
1,512,1,32,0,3529
1,512,1,32,0,5614
1,512,1,32,0,5158
1,512,1,32,0,6590
1,512,1,32,0,5526
1,512,1,32,0,6518
1,512,1,32,0,6517
1,512,1,32,0,6992
1,512,1,32,0,9214
1,512,1,32,0,6268
1,512,1,32,0,8487
1,512,1,32,0,8260
1,512,1,32,0,10617
1,512,1,32,0,10380
1,512,1,32,0,13925
1,512,1,32,0,11590
1,512,1,32,0,15947
1,512,1,32,0,14243
1,512,1,32,0,15073
1,512,1,32,0,14207
1,512,1,32,0,15275
1,512,1,32,0,17448
1,512,1,32,0,11877
1,512,1,32,0,11340
1,512,1,32,0,11569
1,512,1,32,0,12528
1,512,1,32,0,11431
1,512,1,32,0,11851
1,512,1,32,0,18189
1,512,1,32,0,11563
1,512,1,32,0,11915
1,512,1,32,0,11903
1,512,1,32,0,11981
1,512,1,32,0,11737
1,512,1,32,0,12055
1,512,1,32,0,12000
1,512,1,32,0,12181
1,512,1,32,0,12080
1,512,1,32,0,591159
1,512,1,32,0,12744
1,512,1,32,0,11149
1,512,1,32,0,12437
1,512,1,32,0,12777
1,512,1,32,0,16611
1,512,1,32,0,12454
1,512,1,32,0,12601
1,512,1,32,0,12658
1,512,1,32,0,12071
1,512,1,32,0,12461
1,512,1,32,0,12308
1,512,1,32,0,12083
1,512,1,32,0,12041
1,512,1,32,0,13243
1,512,1,32,0,11889
1,512,1,32,0,12615
1,512,1,32,0,13345
1,512,1,32,0,13900
1,512,1,32,0,15165
1,512,1,32,0,13365
1,512,1,32,0,11937
1,512,1,32,0,11479
1,512,1,32,0,12208
1,512,1,32,0,11721
1,512,1,32,0,11600
1,512,1,32,0,11999
1,512,1,32,0,12183
1,512,1,32,0,11758
1,512,1,32,0,12472
1,512,1,32,0,11523
1,512,1,32,0,11829
1,512,1,32,0,11418
1,512,1,32,0,12105
1,512,1,32,0,11620
1,512,1,32,0,12406
1,512,1,32,0,12355
1,512,1,32,0,11850
1,512,1,32,0,13135
1,512,1,32,0,11746
1,512,1,32,0,11671
1,512,1,32,0,11880
1,512,1,32,0,12062
1,512,1,32,0,12215
1,512,1,32,0,11564
1,512,1,32,0,11210
1,512,1,32,0,12637
1,512,1,32,0,12117
1,512,1,32,0,11497
1,512,1,32,0,12008
1,512,1,32,0,12081
1,512,1,32,0,11481
1,512,1,32,0,11533
1,512,1,32,0,12447
1,512,1,32,0,12339
1,512,1,32,0,11436
1,512,1,32,0,12417
1,512,1,32,0,11795
1,512,1,32,0,11564
1,512,1,32,0,11500
1,512,1,32,0,12078
1,512,1,32,0,11728
1,512,1,32,0,11901
1,512,1,32,0,12056
1,512,1,32,0,11646
1,512,1,32,0,11882
1,512,1,32,0,11844
1,512,1,32,0,11959
1,512,1,32,0,11447
1,512,1,32,0,12455
1,512,1,32,0,12699
1,512,1,32,0,12833
1,512,1,32,0,11894
1,512,1,32,0,12287
1,512,1,32,0,11903
1,512,1,32,0,11415
1,512,1,32,0,11914
1,512,1,32,0,12208
1,512,1,32,0,11610
1,512,1,32,0,11560
1,512,1,32,0,11582
1,512,1,32,0,11708
1,512,1,32,0,11088
1,512,1,32,0,11817
1,512,1,32,0,12447
1,512,1,32,0,12109
1,512,1,32,0,11635
1,512,1,32,0,11654
1,512,1,32,0,11511
1,512,1,32,0,12050
1,512,1,32,0,12485
1,512,1,32,0,11633
1,512,1,32,0,11771
1,512,1,32,0,11943
1,512,1,32,0,11941
1,512,1,32,0,12103
1,512,1,32,0,11852
1,512,1,32,0,12305
1,512,1,32,0,11741
1,512,1,32,0,12000
1,512,1,32,0,14093
1,512,1,32,0,17112
1,512,1,32,0,11683
1,512,1,32,0,12704
1,512,1,32,0,12673
1,512,1,32,0,12374
1,512,1,32,0,12549
1,512,1,32,0,12229
1,512,1,32,0,11612
1,512,1,32,0,12203
1,512,1,32,0,11774
1,512,1,32,0,12457
1,512,1,32,0,12259
1,512,1,32,0,12107
1,512,1,32,0,12239
1,512,1,32,0,11910
1,512,1,32,0,13105
1,512,1,32,0,12349
1,512,1,32,0,12230
1,512,1,32,0,12003
1,512,1,32,0,11470
1,512,1,32,0,12160
1,512,1,32,0,11881
1,512,1,32,0,11991
1,512,1,32,0,12179
1,512,1,32,0,11803
1,512,1,32,0,11558
1,512,1,32,0,12081
1,512,1,32,0,12480
1,512,1,32,0,11869
1,512,1,32,0,11960
1,512,1,32,0,12123
1,512,1,32,0,12068
1,512,1,32,0,12482
1,512,1,32,0,12090
1,512,1,32,0,11723
1,512,1,32,0,12141
1,512,1,32,0,11544
1,512,1,32,0,11704
1,512,1,32,0,12206
1,512,1,32,0,11966
1,512,1,32,0,12076
1,512,1,32,0,11510
1,512,1,32,0,11762
1,512,1,32,0,11570
1,512,1,32,0,11632
1,512,1,32,0,11990
1,512,1,32,0,11881
1,512,1,32,0,11812
1,512,1,32,0,11666
1,512,1,32,0,12710
1,512,1,32,0,11519
1,512,1,32,0,11762
1,512,1,32,0,12393
1,512,1,32,0,12207
1,512,1,32,0,11978
1,512,1,32,0,11790
1,512,1,32,0,10531
1,512,1,32,0,12061
1,512,1,32,0,12074
1,512,1,32,0,11364
1,512,1,32,0,11800
1,512,1,32,0,11617
1,512,1,32,0,11958
1,512,1,32,0,10703
1,512,1,32,0,11620
1,512,1,32,0,12238
1,512,1,32,0,11629
1,512,1,32,0,12084
1,512,1,32,0,11741
1,512,1,32,0,11839
1,512,1,32,0,11706
1,512,1,32,0,11527
1,512,1,32,0,12290
1,512,1,32,0,12075
1,512,1,32,0,12097
1,512,1,32,0,12107
1,512,1,32,0,12201
1,512,1,32,0,11910
1,512,1,32,0,12434
1,512,1,32,0,11973
1,512,1,32,0,12499
1,512,1,32,0,12466
1,512,1,32,0,10697
1,512,1,32,0,12197
1,512,1,32,0,11732
1,512,1,32,0,11385
1,512,1,32,0,11321
1,512,1,32,0,12047
1,512,1,32,0,11469
1,512,1,32,0,11768
1,512,1,32,0,12028
1,512,1,32,0,12297
1,512,1,32,0,11790
1,512,1,32,0,12053
1,512,1,32,0,12577
1,512,1,32,0,12028
1,512,1,32,0,11420
1,512,1,32,0,12588
1,512,1,32,0,11875
1,512,1,32,0,12999
1,512,1,32,0,11903
1,512,1,32,0,11966
1,512,1,32,0,11777
1,512,1,32,0,11419
1,512,1,32,0,11891
1,512,1,32,0,11381
1,512,1,32,0,12356
1,512,1,32,0,11152
1,512,1,32,0,12411
1,512,1,32,0,11623
1,512,1,32,0,12188
1,512,1,32,0,12025
1,512,1,32,0,12390
1,512,1,32,0,11835
1,512,1,32,0,11409
1,512,1,32,0,11881
1,512,1,32,0,11710
1,512,1,32,0,12203
1,512,1,32,0,12614
1,512,1,32,0,13194
1,512,1,32,0,11472
1,512,1,32,0,12665
1,512,1,32,0,12275
1,512,1,32,0,12033
1,512,1,32,0,12025
1,512,1,32,0,12013
1,512,1,32,0,11700
1,512,1,32,0,11718
1,512,1,32,0,12076
1,512,1,32,0,11900
1,512,1,32,0,11799
1,512,1,32,0,12153
1,512,1,32,0,12057
1,512,1,32,0,11728
1,512,1,32,0,11217
1,512,1,32,0,11500
1,512,1,32,0,12288
1,512,1,32,0,12303
1,512,1,32,0,11255
1,512,1,32,0,11285
1,512,1,32,0,11455
1,512,1,32,0,12219
1,512,1,32,0,11884
1,512,1,32,0,11636
1,512,1,32,0,12307
1,512,1,32,0,11627
1,512,1,32,0,11887
1,512,1,32,0,12074
