getter,peers,micros,payload,rcv_flag,delay
1,512,0,32,0,292
1,512,0,32,0,534
1,512,0,32,0,265
1,512,0,32,0,457
1,512,0,32,0,225
1,512,0,32,0,455
1,512,0,32,0,401
1,512,0,32,0,263
1,512,0,32,0,371
1,512,0,32,0,294
1,512,0,32,0,242
1,512,0,32,0,259
1,512,0,32,0,401
1,512,0,32,0,355
1,512,0,32,0,273
1,512,0,32,0,293
1,512,0,32,0,306
1,512,0,32,0,327
1,512,0,32,0,351
1,512,0,32,0,300
1,512,0,32,0,364
1,512,0,32,0,288
1,512,0,32,0,461
1,512,0,32,0,311
1,512,0,32,0,366
1,512,0,32,0,351
1,512,0,32,0,303
1,512,0,32,0,402
1,512,0,32,0,330
1,512,0,32,0,393
1,512,0,32,0,350
1,512,0,32,0,376
1,512,0,32,0,294
1,512,0,32,0,685
1,512,0,32,0,419
1,512,0,32,0,522
1,512,0,32,0,429
1,512,0,32,0,387
1,512,0,32,0,407
1,512,0,32,0,409
1,512,0,32,0,441
1,512,0,32,0,408
1,512,0,32,0,435
1,512,0,32,0,607
1,512,0,32,0,453
1,512,0,32,0,469
1,512,0,32,0,484
1,512,0,32,0,769
1,512,0,32,0,584
1,512,0,32,0,755
1,512,0,32,0,587
1,512,0,32,0,568
1,512,0,32,0,572
1,512,0,32,0,672
1,512,0,32,0,614
1,512,0,32,0,792
1,512,0,32,0,733
1,512,0,32,0,738
1,512,0,32,0,661
1,512,0,32,0,596
1,512,0,32,0,839
1,512,0,32,0,747
1,512,0,32,0,699
1,512,0,32,0,874
1,512,0,32,0,781
1,512,0,32,0,787
1,512,0,32,0,786
1,512,0,32,0,3860
1,512,0,32,0,1066
1,512,0,32,0,1058
1,512,0,32,0,900
1,512,0,32,0,949
1,512,0,32,0,989
1,512,0,32,0,1085
1,512,0,32,0,1018
1,512,0,32,0,1242
1,512,0,32,0,1312
1,512,0,32,0,1017
1,512,0,32,0,1529
1,512,0,32,0,1170
1,512,0,32,0,1528
1,512,0,32,0,1366
1,512,0,32,0,1233
1,512,0,32,0,1154
1,512,0,32,0,1332
1,512,0,32,0,1888
1,512,0,32,0,2100
1,512,0,32,0,1680
1,512,0,32,0,1905
1,512,0,32,0,1983
1,512,0,32,0,1898
1,512,0,32,0,1860
1,512,0,32,0,1646
1,512,0,32,0,3161
1,512,0,32,0,2131
1,512,0,32,0,2646
1,512,0,32,0,3237
1,512,0,32,0,3723
1,512,0,32,0,4900
1,512,0,32,0,3175
1,512,0,32,0,6042
1,512,0,32,0,4305
1,512,0,32,0,5290
1,512,0,32,0,5167
1,512,0,32,0,4856
1,512,0,32,0,4862
1,512,0,32,0,5625
1,512,0,32,0,4957
1,512,0,32,0,4921
1,512,0,32,0,4582
1,512,0,32,0,4672
1,512,0,32,0,4754
1,512,0,32,0,4982
1,512,0,32,0,4870
1,512,0,32,0,4648
1,512,0,32,0,4491
1,512,0,32,0,4496
1,512,0,32,0,5206
1,512,0,32,0,4968
1,512,0,32,0,4876
1,512,0,32,0,4885
1,512,0,32,0,5011
1,512,0,32,0,5089
1,512,0,32,0,5183
1,512,0,32,0,5202
1,512,0,32,0,5029
1,512,0,32,0,4666
1,512,0,32,0,4504
1,512,0,32,0,4826
1,512,0,32,0,5606
1,512,0,32,0,6462
1,512,0,32,0,5537
1,512,0,32,0,4993
1,512,0,32,0,5526
1,512,0,32,0,9614
1,512,0,32,0,5066
1,512,0,32,0,4788
1,512,0,32,0,4945
1,512,0,32,0,5091
1,512,0,32,0,5350
1,512,0,32,0,5306
1,512,0,32,0,4922
1,512,0,32,0,4449
1,512,0,32,0,5037
1,512,0,32,0,5019
1,512,0,32,0,4819
1,512,0,32,0,5238
1,512,0,32,0,5001
1,512,0,32,0,5009
1,512,0,32,0,5141
1,512,0,32,0,5096
1,512,0,32,0,5008
1,512,0,32,0,4468
1,512,0,32,0,5064
1,512,0,32,0,5203
1,512,0,32,0,5225
1,512,0,32,0,5029
1,512,0,32,0,5204
1,512,0,32,0,5030
1,512,0,32,0,4548
1,512,0,32,0,4973
1,512,0,32,0,4687
1,512,0,32,0,5251
1,512,0,32,0,4864
1,512,0,32,0,4988
1,512,0,32,0,4956
1,512,0,32,0,5260
1,512,0,32,0,5019
1,512,0,32,0,20616
1,512,0,32,0,4900
1,512,0,32,0,5152
1,512,0,32,0,5517
1,512,0,32,0,5250
1,512,0,32,0,5509
1,512,0,32,0,5434
1,512,0,32,0,5082
1,512,0,32,0,5251
1,512,0,32,0,5300
1,512,0,32,0,5511
1,512,0,32,0,54837
1,512,0,32,0,23425
1,512,0,32,0,803210
1,512,0,32,0,1745503
1,512,0,32,0,1812783
1,512,0,32,0,1250250
1,512,0,32,0,1629825
1,512,0,32,0,1872367
1,512,0,32,0,2048813
1,512,0,32,0,12112
1,512,0,32,0,12115
1,512,0,32,0,11449
1,512,0,32,0,11589
1,512,0,32,0,11313
1,512,0,32,0,11524
1,512,0,32,0,11327
1,512,0,32,0,11526
1,512,0,32,0,11500
1,512,0,32,0,12331
1,512,0,32,0,11793
1,512,0,32,0,11617
1,512,0,32,0,12059
1,512,0,32,0,12206
1,512,0,32,0,12266
1,512,0,32,0,11592
1,512,0,32,0,11334
1,512,0,32,0,12546
1,512,0,32,0,11767
1,512,0,32,0,11744
1,512,0,32,0,11721
1,512,0,32,0,11763
1,512,0,32,0,12242
1,512,0,32,0,11768
1,512,0,32,0,11621
1,512,0,32,0,12493
1,512,0,32,0,11721
1,512,0,32,0,11956
1,512,0,32,0,11524
1,512,0,32,0,11931
1,512,0,32,0,12168
1,512,0,32,0,11581
1,512,0,32,0,11810
1,512,0,32,0,12085
1,512,0,32,0,11419
1,512,0,32,0,12716
1,512,0,32,0,12015
1,512,0,32,0,11317
1,512,0,32,0,11733
1,512,0,32,0,11738
1,512,0,32,0,11370
1,512,0,32,0,11602
1,512,0,32,0,11734
1,512,0,32,0,11530
1,512,0,32,0,12135
1,512,0,32,0,11868
1,512,0,32,0,11655
1,512,0,32,0,12451
1,512,0,32,0,11868
1,512,0,32,0,11854
1,512,0,32,0,12446
1,512,0,32,0,12153
1,512,0,32,0,11360
1,512,0,32,0,12121
1,512,0,32,0,12832
1,512,0,32,0,11674
1,512,0,32,0,11684
1,512,0,32,0,11910
1,512,0,32,0,11834
1,512,0,32,0,12210
1,512,0,32,0,12425
1,512,0,32,0,11387
1,512,0,32,0,12245
1,512,0,32,0,11723
1,512,0,32,0,11807
1,512,0,32,0,11769
1,512,0,32,0,11682
1,512,0,32,0,11473
1,512,0,32,0,11628
1,512,0,32,0,11497
1,512,0,32,0,12054
1,512,0,32,0,12648
1,512,0,32,0,12217
1,512,0,32,0,12129
1,512,0,32,0,12035
1,512,0,32,0,11581
1,512,0,32,0,11371
1,512,0,32,0,11448
1,512,0,32,0,11827
1,512,0,32,0,11978
1,512,0,32,0,11752
1,512,0,32,0,11837
1,512,0,32,0,15335
1,512,0,32,0,12624
1,512,0,32,0,12447
1,512,0,32,0,11715
1,512,0,32,0,11946
1,512,0,32,0,12105
1,512,0,32,0,11957
1,512,0,32,0,12196
1,512,0,32,0,12037
1,512,0,32,0,12210
1,512,0,32,0,12508
1,512,0,32,0,12207
1,512,0,32,0,12553
1,512,0,32,0,12090
1,512,0,32,0,12258
1,512,0,32,0,12049
1,512,0,32,0,11911
1,512,0,32,0,11596
1,512,0,32,0,12362
1,512,0,32,0,12163
1,512,0,32,0,11989
1,512,0,32,0,12674
1,512,0,32,0,12268
1,512,0,32,0,12032
1,512,0,32,0,12968
1,512,0,32,0,12580
1,512,0,32,0,12193
1,512,0,32,0,11897
1,512,0,32,0,12146
1,512,0,32,0,12053
1,512,0,32,0,12252
1,512,0,32,0,12832
1,512,0,32,0,12507
1,512,0,32,0,12347
1,512,0,32,0,12055
1,512,0,32,0,13352
