getter,peers,micros,payload,rcv_flag,delay
1,64,100000,32,0,203
1,64,100000,32,0,1140
1,64,100000,32,0,1409
1,64,100000,32,0,1440
1,64,100000,32,0,1618
1,64,100000,32,0,1080
1,64,100000,32,0,1132
1,64,100000,32,0,1352
1,64,100000,32,0,1366
1,64,100000,32,0,1313
1,64,100000,32,0,1395
1,64,100000,32,0,1311
1,64,100000,32,0,1363
1,64,100000,32,0,1402
1,64,100000,32,0,1342
1,64,100000,32,0,1277
1,64,100000,32,0,1307
1,64,100000,32,0,1397
1,64,100000,32,0,1357
1,64,100000,32,0,1377
1,64,100000,32,0,1128
1,64,100000,32,0,1085
1,64,100000,32,0,1365
1,64,100000,32,0,1367
1,64,100000,32,0,1362
1,64,100000,32,0,1379
1,64,100000,32,0,1334
1,64,100000,32,0,1306
1,64,100000,32,0,1285
1,64,100000,32,0,1356
1,64,100000,32,0,1329
1,64,100000,32,0,1428
1,64,100000,32,0,1384
1,64,100000,32,0,1329
1,64,100000,32,0,1414
1,64,100000,32,0,1147
1,64,100000,32,0,1139
1,64,100000,32,0,1399
1,64,100000,32,0,1324
1,64,100000,32,0,1367
1,64,100000,32,0,1309
1,64,100000,32,0,1317
1,64,100000,32,0,1395
1,64,100000,32,0,1526
1,64,100000,32,0,1292
1,64,100000,32,0,1302
1,64,100000,32,0,1383
1,64,100000,32,0,1310
1,64,100000,32,0,1338
1,64,100000,32,0,1366
1,64,100000,32,0,1141
1,64,100000,32,0,1106
1,64,100000,32,0,1381
1,64,100000,32,0,1344
1,64,100000,32,0,1321
1,64,100000,32,0,1268
1,64,100000,32,0,1333
1,64,100000,32,0,1304
1,64,100000,32,0,1368
1,64,100000,32,0,1385
1,64,100000,32,0,1414
1,64,100000,32,0,1280
1,64,100000,32,0,1289
1,64,100000,32,0,1331
1,64,100000,32,0,1382
1,64,100000,32,0,1247
1,64,100000,32,0,1146
1,64,100000,32,0,1359
1,64,100000,32,0,1372
1,64,100000,32,0,1304
1,64,100000,32,0,1347
1,64,100000,32,0,1355
1,64,100000,32,0,1337
1,64,100000,32,0,1320
1,64,100000,32,0,1305
1,64,100000,32,0,1350
1,64,100000,32,0,1321
1,64,100000,32,0,1378
1,64,100000,32,0,1332
1,64,100000,32,0,1364
1,64,100000,32,0,1156
1,64,100000,32,0,1097
1,64,100000,32,0,1359
1,64,100000,32,0,1380
1,64,100000,32,0,1320
1,64,100000,32,0,1352
1,64,100000,32,0,1294
1,64,100000,32,0,1307
1,64,100000,32,0,1343
1,64,100000,32,0,1284
1,64,100000,32,0,1355
1,64,100000,32,0,1288
1,64,100000,32,0,1348
1,64,100000,32,0,1437
1,64,100000,32,0,1400
1,64,100000,32,0,1210
1,64,100000,32,0,1067
1,64,100000,32,0,1348
1,64,100000,32,0,1429
1,64,100000,32,0,1355
1,64,100000,32,0,1301
1,64,100000,32,0,1415
1,64,100000,32,0,1262
1,64,100000,32,0,1338
1,64,100000,32,0,1294
1,64,100000,32,0,1330
1,64,100000,32,0,1282
1,64,100000,32,0,1291
1,64,100000,32,0,1439
1,64,100000,32,0,1297
1,64,100000,32,0,1170
1,64,100000,32,0,983
1,64,100000,32,0,1333
1,64,100000,32,0,1445
1,64,100000,32,0,1339
1,64,100000,32,0,1358
1,64,100000,32,0,1335
1,64,100000,32,0,1276
1,64,100000,32,0,1335
1,64,100000,32,0,1321
1,64,100000,32,0,1413
1,64,100000,32,0,1314
1,64,100000,32,0,1310
1,64,100000,32,0,1437
1,64,100000,32,0,1460
1,64,100000,32,0,1182
1,64,100000,32,0,1014
1,64,100000,32,0,1308
1,64,100000,32,0,1305
1,64,100000,32,0,1326
1,64,100000,32,0,1433
1,64,100000,32,0,1315
1,64,100000,32,0,1380
1,64,100000,32,0,1270
1,64,100000,32,0,1322
1,64,100000,32,0,1368
1,64,100000,32,0,1422
1,64,100000,32,0,1372
1,64,100000,32,0,1381
1,64,100000,32,0,1377
1,64,100000,32,0,1136
1,64,100000,32,0,1024
1,64,100000,32,0,1304
1,64,100000,32,0,1303
1,64,100000,32,0,1369
1,64,100000,32,0,1331
1,64,100000,32,0,1312
1,64,100000,32,0,1272
1,64,100000,32,0,1295
1,64,100000,32,0,1371
1,64,100000,32,0,1313
1,64,100000,32,0,1310
1,64,100000,32,0,1312
1,64,100000,32,0,1330
1,64,100000,32,0,1258
1,64,100000,32,0,1387
1,64,100000,32,0,1098
1,64,100000,32,0,1419
1,64,100000,32,0,1387
1,64,100000,32,0,1265
1,64,100000,32,0,1318
1,64,100000,32,0,1339
1,64,100000,32,0,1308
1,64,100000,32,0,1298
1,64,100000,32,0,1343
1,64,100000,32,0,1331
1,64,100000,32,0,1313
1,64,100000,32,0,1374
1,64,100000,32,0,1316
1,64,100000,32,0,1374
1,64,100000,32,0,1362
1,64,100000,32,0,948
1,64,100000,32,0,1440
1,64,100000,32,0,1290
1,64,100000,32,0,1319
1,64,100000,32,0,1389
1,64,100000,32,0,1329
1,64,100000,32,0,1344
1,64,100000,32,0,1362
1,64,100000,32,0,1305
1,64,100000,32,0,1316
1,64,100000,32,0,1423
1,64,100000,32,0,1286
1,64,100000,32,0,1316
1,64,100000,32,0,1308
1,64,100000,32,0,1086
1,64,100000,32,0,1028
1,64,100000,32,0,1439
1,64,100000,32,0,1396
1,64,100000,32,0,1390
