getter,peers,micros,payload,rcv_flag,delay
1,1024,100,32,0,1641
1,1024,100,32,0,1664
1,1024,100,32,0,1667
1,1024,100,32,0,1668
1,1024,100,32,0,368
1,1024,100,32,0,375
1,1024,100,32,0,378
1,1024,100,32,0,385
1,1024,100,32,0,130
1,1024,100,32,0,160
1,1024,100,32,0,180
1,1024,100,32,0,183
1,1024,100,32,0,184
1,1024,100,32,0,175
1,1024,100,32,0,183
1,1024,100,32,0,186
1,1024,100,32,0,189
1,1024,100,32,0,191
1,1024,100,32,0,520
1,1024,100,32,0,528
1,1024,100,32,0,535
1,1024,100,32,0,720
1,1024,100,32,0,724
1,1024,100,32,0,432
1,1024,100,32,0,811
1,1024,100,32,0,1004
1,1024,100,32,0,1010
1,1024,100,32,0,1016
1,1024,100,32,0,1022
1,1024,100,32,0,1418
1,1024,100,32,0,1423
1,1024,100,32,0,206
1,1024,100,32,0,218
1,1024,100,32,0,221
1,1024,100,32,0,224
1,1024,100,32,0,227
1,1024,100,32,0,232
1,1024,100,32,0,234
1,1024,100,32,0,251
1,1024,100,32,0,254
1,1024,100,32,0,260
1,1024,100,32,0,292
1,1024,100,32,0,162
1,1024,100,32,0,170
1,1024,100,32,0,508
1,1024,100,32,0,514
1,1024,100,32,0,518
1,1024,100,32,0,527
1,1024,100,32,0,533
1,1024,100,32,0,538
1,1024,100,32,0,543
1,1024,100,32,0,554
1,1024,100,32,0,560
1,1024,100,32,0,156
1,1024,100,32,0,163
1,1024,100,32,0,165
1,1024,100,32,0,174
1,1024,100,32,0,176
1,1024,100,32,0,198
1,1024,100,32,0,203
1,1024,100,32,0,213
1,1024,100,32,0,215
1,1024,100,32,0,221
1,1024,100,32,0,252
1,1024,100,32,0,266
1,1024,100,32,0,153
1,1024,100,32,0,170
1,1024,100,32,0,182
1,1024,100,32,0,186
1,1024,100,32,0,193
1,1024,100,32,0,196
1,1024,100,32,0,199
1,1024,100,32,0,216
1,1024,100,32,0,240
1,1024,100,32,0,242
1,1024,100,32,0,257
1,1024,100,32,0,270
1,1024,100,32,0,181
1,1024,100,32,0,194
1,1024,100,32,0,197
1,1024,100,32,0,207
1,1024,100,32,0,209
1,1024,100,32,0,211
1,1024,100,32,0,222
1,1024,100,32,0,239
1,1024,100,32,0,250
1,1024,100,32,0,263
1,1024,100,32,0,280
1,1024,100,32,0,287
1,1024,100,32,0,198
1,1024,100,32,0,206
1,1024,100,32,0,209
1,1024,100,32,0,212
1,1024,100,32,0,215
1,1024,100,32,0,218
1,1024,100,32,0,221
1,1024,100,32,0,224
1,1024,100,32,0,258
1,1024,100,32,0,266
1,1024,100,32,0,268
1,1024,100,32,0,272
1,1024,100,32,0,157
1,1024,100,32,0,169
1,1024,100,32,0,172
1,1024,100,32,0,182
1,1024,100,32,0,186
1,1024,100,32,0,192
1,1024,100,32,0,204
1,1024,100,32,0,210
1,1024,100,32,0,224
1,1024,100,32,0,236
1,1024,100,32,0,248
1,1024,100,32,0,260
1,1024,100,32,0,157
1,1024,100,32,0,175
1,1024,100,32,0,178
1,1024,100,32,0,192
1,1024,100,32,0,200
1,1024,100,32,0,212
1,1024,100,32,0,221
1,1024,100,32,0,564
1,1024,100,32,0,569
1,1024,100,32,0,573
1,1024,100,32,0,580
1,1024,100,32,0,587
1,1024,100,32,0,194
1,1024,100,32,0,203
1,1024,100,32,0,209
1,1024,100,32,0,211
1,1024,100,32,0,213
1,1024,100,32,0,218
1,1024,100,32,0,225
1,1024,100,32,0,227
1,1024,100,32,0,238
1,1024,100,32,0,241
1,1024,100,32,0,248
1,1024,100,32,0,251
1,1024,100,32,0,254
1,1024,100,32,0,270
1,1024,100,32,0,277
1,1024,100,32,0,280
1,1024,100,32,0,282
1,1024,100,32,0,284
1,1024,100,32,0,286
1,1024,100,32,0,287
1,1024,100,32,0,289
1,1024,100,32,0,601
1,1024,100,32,0,605
1,1024,100,32,0,608
1,1024,100,32,0,610
1,1024,100,32,0,616
1,1024,100,32,0,503
1,1024,100,32,0,513
1,1024,100,32,0,518
1,1024,100,32,0,521
1,1024,100,32,0,524
1,1024,100,32,0,526
1,1024,100,32,0,534
1,1024,100,32,0,536
1,1024,100,32,0,543
1,1024,100,32,0,546
1,1024,100,32,0,554
1,1024,100,32,0,557
1,1024,100,32,0,560
1,1024,100,32,0,562
1,1024,100,32,0,566
1,1024,100,32,0,418
1,1024,100,32,0,426
1,1024,100,32,0,429
1,1024,100,32,0,541
1,1024,100,32,0,549
1,1024,100,32,0,552
1,1024,100,32,0,556
1,1024,100,32,0,558
1,1024,100,32,0,880
1,1024,100,32,0,887
1,1024,100,32,0,890
1,1024,100,32,0,893
1,1024,100,32,0,1224
1,1024,100,32,0,1228
1,1024,100,32,0,1237
1,1024,100,32,0,1243
1,1024,100,32,0,594
1,1024,100,32,0,604
1,1024,100,32,0,610
1,1024,100,32,0,613
1,1024,100,32,0,620
1,1024,100,32,0,624
1,1024,100,32,0,626
1,1024,100,32,0,628
1,1024,100,32,0,632
1,1024,100,32,0,635
1,1024,100,32,0,637
1,1024,100,32,0,639
1,1024,100,32,0,641
1,1024,100,32,0,643
1,1024,100,32,0,646
1,1024,100,32,0,648
1,1024,100,32,0,651
1,1024,100,32,0,654
1,1024,100,32,0,656
1,1024,100,32,0,869
1,1024,100,32,0,892
1,1024,100,32,0,896
1,1024,100,32,0,899
1,1024,100,32,0,900
1,1024,100,32,0,902
1,1024,100,32,0,904
1,1024,100,32,0,912
1,1024,100,32,0,921
1,1024,100,32,0,1710
1,1024,100,32,0,1715
1,1024,100,32,0,1722
1,1024,100,32,0,1725
1,1024,100,32,0,1731
1,1024,100,32,0,1744
1,1024,100,32,0,1754
1,1024,100,32,0,1757
1,1024,100,32,0,1764
1,1024,100,32,0,1768
1,1024,100,32,0,735
1,1024,100,32,0,752
1,1024,100,32,0,756
1,1024,100,32,0,759
1,1024,100,32,0,761
1,1024,100,32,0,764
1,1024,100,32,0,766
1,1024,100,32,0,769
1,1024,100,32,0,771
1,1024,100,32,0,774
1,1024,100,32,0,778
1,1024,100,32,0,791
1,1024,100,32,0,793
1,1024,100,32,0,795
1,1024,100,32,0,811
1,1024,100,32,0,815
1,1024,100,32,0,821
1,1024,100,32,0,832
1,1024,100,32,0,838
1,1024,100,32,0,840
1,1024,100,32,0,853
1,1024,100,32,0,861
1,1024,100,32,0,868
1,1024,100,32,0,876
1,1024,100,32,0,709
1,1024,100,32,0,721
1,1024,100,32,0,724
1,1024,100,32,0,728
1,1024,100,32,0,744
1,1024,100,32,0,748
1,1024,100,32,0,750
1,1024,100,32,0,759
1,1024,100,32,0,762
1,1024,100,32,0,765
1,1024,100,32,0,768
1,1024,100,32,0,770
1,1024,100,32,0,775
1,1024,100,32,0,779
1,1024,100,32,0,791
1,1024,100,32,0,794
1,1024,100,32,0,807
