getter,peers,micros,payload,rcv_flag,delay
1,16,100000,32,0,192
1,16,100000,32,0,420
1,16,100000,32,0,235
1,16,100000,32,0,463
1,16,100000,32,0,357
1,16,100000,32,0,276
1,16,100000,32,0,441
1,16,100000,32,0,482
1,16,100000,32,0,413
1,16,100000,32,0,398
1,16,100000,32,0,420
1,16,100000,32,0,388
1,16,100000,32,0,499
1,16,100000,32,0,382
1,16,100000,32,0,443
1,16,100000,32,0,431
1,16,100000,32,0,374
1,16,100000,32,0,256
1,16,100000,32,0,384
1,16,100000,32,0,446
1,16,100000,32,0,440
1,16,100000,32,0,459
1,16,100000,32,0,423
1,16,100000,32,0,421
1,16,100000,32,0,314
1,16,100000,32,0,253
1,16,100000,32,0,480
1,16,100000,32,0,441
1,16,100000,32,0,435
1,16,100000,32,0,461
1,16,100000,32,0,474
1,16,100000,32,0,451
1,16,100000,32,0,312
1,16,100000,32,0,462
1,16,100000,32,0,421
1,16,100000,32,0,439
1,16,100000,32,0,413
1,16,100000,32,0,490
1,16,100000,32,0,464
1,16,100000,32,0,440
1,16,100000,32,0,439
1,16,100000,32,0,437
1,16,100000,32,0,444
1,16,100000,32,0,468
1,16,100000,32,0,429
1,16,100000,32,0,320
1,16,100000,32,0,412
1,16,100000,32,0,265
1,16,100000,32,0,439
1,16,100000,32,0,404
1,16,100000,32,0,411
1,16,100000,32,0,407
1,16,100000,32,0,414
1,16,100000,32,0,477
1,16,100000,32,0,420
1,16,100000,32,0,451
1,16,100000,32,0,464
1,16,100000,32,0,494
1,16,100000,32,0,415
1,16,100000,32,0,468
1,16,100000,32,0,401
1,16,100000,32,0,427
1,16,100000,32,0,263
1,16,100000,32,0,487
1,16,100000,32,0,411
1,16,100000,32,0,318
1,16,100000,32,0,435
1,16,100000,32,0,426
1,16,100000,32,0,432
1,16,100000,32,0,408
1,16,100000,32,0,500
1,16,100000,32,0,435
1,16,100000,32,0,500
1,16,100000,32,0,455
1,16,100000,32,0,483
1,16,100000,32,0,460
1,16,100000,32,0,439
1,16,100000,32,0,309
1,16,100000,32,0,431
1,16,100000,32,0,449
1,16,100000,32,0,408
1,16,100000,32,0,461
1,16,100000,32,0,452
1,16,100000,32,0,446
1,16,100000,32,0,399
1,16,100000,32,0,380
1,16,100000,32,0,468
1,16,100000,32,0,429
1,16,100000,32,0,405
1,16,100000,32,0,478
1,16,100000,32,0,441
1,16,100000,32,0,439
1,16,100000,32,0,290
1,16,100000,32,0,483
1,16,100000,32,0,493
1,16,100000,32,0,462
1,16,100000,32,0,457
1,16,100000,32,0,509
1,16,100000,32,0,456
1,16,100000,32,0,439
1,16,100000,32,0,441
1,16,100000,32,0,468
1,16,100000,32,0,516
1,16,100000,32,0,482
1,16,100000,32,0,392
1,16,100000,32,0,387
1,16,100000,32,0,320
1,16,100000,32,0,285
1,16,100000,32,0,397
1,16,100000,32,0,451
1,16,100000,32,0,419
1,16,100000,32,0,444
1,16,100000,32,0,517
1,16,100000,32,0,454
1,16,100000,32,0,467
1,16,100000,32,0,461
1,16,100000,32,0,378
1,16,100000,32,0,448
1,16,100000,32,0,466
1,16,100000,32,0,504
1,16,100000,32,0,429
1,16,100000,32,0,453
1,16,100000,32,0,292
1,16,100000,32,0,439
1,16,100000,32,0,340
1,16,100000,32,0,342
1,16,100000,32,0,205
1,16,100000,32,0,446
1,16,100000,32,0,470
1,16,100000,32,0,476
1,16,100000,32,0,365
1,16,100000,32,0,451
1,16,100000,32,0,456
1,16,100000,32,0,453
1,16,100000,32,0,380
1,16,100000,32,0,461
1,16,100000,32,0,470
1,16,100000,32,0,218
1,16,100000,32,0,443
1,16,100000,32,0,377
1,16,100000,32,0,435
1,16,100000,32,0,486
1,16,100000,32,0,395
1,16,100000,32,0,385
1,16,100000,32,0,470
1,16,100000,32,0,372
1,16,100000,32,0,251
1,16,100000,32,0,482
1,16,100000,32,0,424
1,16,100000,32,0,457
1,16,100000,32,0,452
1,16,100000,32,0,420
1,16,100000,32,0,330
1,16,100000,32,0,513
1,16,100000,32,0,403
1,16,100000,32,0,418
1,16,100000,32,0,445
1,16,100000,32,0,469
1,16,100000,32,0,430
1,16,100000,32,0,385
1,16,100000,32,0,440
1,16,100000,32,0,483
1,16,100000,32,0,459
1,16,100000,32,0,407
1,16,100000,32,0,376
1,16,100000,32,0,403
1,16,100000,32,0,282
1,16,100000,32,0,250
1,16,100000,32,0,451
1,16,100000,32,0,452
1,16,100000,32,0,481
1,16,100000,32,0,428
1,16,100000,32,0,460
1,16,100000,32,0,402
1,16,100000,32,0,427
1,16,100000,32,0,473
1,16,100000,32,0,494
1,16,100000,32,0,359
1,16,100000,32,0,461
1,16,100000,32,0,368
1,16,100000,32,0,394
1,16,100000,32,0,422
1,16,100000,32,0,321
1,16,100000,32,0,488
1,16,100000,32,0,493
1,16,100000,32,0,444
1,16,100000,32,0,267
1,16,100000,32,0,442
1,16,100000,32,0,455
1,16,100000,32,0,388
1,16,100000,32,0,416
1,16,100000,32,0,449
