getter,peers,micros,payload,rcv_flag,delay
1,256,1,32,0,311
1,256,1,32,0,203
1,256,1,32,0,154
1,256,1,32,0,115
1,256,1,32,0,112
1,256,1,32,0,103
1,256,1,32,0,97
1,256,1,32,0,103
1,256,1,32,0,92
1,256,1,32,0,124
1,256,1,32,0,96
1,256,1,32,0,102
1,256,1,32,0,265
1,256,1,32,0,126
1,256,1,32,0,130
1,256,1,32,0,103
1,256,1,32,0,111
1,256,1,32,0,117
1,256,1,32,0,115
1,256,1,32,0,112
1,256,1,32,0,106
1,256,1,32,0,108
1,256,1,32,0,123
1,256,1,32,0,111
1,256,1,32,0,473
1,256,1,32,0,256
1,256,1,32,0,189
1,256,1,32,0,274
1,256,1,32,0,172
1,256,1,32,0,200
1,256,1,32,0,211
1,256,1,32,0,185
1,256,1,32,0,186
1,256,1,32,0,173
1,256,1,32,0,192
1,256,1,32,0,185
1,256,1,32,0,161
1,256,1,32,0,236
1,256,1,32,0,338
1,256,1,32,0,263
1,256,1,32,0,230
1,256,1,32,0,186
1,256,1,32,0,230
1,256,1,32,0,195
1,256,1,32,0,300
1,256,1,32,0,288
1,256,1,32,0,258
1,256,1,32,0,226
1,256,1,32,0,239
1,256,1,32,0,261
1,256,1,32,0,597
1,256,1,32,0,454
1,256,1,32,0,313
1,256,1,32,0,374
1,256,1,32,0,332
1,256,1,32,0,427
1,256,1,32,0,383
1,256,1,32,0,363
1,256,1,32,0,327
1,256,1,32,0,226
1,256,1,32,0,426
1,256,1,32,0,525
1,256,1,32,0,348
1,256,1,32,0,386
1,256,1,32,0,1030
1,256,1,32,0,471
1,256,1,32,0,425
1,256,1,32,0,466
1,256,1,32,0,430
1,256,1,32,0,311
1,256,1,32,0,674
1,256,1,32,0,850
1,256,1,32,0,553
1,256,1,32,0,339
1,256,1,32,0,352
1,256,1,32,0,437
1,256,1,32,0,1069
1,256,1,32,0,473
1,256,1,32,0,703
1,256,1,32,0,693
1,256,1,32,0,513
1,256,1,32,0,571
1,256,1,32,0,562
1,256,1,32,0,798
1,256,1,32,0,665
1,256,1,32,0,789
1,256,1,32,0,1153
1,256,1,32,0,734
1,256,1,32,0,639
1,256,1,32,0,861
1,256,1,32,0,579
1,256,1,32,0,1030
1,256,1,32,0,840
1,256,1,32,0,1005
1,256,1,32,0,502
1,256,1,32,0,645
1,256,1,32,0,683
1,256,1,32,0,794
1,256,1,32,0,906
1,256,1,32,0,1615
1,256,1,32,0,654
1,256,1,32,0,922
1,256,1,32,0,1949
1,256,1,32,0,1697
1,256,1,32,0,962
1,256,1,32,0,1301
1,256,1,32,0,1461
1,256,1,32,0,1334
1,256,1,32,0,651
1,256,1,32,0,637
1,256,1,32,0,858
1,256,1,32,0,1196
1,256,1,32,0,571
