getter,peers,micros,payload,rcv_flag,delay
1,128,0,32,0,271
1,128,0,32,0,129
1,128,0,32,0,106
1,128,0,32,0,91
1,128,0,32,0,84
1,128,0,32,0,111
1,128,0,32,0,147
1,128,0,32,0,104
1,128,0,32,0,108
1,128,0,32,0,194
1,128,0,32,0,105
1,128,0,32,0,96
1,128,0,32,0,118
1,128,0,32,0,109
1,128,0,32,0,98
1,128,0,32,0,117
1,128,0,32,0,124
1,128,0,32,0,101
1,128,0,32,0,113
1,128,0,32,0,166
1,128,0,32,0,108
1,128,0,32,0,103
1,128,0,32,0,102
1,128,0,32,0,112
1,128,0,32,0,122
1,128,0,32,0,102
1,128,0,32,0,108
1,128,0,32,0,115
1,128,0,32,0,100
1,128,0,32,0,100
1,128,0,32,0,95
1,128,0,32,0,176
1,128,0,32,0,130
1,128,0,32,0,126
1,128,0,32,0,109
1,128,0,32,0,102
1,128,0,32,0,131
1,128,0,32,0,107
1,128,0,32,0,107
1,128,0,32,0,128
1,128,0,32,0,119
1,128,0,32,0,216
1,128,0,32,0,134
1,128,0,32,0,139
1,128,0,32,0,146
1,128,0,32,0,140
1,128,0,32,0,175
1,128,0,32,0,151
1,128,0,32,0,157
1,128,0,32,0,122
1,128,0,32,0,142
1,128,0,32,0,122
1,128,0,32,0,131
1,128,0,32,0,119
1,128,0,32,0,154
1,128,0,32,0,317
1,128,0,32,0,280
1,128,0,32,0,220
1,128,0,32,0,202
1,128,0,32,0,193
1,128,0,32,0,250
1,128,0,32,0,233
1,128,0,32,0,174
1,128,0,32,0,207
1,128,0,32,0,345
1,128,0,32,0,327
1,128,0,32,0,173
1,128,0,32,0,284
1,128,0,32,0,151
1,128,0,32,0,226
1,128,0,32,0,181
1,128,0,32,0,287
1,128,0,32,0,252
1,128,0,32,0,186
1,128,0,32,0,214
1,128,0,32,0,248
1,128,0,32,0,265
1,128,0,32,0,245
1,128,0,32,0,274
1,128,0,32,0,242
1,128,0,32,0,211
1,128,0,32,0,210
1,128,0,32,0,312
1,128,0,32,0,261
1,128,0,32,0,177
1,128,0,32,0,334
1,128,0,32,0,181
1,128,0,32,0,544
1,128,0,32,0,245
1,128,0,32,0,241
1,128,0,32,0,339
1,128,0,32,0,206
1,128,0,32,0,234
1,128,0,32,0,232
1,128,0,32,0,214
1,128,0,32,0,242
1,128,0,32,0,530
1,128,0,32,0,198
1,128,0,32,0,370
1,128,0,32,0,264
1,128,0,32,0,255
1,128,0,32,0,421
1,128,0,32,0,322
1,128,0,32,0,520
1,128,0,32,0,393
1,128,0,32,0,343
1,128,0,32,0,448
1,128,0,32,0,241
1,128,0,32,0,299
1,128,0,32,0,283
1,128,0,32,0,673
1,128,0,32,0,536
1,128,0,32,0,257
1,128,0,32,0,461
1,128,0,32,0,418
1,128,0,32,0,279
1,128,0,32,0,418
1,128,0,32,0,444
1,128,0,32,0,525
1,128,0,32,0,658
1,128,0,32,0,358
1,128,0,32,0,735
1,128,0,32,0,422
1,128,0,32,0,647
1,128,0,32,0,499
1,128,0,32,0,513
1,128,0,32,0,508
1,128,0,32,0,313
1,128,0,32,0,306
1,128,0,32,0,447
1,128,0,32,0,358
1,128,0,32,0,723
1,128,0,32,0,437
1,128,0,32,0,681
1,128,0,32,0,714
1,128,0,32,0,973
1,128,0,32,0,713
1,128,0,32,0,521
1,128,0,32,0,792
1,128,0,32,0,1089
1,128,0,32,0,783
1,128,0,32,0,883
1,128,0,32,0,731
1,128,0,32,0,773
1,128,0,32,0,947
1,128,0,32,0,1011
1,128,0,32,0,558
1,128,0,32,0,617
1,128,0,32,0,493
1,128,0,32,0,818
1,128,0,32,0,1280
1,128,0,32,0,1052
1,128,0,32,0,1069
1,128,0,32,0,1238
1,128,0,32,0,1118
1,128,0,32,0,1519
1,128,0,32,0,1729
1,128,0,32,0,1065
1,128,0,32,0,1097
1,128,0,32,0,1368
1,128,0,32,0,867
1,128,0,32,0,1200
1,128,0,32,0,1446
1,128,0,32,0,921
1,128,0,32,0,1480
1,128,0,32,0,1724
1,128,0,32,0,1198
1,128,0,32,0,1716
1,128,0,32,0,1409
1,128,0,32,0,1488
1,128,0,32,0,1784
1,128,0,32,0,1696
1,128,0,32,0,2614
1,128,0,32,0,1171
1,128,0,32,0,1280
1,128,0,32,0,1749
1,128,0,32,0,1132
1,128,0,32,0,1177
1,128,0,32,0,1410
1,128,0,32,0,1245
1,128,0,32,0,1740
1,128,0,32,0,1334
1,128,0,32,0,1225
1,128,0,32,0,1238
1,128,0,32,0,1847
1,128,0,32,0,2039
1,128,0,32,0,1143
1,128,0,32,0,893
1,128,0,32,0,1561
1,128,0,32,0,1088
1,128,0,32,0,2121
1,128,0,32,0,1258
1,128,0,32,0,1415
1,128,0,32,0,1555
1,128,0,32,0,2389
1,128,0,32,0,1591
1,128,0,32,0,1087
1,128,0,32,0,1023
1,128,0,32,0,1234
1,128,0,32,0,1851
1,128,0,32,0,1581
1,128,0,32,0,1662
1,128,0,32,0,1185
1,128,0,32,0,1419
1,128,0,32,0,1799
1,128,0,32,0,1113
1,128,0,32,0,991
1,128,0,32,0,1698
1,128,0,32,0,1014
1,128,0,32,0,2319
1,128,0,32,0,1379
1,128,0,32,0,912
1,128,0,32,0,1163
1,128,0,32,0,834
1,128,0,32,0,1203
1,128,0,32,0,1290
1,128,0,32,0,1041
1,128,0,32,0,2034
1,128,0,32,0,2282
1,128,0,32,0,1260
1,128,0,32,0,1102
1,128,0,32,0,1449
1,128,0,32,0,1045
1,128,0,32,0,1437
1,128,0,32,0,1283
1,128,0,32,0,1225
1,128,0,32,0,1826
1,128,0,32,0,1020
1,128,0,32,0,2359
1,128,0,32,0,1235
1,128,0,32,0,1202
1,128,0,32,0,1279
1,128,0,32,0,1386
1,128,0,32,0,2470
1,128,0,32,0,1322
1,128,0,32,0,1202
1,128,0,32,0,1378
1,128,0,32,0,1076
1,128,0,32,0,862
1,128,0,32,0,1545
1,128,0,32,0,1007
1,128,0,32,0,1543
1,128,0,32,0,1443
1,128,0,32,0,2060
1,128,0,32,0,1794
1,128,0,32,0,1171
1,128,0,32,0,926
1,128,0,32,0,1535
1,128,0,32,0,1092
1,128,0,32,0,1786
1,128,0,32,0,1501
1,128,0,32,0,1099
1,128,0,32,0,1028
1,128,0,32,0,2571
1,128,0,32,0,1360
1,128,0,32,0,1007
1,128,0,32,0,1157
1,128,0,32,0,1544
1,128,0,32,0,1740
1,128,0,32,0,1669
1,128,0,32,0,2385
1,128,0,32,0,1033
1,128,0,32,0,970
1,128,0,32,0,2437
1,128,0,32,0,1947
1,128,0,32,0,1243
1,128,0,32,0,1431
1,128,0,32,0,2202
1,128,0,32,0,1878
1,128,0,32,0,959
1,128,0,32,0,1440
1,128,0,32,0,1286
1,128,0,32,0,1565
