getter,peers,micros,payload,rcv_flag,delay
1,256,1,32,0,282
1,256,1,32,0,138
1,256,1,32,0,95
1,256,1,32,0,100
1,256,1,32,0,92
1,256,1,32,0,94
1,256,1,32,0,101
1,256,1,32,0,85
1,256,1,32,0,88
1,256,1,32,0,91
1,256,1,32,0,96
1,256,1,32,0,93
1,256,1,32,0,185
1,256,1,32,0,333
1,256,1,32,0,148
1,256,1,32,0,182
1,256,1,32,0,148
1,256,1,32,0,135
1,256,1,32,0,128
1,256,1,32,0,136
1,256,1,32,0,522
1,256,1,32,0,170
1,256,1,32,0,131
1,256,1,32,0,210
1,256,1,32,0,145
1,256,1,32,0,174
1,256,1,32,0,155
1,256,1,32,0,207
1,256,1,32,0,175
1,256,1,32,0,148
1,256,1,32,0,158
1,256,1,32,0,150
1,256,1,32,0,222
1,256,1,32,0,194
1,256,1,32,0,183
1,256,1,32,0,153
1,256,1,32,0,248
1,256,1,32,0,165
1,256,1,32,0,224
1,256,1,32,0,172
1,256,1,32,0,144
1,256,1,32,0,186
1,256,1,32,0,185
1,256,1,32,0,262
1,256,1,32,0,174
1,256,1,32,0,264
1,256,1,32,0,181
1,256,1,32,0,179
1,256,1,32,0,176
1,256,1,32,0,290
1,256,1,32,0,198
1,256,1,32,0,308
1,256,1,32,0,313
1,256,1,32,0,213
1,256,1,32,0,277
1,256,1,32,0,202
1,256,1,32,0,274
1,256,1,32,0,150
1,256,1,32,0,226
1,256,1,32,0,246
1,256,1,32,0,249
1,256,1,32,0,354
1,256,1,32,0,266
1,256,1,32,0,186
1,256,1,32,0,312
1,256,1,32,0,249
1,256,1,32,0,357
1,256,1,32,0,237
1,256,1,32,0,354
1,256,1,32,0,291
1,256,1,32,0,324
1,256,1,32,0,181
1,256,1,32,0,477
1,256,1,32,0,403
1,256,1,32,0,274
1,256,1,32,0,315
1,256,1,32,0,382
1,256,1,32,0,668
1,256,1,32,0,305
1,256,1,32,0,361
1,256,1,32,0,202
1,256,1,32,0,302
1,256,1,32,0,394
1,256,1,32,0,442
1,256,1,32,0,515
1,256,1,32,0,278
1,256,1,32,0,490
1,256,1,32,0,312
1,256,1,32,0,405
1,256,1,32,0,550
1,256,1,32,0,337
1,256,1,32,0,445
1,256,1,32,0,602
1,256,1,32,0,325
1,256,1,32,0,1146
1,256,1,32,0,600
1,256,1,32,0,525
1,256,1,32,0,470
1,256,1,32,0,436
1,256,1,32,0,618
1,256,1,32,0,525
1,256,1,32,0,947
1,256,1,32,0,482
1,256,1,32,0,607
1,256,1,32,0,689
1,256,1,32,0,972
1,256,1,32,0,921
1,256,1,32,0,887
1,256,1,32,0,1002
1,256,1,32,0,1043
1,256,1,32,0,723
1,256,1,32,0,581
1,256,1,32,0,817
1,256,1,32,0,714
1,256,1,32,0,577
1,256,1,32,0,1058
1,256,1,32,0,1233
1,256,1,32,0,1149
1,256,1,32,0,1109
1,256,1,32,0,971
1,256,1,32,0,854
1,256,1,32,0,1192
1,256,1,32,0,1367
1,256,1,32,0,1202
1,256,1,32,0,1735
1,256,1,32,0,2143
1,256,1,32,0,1524
1,256,1,32,0,2583
1,256,1,32,0,1796
1,256,1,32,0,1528
1,256,1,32,0,1739
1,256,1,32,0,1817
1,256,1,32,0,1253
1,256,1,32,0,724
1,256,1,32,0,1075
1,256,1,32,0,960
1,256,1,32,0,1421
1,256,1,32,0,1522
1,256,1,32,0,1668
1,256,1,32,0,1546
1,256,1,32,0,1903
1,256,1,32,0,1465
1,256,1,32,0,1024
1,256,1,32,0,1338
1,256,1,32,0,1044
1,256,1,32,0,1622
1,256,1,32,0,1107
1,256,1,32,0,1739
1,256,1,32,0,8913
1,256,1,32,0,3335
1,256,1,32,0,1839
1,256,1,32,0,2454
1,256,1,32,0,2227
1,256,1,32,0,1710
1,256,1,32,0,1838
1,256,1,32,0,2377
1,256,1,32,0,2501
1,256,1,32,0,2732
1,256,1,32,0,1367
1,256,1,32,0,2614
1,256,1,32,0,2560
1,256,1,32,0,2031
1,256,1,32,0,1463
1,256,1,32,0,2464
1,256,1,32,0,2040
1,256,1,32,0,12977
1,256,1,32,0,3079
1,256,1,32,0,2684
1,256,1,32,0,2288
1,256,1,32,0,1735
1,256,1,32,0,9015
1,256,1,32,0,2409
1,256,1,32,0,2665
1,256,1,32,0,2554
1,256,1,32,0,3327
1,256,1,32,0,2462
1,256,1,32,0,3205
1,256,1,32,0,3380
1,256,1,32,0,3318
1,256,1,32,0,2329
1,256,1,32,0,1784
1,256,1,32,0,2825
1,256,1,32,0,3196
1,256,1,32,0,2543
1,256,1,32,0,3075
1,256,1,32,0,2152
1,256,1,32,0,3058
1,256,1,32,0,3290
1,256,1,32,0,2686
1,256,1,32,0,2180
1,256,1,32,0,2426
1,256,1,32,0,4019
1,256,1,32,0,2051
1,256,1,32,0,4496
1,256,1,32,0,2127
1,256,1,32,0,2732
1,256,1,32,0,1699
1,256,1,32,0,2227
1,256,1,32,0,3090
1,256,1,32,0,2034
1,256,1,32,0,1985
1,256,1,32,0,2716
1,256,1,32,0,1793
1,256,1,32,0,3032
1,256,1,32,0,2236
1,256,1,32,0,3119
1,256,1,32,0,1586
1,256,1,32,0,1392
1,256,1,32,0,2003
1,256,1,32,0,2184
1,256,1,32,0,1942
1,256,1,32,0,2679
1,256,1,32,0,1635
1,256,1,32,0,2644
1,256,1,32,0,2207
1,256,1,32,0,1585
1,256,1,32,0,2340
1,256,1,32,0,2039
1,256,1,32,0,2080
1,256,1,32,0,2117
1,256,1,32,0,2462
1,256,1,32,0,2278
1,256,1,32,0,2935
1,256,1,32,0,3467
1,256,1,32,0,1797
1,256,1,32,0,2795
1,256,1,32,0,2094
1,256,1,32,0,2669
1,256,1,32,0,2723
1,256,1,32,0,2614
1,256,1,32,0,2908
