getter,peers,micros,payload,rcv_flag,delay
1,256,10000,32,0,263
1,256,10000,32,0,478
1,256,10000,32,0,752
1,256,10000,32,0,1092
1,256,10000,32,0,1368
1,256,10000,32,0,1864
1,256,10000,32,0,2348
1,256,10000,32,0,2500
1,256,10000,32,0,4975
1,256,10000,32,0,4093
1,256,10000,32,0,4998
1,256,10000,32,0,5530
1,256,10000,32,0,4764
1,256,10000,32,0,4713
1,256,10000,32,0,4822
1,256,10000,32,0,4894
1,256,10000,32,0,4675
1,256,10000,32,0,4700
1,256,10000,32,0,4757
1,256,10000,32,0,4727
1,256,10000,32,0,4605
1,256,10000,32,0,4950
1,256,10000,32,0,4741
1,256,10000,32,0,4548
1,256,10000,32,0,5229
1,256,10000,32,0,4617
1,256,10000,32,0,4761
1,256,10000,32,0,4910
1,256,10000,32,0,4838
1,256,10000,32,0,5079
1,256,10000,32,0,4894
1,256,10000,32,0,19644
1,256,10000,32,0,112947
1,256,10000,32,0,4983
1,256,10000,32,0,4837
1,256,10000,32,0,4726
1,256,10000,32,0,4780
1,256,10000,32,0,4887
1,256,10000,32,0,9731
1,256,10000,32,0,4703
1,256,10000,32,0,4971
1,256,10000,32,0,5273
1,256,10000,32,0,5118
1,256,10000,32,0,4995
1,256,10000,32,0,4928
1,256,10000,32,0,5076
1,256,10000,32,0,5125
1,256,10000,32,0,4682
1,256,10000,32,0,4857
1,256,10000,32,0,4796
1,256,10000,32,0,5129
1,256,10000,32,0,4998
1,256,10000,32,0,5023
1,256,10000,32,0,4910
1,256,10000,32,0,4964
1,256,10000,32,0,5051
1,256,10000,32,0,5085
1,256,10000,32,0,5028
1,256,10000,32,0,4929
1,256,10000,32,0,4781
1,256,10000,32,0,5018
1,256,10000,32,0,4986
1,256,10000,32,0,4735
1,256,10000,32,0,5039
1,256,10000,32,0,4963
1,256,10000,32,0,4836
1,256,10000,32,0,4952
1,256,10000,32,0,5043
1,256,10000,32,0,5243
1,256,10000,32,0,4854
1,256,10000,32,0,4734
1,256,10000,32,0,4995
1,256,10000,32,0,4881
1,256,10000,32,0,4825
1,256,10000,32,0,4768
1,256,10000,32,0,4848
1,256,10000,32,0,4754
1,256,10000,32,0,4793
1,256,10000,32,0,4732
1,256,10000,32,0,4695
1,256,10000,32,0,4878
1,256,10000,32,0,5842
1,256,10000,32,0,5541
1,256,10000,32,0,5083
1,256,10000,32,0,5240
1,256,10000,32,0,5219
1,256,10000,32,0,5337
1,256,10000,32,0,5525
1,256,10000,32,0,5189
1,256,10000,32,0,5423
1,256,10000,32,0,5190
1,256,10000,32,0,5503
1,256,10000,32,0,5620
1,256,10000,32,0,5274
1,256,10000,32,0,4920
1,256,10000,32,0,4990
1,256,10000,32,0,4892
1,256,10000,32,0,5128
1,256,10000,32,0,5138
1,256,10000,32,0,4863
1,256,10000,32,0,4970
1,256,10000,32,0,4732
1,256,10000,32,0,5018
1,256,10000,32,0,5013
1,256,10000,32,0,4738
1,256,10000,32,0,4812
1,256,10000,32,0,4940
1,256,10000,32,0,4903
1,256,10000,32,0,7315
1,256,10000,32,0,4848
1,256,10000,32,0,4904
1,256,10000,32,0,4808
1,256,10000,32,0,4871
1,256,10000,32,0,4794
1,256,10000,32,0,4895
1,256,10000,32,0,4762
1,256,10000,32,0,5057
1,256,10000,32,0,4794
1,256,10000,32,0,4962
1,256,10000,32,0,4810
1,256,10000,32,0,4806
1,256,10000,32,0,4812
1,256,10000,32,0,4935
1,256,10000,32,0,4902
1,256,10000,32,0,5089
1,256,10000,32,0,4754
1,256,10000,32,0,4773
1,256,10000,32,0,4942
1,256,10000,32,0,4986
1,256,10000,32,0,4853
1,256,10000,32,0,4902
1,256,10000,32,0,4693
1,256,10000,32,0,4985
1,256,10000,32,0,5174
1,256,10000,32,0,4948
1,256,10000,32,0,4982
1,256,10000,32,0,5103
1,256,10000,32,0,4930
1,256,10000,32,0,5052
1,256,10000,32,0,4959
1,256,10000,32,0,4873
1,256,10000,32,0,4723
1,256,10000,32,0,4757
1,256,10000,32,0,4946
1,256,10000,32,0,4764
1,256,10000,32,0,4714
1,256,10000,32,0,4811
1,256,10000,32,0,4764
1,256,10000,32,0,4867
1,256,10000,32,0,4862
1,256,10000,32,0,4709
1,256,10000,32,0,4788
1,256,10000,32,0,4674
1,256,10000,32,0,5164
1,256,10000,32,0,4793
1,256,10000,32,0,4659
1,256,10000,32,0,4783
1,256,10000,32,0,4729
1,256,10000,32,0,5019
1,256,10000,32,0,5127
1,256,10000,32,0,4819
1,256,10000,32,0,4958
1,256,10000,32,0,4917
1,256,10000,32,0,4769
1,256,10000,32,0,5071
1,256,10000,32,0,4761
1,256,10000,32,0,4849
1,256,10000,32,0,5448
1,256,10000,32,0,5233
1,256,10000,32,0,5127
1,256,10000,32,0,4701
1,256,10000,32,0,5138
1,256,10000,32,0,4988
1,256,10000,32,0,4914
1,256,10000,32,0,4859
1,256,10000,32,0,4744
1,256,10000,32,0,5016
1,256,10000,32,0,4751
1,256,10000,32,0,4704
1,256,10000,32,0,5239
1,256,10000,32,0,5001
1,256,10000,32,0,5009
1,256,10000,32,0,4897
1,256,10000,32,0,4992
1,256,10000,32,0,5182
1,256,10000,32,0,4949
1,256,10000,32,0,4900
1,256,10000,32,0,4937
1,256,10000,32,0,4732
1,256,10000,32,0,9008
1,256,10000,32,0,5448
1,256,10000,32,0,5194
1,256,10000,32,0,5153
1,256,10000,32,0,5290
1,256,10000,32,0,5477
1,256,10000,32,0,5242
1,256,10000,32,0,5843
1,256,10000,32,0,5375
1,256,10000,32,0,4960
1,256,10000,32,0,5108
1,256,10000,32,0,4833
1,256,10000,32,0,4899
1,256,10000,32,0,6634
1,256,10000,32,0,4993
1,256,10000,32,0,5016
1,256,10000,32,0,4932
1,256,10000,32,0,4845
1,256,10000,32,0,4849
1,256,10000,32,0,4799
1,256,10000,32,0,5093
1,256,10000,32,0,5295
1,256,10000,32,0,4995
1,256,10000,32,0,5137
1,256,10000,32,0,4786
1,256,10000,32,0,4834
1,256,10000,32,0,5092
1,256,10000,32,0,4809
1,256,10000,32,0,4669
1,256,10000,32,0,4630
1,256,10000,32,0,4961
1,256,10000,32,0,4861
1,256,10000,32,0,5173
1,256,10000,32,0,4820
1,256,10000,32,0,4752
1,256,10000,32,0,4880
1,256,10000,32,0,4788
1,256,10000,32,0,4888
1,256,10000,32,0,7136
1,256,10000,32,0,5250
1,256,10000,32,0,5460
1,256,10000,32,0,6200
1,256,10000,32,0,4879
1,256,10000,32,0,5181
1,256,10000,32,0,6544
1,256,10000,32,0,5459
1,256,10000,32,0,6570
1,256,10000,32,0,4950
1,256,10000,32,0,4944
1,256,10000,32,0,4786
1,256,10000,32,0,5242
1,256,10000,32,0,4873
1,256,10000,32,0,4995
1,256,10000,32,0,4849
1,256,10000,32,0,4955
1,256,10000,32,0,5010
1,256,10000,32,0,5097
1,256,10000,32,0,4692
1,256,10000,32,0,4923
1,256,10000,32,0,5099
1,256,10000,32,0,5076
1,256,10000,32,0,4726
1,256,10000,32,0,4634
1,256,10000,32,0,5073
1,256,10000,32,0,4727
1,256,10000,32,0,4948
1,256,10000,32,0,4936
1,256,10000,32,0,4968
1,256,10000,32,0,4833
1,256,10000,32,0,5310
1,256,10000,32,0,5167
1,256,10000,32,0,5065
1,256,10000,32,0,4872
1,256,10000,32,0,4833
1,256,10000,32,0,5019
1,256,10000,32,0,4850
1,256,10000,32,0,4810
1,256,10000,32,0,4702
1,256,10000,32,0,4924
1,256,10000,32,0,4746
1,256,10000,32,0,5254
1,256,10000,32,0,4691
1,256,10000,32,0,4704
1,256,10000,32,0,4785
1,256,10000,32,0,4979
1,256,10000,32,0,5010
1,256,10000,32,0,5054
1,256,10000,32,0,5320
1,256,10000,32,0,4848
1,256,10000,32,0,5196
1,256,10000,32,0,5069
1,256,10000,32,0,4893
1,256,10000,32,0,4651
1,256,10000,32,0,4935
1,256,10000,32,0,5067
1,256,10000,32,0,5441
1,256,10000,32,0,4813
1,256,10000,32,0,4808
1,256,10000,32,0,4950
1,256,10000,32,0,4987
1,256,10000,32,0,5275
1,256,10000,32,0,4810
1,256,10000,32,0,4816
1,256,10000,32,0,4907
1,256,10000,32,0,4827
1,256,10000,32,0,4796
1,256,10000,32,0,4935
1,256,10000,32,0,5014
1,256,10000,32,0,5583
1,256,10000,32,0,5513
1,256,10000,32,0,5629
1,256,10000,32,0,5679
1,256,10000,32,0,5096
1,256,10000,32,0,5336
1,256,10000,32,0,6103
1,256,10000,32,0,5591
1,256,10000,32,0,5116
1,256,10000,32,0,5133
1,256,10000,32,0,5275
1,256,10000,32,0,4877
1,256,10000,32,0,4681
1,256,10000,32,0,5129
1,256,10000,32,0,5009
1,256,10000,32,0,5091
1,256,10000,32,0,5038
1,256,10000,32,0,5074
1,256,10000,32,0,5165
1,256,10000,32,0,4854
1,256,10000,32,0,5075
1,256,10000,32,0,4795
