getter,peers,micros,payload,rcv_flag,delay
1,256,10,32,0,398
1,256,10,32,0,167
1,256,10,32,0,121
1,256,10,32,0,183
1,256,10,32,0,227
1,256,10,32,0,140
1,256,10,32,0,144
1,256,10,32,0,239
1,256,10,32,0,323
1,256,10,32,0,303
1,256,10,32,0,212
1,256,10,32,0,217
1,256,10,32,0,179
1,256,10,32,0,170
1,256,10,32,0,186
1,256,10,32,0,175
1,256,10,32,0,178
1,256,10,32,0,199
1,256,10,32,0,236
1,256,10,32,0,222
1,256,10,32,0,224
1,256,10,32,0,208
1,256,10,32,0,252
1,256,10,32,0,463
1,256,10,32,0,326
1,256,10,32,0,278
1,256,10,32,0,292
1,256,10,32,0,445
1,256,10,32,0,306
1,256,10,32,0,568
1,256,10,32,0,407
1,256,10,32,0,355
1,256,10,32,0,421
1,256,10,32,0,446
1,256,10,32,0,396
1,256,10,32,0,589
1,256,10,32,0,442
1,256,10,32,0,681
1,256,10,32,0,551
1,256,10,32,0,714
1,256,10,32,0,467
1,256,10,32,0,920
1,256,10,32,0,656
1,256,10,32,0,726
1,256,10,32,0,896
1,256,10,32,0,1160
1,256,10,32,0,879
1,256,10,32,0,671
1,256,10,32,0,708
1,256,10,32,0,865
1,256,10,32,0,911
1,256,10,32,0,743
1,256,10,32,0,690
1,256,10,32,0,750
1,256,10,32,0,1297
1,256,10,32,0,1013
1,256,10,32,0,892
1,256,10,32,0,880
1,256,10,32,0,1084
1,256,10,32,0,1194
1,256,10,32,0,1155
1,256,10,32,0,3226
1,256,10,32,0,1184
1,256,10,32,0,1256
1,256,10,32,0,1045
1,256,10,32,0,1179
1,256,10,32,0,1216
1,256,10,32,0,1094
1,256,10,32,0,1155
1,256,10,32,0,1402
1,256,10,32,0,1335
1,256,10,32,0,1645
1,256,10,32,0,1413
1,256,10,32,0,1611
1,256,10,32,0,1650
1,256,10,32,0,1478
1,256,10,32,0,1616
1,256,10,32,0,1834
1,256,10,32,0,1774
1,256,10,32,0,1666
1,256,10,32,0,2290
1,256,10,32,0,1984
1,256,10,32,0,1924
1,256,10,32,0,2712
1,256,10,32,0,2593
1,256,10,32,0,2700
1,256,10,32,0,3251
1,256,10,32,0,3262
1,256,10,32,0,3649
1,256,10,32,0,3263
1,256,10,32,0,3608
1,256,10,32,0,4055
1,256,10,32,0,4530
1,256,10,32,0,3678
1,256,10,32,0,3788
1,256,10,32,0,5303
1,256,10,32,0,4564
1,256,10,32,0,5018
1,256,10,32,0,4594
1,256,10,32,0,5038
1,256,10,32,0,5915
1,256,10,32,0,5124
1,256,10,32,0,5989
1,256,10,32,0,6155
1,256,10,32,0,7151
1,256,10,32,0,5640
1,256,10,32,0,5608
1,256,10,32,0,5503
1,256,10,32,0,5520
1,256,10,32,0,5421
1,256,10,32,0,5943
1,256,10,32,0,5523
1,256,10,32,0,5042
1,256,10,32,0,5447
1,256,10,32,0,5473
1,256,10,32,0,5505
1,256,10,32,0,5627
1,256,10,32,0,5555
1,256,10,32,0,5538
1,256,10,32,0,5707
1,256,10,32,0,5704
1,256,10,32,0,5894
1,256,10,32,0,5535
1,256,10,32,0,5308
1,256,10,32,0,5267
1,256,10,32,0,5946
1,256,10,32,0,5520
1,256,10,32,0,7874
1,256,10,32,0,5336
1,256,10,32,0,5378
1,256,10,32,0,5442
1,256,10,32,0,5532
1,256,10,32,0,5614
1,256,10,32,0,5374
1,256,10,32,0,5558
1,256,10,32,0,5345
1,256,10,32,0,5567
1,256,10,32,0,5628
1,256,10,32,0,5222
1,256,10,32,0,5519
1,256,10,32,0,5310
1,256,10,32,0,5333
1,256,10,32,0,5412
1,256,10,32,0,5438
1,256,10,32,0,4834
1,256,10,32,0,5395
1,256,10,32,0,5477
1,256,10,32,0,5370
1,256,10,32,0,5585
1,256,10,32,0,5316
1,256,10,32,0,5369
1,256,10,32,0,5222
1,256,10,32,0,5432
1,256,10,32,0,5336
1,256,10,32,0,5574
1,256,10,32,0,5348
1,256,10,32,0,5593
1,256,10,32,0,5403
1,256,10,32,0,5200
1,256,10,32,0,5429
1,256,10,32,0,5127
1,256,10,32,0,5303
1,256,10,32,0,5451
1,256,10,32,0,5296
1,256,10,32,0,5496
1,256,10,32,0,5471
1,256,10,32,0,5774
1,256,10,32,0,5331
1,256,10,32,0,5519
1,256,10,32,0,5787
1,256,10,32,0,10053
1,256,10,32,0,5510
1,256,10,32,0,5379
1,256,10,32,0,5436
1,256,10,32,0,5640
1,256,10,32,0,6686
1,256,10,32,0,5285
1,256,10,32,0,5348
1,256,10,32,0,5496
1,256,10,32,0,5759
1,256,10,32,0,5526
1,256,10,32,0,5542
1,256,10,32,0,5443
1,256,10,32,0,5357
1,256,10,32,0,5534
1,256,10,32,0,5345
1,256,10,32,0,5302
1,256,10,32,0,5341
1,256,10,32,0,5436
1,256,10,32,0,5611
1,256,10,32,0,5595
1,256,10,32,0,5335
1,256,10,32,0,5436
1,256,10,32,0,5178
1,256,10,32,0,5416
1,256,10,32,0,5327
1,256,10,32,0,5537
1,256,10,32,0,5439
1,256,10,32,0,5626
1,256,10,32,0,5266
1,256,10,32,0,5404
1,256,10,32,0,5616
1,256,10,32,0,5545
1,256,10,32,0,5987
1,256,10,32,0,4960
1,256,10,32,0,5203
1,256,10,32,0,5489
1,256,10,32,0,5520
1,256,10,32,0,5797
1,256,10,32,0,5581
1,256,10,32,0,5700
1,256,10,32,0,5262
1,256,10,32,0,5361
1,256,10,32,0,5750
1,256,10,32,0,5817
1,256,10,32,0,5553
1,256,10,32,0,5418
1,256,10,32,0,5345
1,256,10,32,0,5403
1,256,10,32,0,5537
1,256,10,32,0,5557
1,256,10,32,0,5234
1,256,10,32,0,5758
1,256,10,32,0,5716
1,256,10,32,0,5810
1,256,10,32,0,5388
1,256,10,32,0,5891
1,256,10,32,0,5465
1,256,10,32,0,5587
1,256,10,32,0,5684
1,256,10,32,0,5814
1,256,10,32,0,5398
1,256,10,32,0,5339
1,256,10,32,0,5328
1,256,10,32,0,5645
1,256,10,32,0,5427
1,256,10,32,0,5768
1,256,10,32,0,5435
1,256,10,32,0,5827
1,256,10,32,0,5404
1,256,10,32,0,5735
1,256,10,32,0,5455
1,256,10,32,0,5871
1,256,10,32,0,5453
1,256,10,32,0,5567
1,256,10,32,0,5802
1,256,10,32,0,5690
1,256,10,32,0,5506
1,256,10,32,0,5797
1,256,10,32,0,5475
1,256,10,32,0,5417
