getter,peers,micros,payload,rcv_flag,delay
1,256,100000,32,0,329
1,256,100000,32,0,366
1,256,100000,32,0,370
1,256,100000,32,0,372
1,256,100000,32,0,375
1,256,100000,32,0,376
1,256,100000,32,0,378
1,256,100000,32,0,380
1,256,100000,32,0,383
1,256,100000,32,0,387
1,256,100000,32,0,390
1,256,100000,32,0,393
1,256,100000,32,0,394
1,256,100000,32,0,397
1,256,100000,32,0,398
1,256,100000,32,0,400
1,256,100000,32,0,402
1,256,100000,32,0,405
1,256,100000,32,0,1217
1,256,100000,32,0,1253
1,256,100000,32,0,1257
1,256,100000,32,0,1260
1,256,100000,32,0,1263
1,256,100000,32,0,1266
1,256,100000,32,0,1268
1,256,100000,32,0,1273
1,256,100000,32,0,1317
1,256,100000,32,0,1322
1,256,100000,32,0,1325
1,256,100000,32,0,1328
1,256,100000,32,0,1331
1,256,100000,32,0,1334
1,256,100000,32,0,2609
1,256,100000,32,0,2643
1,256,100000,32,0,2647
1,256,100000,32,0,2650
1,256,100000,32,0,2653
1,256,100000,32,0,2656
1,256,100000,32,0,2659
1,256,100000,32,0,2662
1,256,100000,32,0,2665
1,256,100000,32,0,2668
1,256,100000,32,0,2671
1,256,100000,32,0,2674
1,256,100000,32,0,2677
1,256,100000,32,0,2680
1,256,100000,32,0,2683
1,256,100000,32,0,2687
1,256,100000,32,0,2690
1,256,100000,32,0,2693
1,256,100000,32,0,2696
1,256,100000,32,0,2699
1,256,100000,32,0,2702
1,256,100000,32,0,2705
1,256,100000,32,0,2707
1,256,100000,32,0,2710
1,256,100000,32,0,2713
1,256,100000,32,0,2716
1,256,100000,32,0,2719
1,256,100000,32,0,2722
1,256,100000,32,0,2724
1,256,100000,32,0,2727
1,256,100000,32,0,2730
1,256,100000,32,0,2732
1,256,100000,32,0,2735
1,256,100000,32,0,2797
1,256,100000,32,0,2817
1,256,100000,32,0,2827
1,256,100000,32,0,3039
1,256,100000,32,0,3263
1,256,100000,32,0,3292
1,256,100000,32,0,3296
1,256,100000,32,0,3300
1,256,100000,32,0,3303
1,256,100000,32,0,3306
1,256,100000,32,0,3326
1,256,100000,32,0,3329
1,256,100000,32,0,3333
1,256,100000,32,0,3342
1,256,100000,32,0,3360
1,256,100000,32,0,3369
1,256,100000,32,0,3377
1,256,100000,32,0,3394
1,256,100000,32,0,3412
1,256,100000,32,0,3427
1,256,100000,32,0,3431
1,256,100000,32,0,3438
1,256,100000,32,0,3442
1,256,100000,32,0,3444
1,256,100000,32,0,3447
1,256,100000,32,0,3450
1,256,100000,32,0,3453
1,256,100000,32,0,3456
1,256,100000,32,0,3468
1,256,100000,32,0,3480
1,256,100000,32,0,3484
1,256,100000,32,0,3486
1,256,100000,32,0,3490
1,256,100000,32,0,3493
1,256,100000,32,0,3511
1,256,100000,32,0,3515
1,256,100000,32,0,3518
1,256,100000,32,0,3522
1,256,100000,32,0,3525
1,256,100000,32,0,3528
1,256,100000,32,0,3531
1,256,100000,32,0,3536
1,256,100000,32,0,3539
1,256,100000,32,0,3542
1,256,100000,32,0,3545
1,256,100000,32,0,3548
1,256,100000,32,0,3551
1,256,100000,32,0,3554
1,256,100000,32,0,3557
1,256,100000,32,0,3561
1,256,100000,32,0,3567
1,256,100000,32,0,3570
1,256,100000,32,0,3573
1,256,100000,32,0,3577
1,256,100000,32,0,3580
1,256,100000,32,0,3584
1,256,100000,32,0,3587
1,256,100000,32,0,3590
1,256,100000,32,0,3625
1,256,100000,32,0,3630
1,256,100000,32,0,3634
1,256,100000,32,0,3637
1,256,100000,32,0,3640
1,256,100000,32,0,3643
1,256,100000,32,0,3646
1,256,100000,32,0,3650
1,256,100000,32,0,3653
1,256,100000,32,0,3656
1,256,100000,32,0,3659
1,256,100000,32,0,3662
1,256,100000,32,0,3666
1,256,100000,32,0,3669
1,256,100000,32,0,3672
1,256,100000,32,0,3675
1,256,100000,32,0,3678
1,256,100000,32,0,3681
1,256,100000,32,0,3685
1,256,100000,32,0,3687
1,256,100000,32,0,3691
1,256,100000,32,0,3694
1,256,100000,32,0,3697
1,256,100000,32,0,3700
1,256,100000,32,0,3703
1,256,100000,32,0,3706
1,256,100000,32,0,3709
1,256,100000,32,0,3713
1,256,100000,32,0,3716
1,256,100000,32,0,3719
1,256,100000,32,0,3722
1,256,100000,32,0,3725
1,256,100000,32,0,3728
1,256,100000,32,0,3732
1,256,100000,32,0,3735
1,256,100000,32,0,3738
1,256,100000,32,0,3741
1,256,100000,32,0,3744
1,256,100000,32,0,3746
1,256,100000,32,0,3750
1,256,100000,32,0,3754
1,256,100000,32,0,3757
1,256,100000,32,0,3761
1,256,100000,32,0,3764
1,256,100000,32,0,3768
1,256,100000,32,0,3771
1,256,100000,32,0,3773
1,256,100000,32,0,3776
1,256,100000,32,0,3780
1,256,100000,32,0,3783
1,256,100000,32,0,3786
1,256,100000,32,0,3789
1,256,100000,32,0,3792
1,256,100000,32,0,3795
1,256,100000,32,0,3798
1,256,100000,32,0,3817
1,256,100000,32,0,3820
1,256,100000,32,0,3823
1,256,100000,32,0,3826
1,256,100000,32,0,3829
1,256,100000,32,0,3844
1,256,100000,32,0,3856
1,256,100000,32,0,1118
1,256,100000,32,0,1153
1,256,100000,32,0,1158
1,256,100000,32,0,1178
1,256,100000,32,0,1391
1,256,100000,32,0,1513
1,256,100000,32,0,1542
1,256,100000,32,0,1546
1,256,100000,32,0,1587
1,256,100000,32,0,2038
1,256,100000,32,0,2050
1,256,100000,32,0,2054
1,256,100000,32,0,2056
1,256,100000,32,0,2059
1,256,100000,32,0,2062
1,256,100000,32,0,2064
1,256,100000,32,0,2066
1,256,100000,32,0,2069
1,256,100000,32,0,2071
1,256,100000,32,0,2073
1,256,100000,32,0,2160
1,256,100000,32,0,2225
1,256,100000,32,0,2267
1,256,100000,32,0,2309
1,256,100000,32,0,2314
1,256,100000,32,0,2316
1,256,100000,32,0,2319
1,256,100000,32,0,2390
1,256,100000,32,0,2458
1,256,100000,32,0,2465
1,256,100000,32,0,2477
1,256,100000,32,0,2481
1,256,100000,32,0,2520
1,256,100000,32,0,2525
1,256,100000,32,0,2528
1,256,100000,32,0,2531
1,256,100000,32,0,2534
1,256,100000,32,0,2559
1,256,100000,32,0,2564
1,256,100000,32,0,2568
1,256,100000,32,0,2572
1,256,100000,32,0,2576
1,256,100000,32,0,2598
1,256,100000,32,0,2603
1,256,100000,32,0,2605
1,256,100000,32,0,2609
1,256,100000,32,0,2621
1,256,100000,32,0,2749
1,256,100000,32,0,2756
1,256,100000,32,0,2759
1,256,100000,32,0,2762
1,256,100000,32,0,2765
1,256,100000,32,0,2768
1,256,100000,32,0,2771
1,256,100000,32,0,2774
1,256,100000,32,0,2776
1,256,100000,32,0,2779
1,256,100000,32,0,2782
1,256,100000,32,0,2785
1,256,100000,32,0,2788
1,256,100000,32,0,2791
1,256,100000,32,0,2794
1,256,100000,32,0,2796
1,256,100000,32,0,2800
1,256,100000,32,0,2803
1,256,100000,32,0,2806
1,256,100000,32,0,2809
1,256,100000,32,0,2812
1,256,100000,32,0,2815
1,256,100000,32,0,2817
1,256,100000,32,0,2820
1,256,100000,32,0,2823
1,256,100000,32,0,2826
1,256,100000,32,0,2829
1,256,100000,32,0,2831
1,256,100000,32,0,3011
1,256,100000,32,0,3016
1,256,100000,32,0,3018
1,256,100000,32,0,3021
1,256,100000,32,0,3024
1,256,100000,32,0,3027
1,256,100000,32,0,3030
1,256,100000,32,0,3032
1,256,100000,32,0,3035
1,256,100000,32,0,3037
1,256,100000,32,0,3040
1,256,100000,32,0,3042
1,256,100000,32,0,3045
1,256,100000,32,0,3048
1,256,100000,32,0,3050
1,256,100000,32,0,3053
1,256,100000,32,0,3056
1,256,100000,32,0,3060
1,256,100000,32,0,3062
1,256,100000,32,0,3065
1,256,100000,32,0,3068
1,256,100000,32,0,3071
1,256,100000,32,0,3075
1,256,100000,32,0,3078
1,256,100000,32,0,3081
1,256,100000,32,0,3083
1,256,100000,32,0,3086
1,256,100000,32,0,3089
1,256,100000,32,0,3092
1,256,100000,32,0,3095
1,256,100000,32,0,3098
1,256,100000,32,0,3100
1,256,100000,32,0,3103
1,256,100000,32,0,3105
1,256,100000,32,0,3109
1,256,100000,32,0,3111
1,256,100000,32,0,3114
1,256,100000,32,0,3117
1,256,100000,32,0,3137
1,256,100000,32,0,3158
1,256,100000,32,0,3162
1,256,100000,32,0,3169
1,256,100000,32,0,3253
1,256,100000,32,0,3264
1,256,100000,32,0,3267
1,256,100000,32,0,3270
1,256,100000,32,0,3273
1,256,100000,32,0,3277
1,256,100000,32,0,3279
1,256,100000,32,0,3283
1,256,100000,32,0,3285
1,256,100000,32,0,3288
1,256,100000,32,0,3291
1,256,100000,32,0,3294
1,256,100000,32,0,3297
1,256,100000,32,0,3300
1,256,100000,32,0,3302
1,256,100000,32,0,3305
1,256,100000,32,0,3308
1,256,100000,32,0,3310
1,256,100000,32,0,3314
1,256,100000,32,0,3317
1,256,100000,32,0,3320
1,256,100000,32,0,3323
1,256,100000,32,0,3347
1,256,100000,32,0,3351
1,256,100000,32,0,3354
1,256,100000,32,0,3357
1,256,100000,32,0,3360
1,256,100000,32,0,3362
1,256,100000,32,0,3366
1,256,100000,32,0,3369
1,256,100000,32,0,3372
1,256,100000,32,0,3374
1,256,100000,32,0,3425
1,256,100000,32,0,3463
1,256,100000,32,0,3468
1,256,100000,32,0,3472
1,256,100000,32,0,3475
1,256,100000,32,0,3491
1,256,100000,32,0,3494
1,256,100000,32,0,3522
1,256,100000,32,0,3648
1,256,100000,32,0,3660
1,256,100000,32,0,3664
1,256,100000,32,0,3667
1,256,100000,32,0,3670
1,256,100000,32,0,3673
1,256,100000,32,0,3676
1,256,100000,32,0,3679
1,256,100000,32,0,3682
1,256,100000,32,0,3684
1,256,100000,32,0,3687
1,256,100000,32,0,3690
1,256,100000,32,0,3704
1,256,100000,32,0,3707
1,256,100000,32,0,3722
1,256,100000,32,0,3803
1,256,100000,32,0,3809
1,256,100000,32,0,3812
1,256,100000,32,0,3815
1,256,100000,32,0,3818
1,256,100000,32,0,3821
1,256,100000,32,0,3823
1,256,100000,32,0,3826
1,256,100000,32,0,3828
1,256,100000,32,0,3898
1,256,100000,32,0,3906
1,256,100000,32,0,3908
1,256,100000,32,0,3911
1,256,100000,32,0,3913
1,256,100000,32,0,3916
1,256,100000,32,0,3919
1,256,100000,32,0,3922
1,256,100000,32,0,3924
1,256,100000,32,0,3927
1,256,100000,32,0,3930
1,256,100000,32,0,3933
1,256,100000,32,0,3935
1,256,100000,32,0,3938
1,256,100000,32,0,3953
1,256,100000,32,0,4033
1,256,100000,32,0,4084
1,256,100000,32,0,4102
1,256,100000,32,0,4130
1,256,100000,32,0,4134
1,256,100000,32,0,4136
1,256,100000,32,0,4139
1,256,100000,32,0,4141
1,256,100000,32,0,4144
1,256,100000,32,0,4147
1,256,100000,32,0,4149
1,256,100000,32,0,4152
1,256,100000,32,0,4155
1,256,100000,32,0,4158
1,256,100000,32,0,4161
1,256,100000,32,0,4164
1,256,100000,32,0,4167
1,256,100000,32,0,4188
1,256,100000,32,0,4193
1,256,100000,32,0,4195
1,256,100000,32,0,4198
1,256,100000,32,0,4201
1,256,100000,32,0,4204
1,256,100000,32,0,4206
1,256,100000,32,0,4209
1,256,100000,32,0,4212
1,256,100000,32,0,4215
1,256,100000,32,0,4218
1,256,100000,32,0,1886
1,256,100000,32,0,1921
1,256,100000,32,0,1925
1,256,100000,32,0,1927
1,256,100000,32,0,1930
1,256,100000,32,0,3215
1,256,100000,32,0,3257
1,256,100000,32,0,3262
1,256,100000,32,0,3265
1,256,100000,32,0,3267
1,256,100000,32,0,3271
1,256,100000,32,0,3274
1,256,100000,32,0,3276
1,256,100000,32,0,3279
1,256,100000,32,0,3282
1,256,100000,32,0,3285
1,256,100000,32,0,3288
1,256,100000,32,0,3291
1,256,100000,32,0,3294
1,256,100000,32,0,3296
1,256,100000,32,0,3300
1,256,100000,32,0,3302
1,256,100000,32,0,3305
1,256,100000,32,0,3308
1,256,100000,32,0,3311
1,256,100000,32,0,3314
1,256,100000,32,0,3317
1,256,100000,32,0,3320
1,256,100000,32,0,3323
1,256,100000,32,0,3325
1,256,100000,32,0,3328
1,256,100000,32,0,3331
1,256,100000,32,0,3334
1,256,100000,32,0,3336
1,256,100000,32,0,3339
1,256,100000,32,0,3342
1,256,100000,32,0,3344
1,256,100000,32,0,3347
1,256,100000,32,0,3366
1,256,100000,32,0,3370
1,256,100000,32,0,3373
1,256,100000,32,0,3376
1,256,100000,32,0,3379
1,256,100000,32,0,3382
1,256,100000,32,0,3385
1,256,100000,32,0,3387
1,256,100000,32,0,3390
1,256,100000,32,0,3393
1,256,100000,32,0,3395
1,256,100000,32,0,3398
1,256,100000,32,0,3401
1,256,100000,32,0,3403
1,256,100000,32,0,3406
1,256,100000,32,0,3409
1,256,100000,32,0,3412
1,256,100000,32,0,3414
1,256,100000,32,0,3418
1,256,100000,32,0,3421
1,256,100000,32,0,3424
1,256,100000,32,0,3426
1,256,100000,32,0,3430
1,256,100000,32,0,3433
1,256,100000,32,0,3436
1,256,100000,32,0,3438
1,256,100000,32,0,3441
1,256,100000,32,0,3444
1,256,100000,32,0,3447
1,256,100000,32,0,3450
1,256,100000,32,0,3453
1,256,100000,32,0,3456
1,256,100000,32,0,3459
1,256,100000,32,0,3463
1,256,100000,32,0,3465
1,256,100000,32,0,3492
1,256,100000,32,0,3497
1,256,100000,32,0,3500
1,256,100000,32,0,3503
1,256,100000,32,0,3506
1,256,100000,32,0,3508
