getter,peers,micros,payload,rcv_flag,delay
1,64,100000,32,0,178
1,64,100000,32,0,369
1,64,100000,32,0,939
1,64,100000,32,0,1143
1,64,100000,32,0,726
1,64,100000,32,0,845
1,64,100000,32,0,560
1,64,100000,32,0,696
1,64,100000,32,0,658
1,64,100000,32,0,945
1,64,100000,32,0,738
1,64,100000,32,0,890
1,64,100000,32,0,842
1,64,100000,32,0,473
1,64,100000,32,0,899
1,64,100000,32,0,841
1,64,100000,32,0,1038
1,64,100000,32,0,886
1,64,100000,32,0,1121
1,64,100000,32,0,1028
1,64,100000,32,0,563
1,64,100000,32,0,645
1,64,100000,32,0,827
1,64,100000,32,0,1021
1,64,100000,32,0,550
1,64,100000,32,0,1125
1,64,100000,32,0,691
1,64,100000,32,0,883
1,64,100000,32,0,1174
1,64,100000,32,0,878
1,64,100000,32,0,525
1,64,100000,32,0,1059
1,64,100000,32,0,655
1,64,100000,32,0,640
1,64,100000,32,0,1047
1,64,100000,32,0,541
1,64,100000,32,0,591
1,64,100000,32,0,973
1,64,100000,32,0,909
1,64,100000,32,0,894
1,64,100000,32,0,763
1,64,100000,32,0,998
1,64,100000,32,0,901
1,64,100000,32,0,1008
1,64,100000,32,0,1004
1,64,100000,32,0,823
1,64,100000,32,0,463
1,64,100000,32,0,1008
1,64,100000,32,0,854
1,64,100000,32,0,578
1,64,100000,32,0,830
1,64,100000,32,0,661
1,64,100000,32,0,1078
1,64,100000,32,0,477
1,64,100000,32,0,742
1,64,100000,32,0,922
1,64,100000,32,0,628
1,64,100000,32,0,1016
1,64,100000,32,0,1062
1,64,100000,32,0,756
1,64,100000,32,0,690
1,64,100000,32,0,1023
1,64,100000,32,0,1126
1,64,100000,32,0,617
1,64,100000,32,0,625
1,64,100000,32,0,869
1,64,100000,32,0,415
1,64,100000,32,0,671
1,64,100000,32,0,1048
1,64,100000,32,0,546
1,64,100000,32,0,1028
1,64,100000,32,0,821
1,64,100000,32,0,957
1,64,100000,32,0,674
1,64,100000,32,0,876
1,64,100000,32,0,1013
1,64,100000,32,0,1069
1,64,100000,32,0,897
1,64,100000,32,0,1091
1,64,100000,32,0,932
1,64,100000,32,0,638
1,64,100000,32,0,657
1,64,100000,32,0,632
1,64,100000,32,0,527
1,64,100000,32,0,1066
1,64,100000,32,0,1193
1,64,100000,32,0,918
1,64,100000,32,0,713
1,64,100000,32,0,640
1,64,100000,32,0,1133
1,64,100000,32,0,957
1,64,100000,32,0,934
1,64,100000,32,0,1046
1,64,100000,32,0,497
1,64,100000,32,0,869
1,64,100000,32,0,1102
1,64,100000,32,0,480
1,64,100000,32,0,482
1,64,100000,32,0,676
1,64,100000,32,0,997
1,64,100000,32,0,818
1,64,100000,32,0,955
1,64,100000,32,0,939
1,64,100000,32,0,736
1,64,100000,32,0,600
1,64,100000,32,0,998
1,64,100000,32,0,730
1,64,100000,32,0,774
1,64,100000,32,0,1036
1,64,100000,32,0,765
1,64,100000,32,0,1188
1,64,100000,32,0,478
1,64,100000,32,0,604
1,64,100000,32,0,422
1,64,100000,32,0,340
1,64,100000,32,0,784
1,64,100000,32,0,1016
1,64,100000,32,0,756
1,64,100000,32,0,956
1,64,100000,32,0,646
1,64,100000,32,0,1001
1,64,100000,32,0,1049
1,64,100000,32,0,1119
1,64,100000,32,0,849
1,64,100000,32,0,898
1,64,100000,32,0,926
1,64,100000,32,0,693
1,64,100000,32,0,632
1,64,100000,32,0,1120
1,64,100000,32,0,1106
1,64,100000,32,0,1156
1,64,100000,32,0,1122
1,64,100000,32,0,720
1,64,100000,32,0,785
1,64,100000,32,0,617
1,64,100000,32,0,681
1,64,100000,32,0,832
1,64,100000,32,0,882
1,64,100000,32,0,773
1,64,100000,32,0,823
1,64,100000,32,0,1160
1,64,100000,32,0,424
1,64,100000,32,0,432
1,64,100000,32,0,1089
1,64,100000,32,0,792
1,64,100000,32,0,594
1,64,100000,32,0,699
1,64,100000,32,0,1031
1,64,100000,32,0,837
1,64,100000,32,0,778
1,64,100000,32,0,702
1,64,100000,32,0,1106
1,64,100000,32,0,1171
1,64,100000,32,0,779
1,64,100000,32,0,665
1,64,100000,32,0,998
1,64,100000,32,0,721
1,64,100000,32,0,472
1,64,100000,32,0,887
1,64,100000,32,0,651
1,64,100000,32,0,1094
1,64,100000,32,0,1149
1,64,100000,32,0,817
1,64,100000,32,0,815
1,64,100000,32,0,1016
1,64,100000,32,0,731
1,64,100000,32,0,590
1,64,100000,32,0,1113
1,64,100000,32,0,638
1,64,100000,32,0,709
1,64,100000,32,0,972
1,64,100000,32,0,601
1,64,100000,32,0,418
1,64,100000,32,0,993
1,64,100000,32,0,794
1,64,100000,32,0,888
1,64,100000,32,0,966
1,64,100000,32,0,990
1,64,100000,32,0,833
1,64,100000,32,0,954
1,64,100000,32,0,1102
1,64,100000,32,0,994
1,64,100000,32,0,620
1,64,100000,32,0,783
1,64,100000,32,0,1095
1,64,100000,32,0,964
1,64,100000,32,0,673
1,64,100000,32,0,653
1,64,100000,32,0,929
1,64,100000,32,0,947
1,64,100000,32,0,950
