getter,peers,micros,payload,rcv_flag,delay
1,64,1000,32,0,148
1,64,1000,32,0,137
1,64,1000,32,0,127
1,64,1000,32,0,173
1,64,1000,32,0,214
1,64,1000,32,0,222
1,64,1000,32,0,226
1,64,1000,32,0,216
1,64,1000,32,0,209
1,64,1000,32,0,308
1,64,1000,32,0,267
1,64,1000,32,0,237
1,64,1000,32,0,179
1,64,1000,32,0,235
1,64,1000,32,0,395
1,64,1000,32,0,303
1,64,1000,32,0,307
1,64,1000,32,0,327
1,64,1000,32,0,344
1,64,1000,32,0,271
1,64,1000,32,0,272
1,64,1000,32,0,633
1,64,1000,32,0,276
1,64,1000,32,0,360
1,64,1000,32,0,310
1,64,1000,32,0,393
1,64,1000,32,0,562
1,64,1000,32,0,372
1,64,1000,32,0,547
1,64,1000,32,0,418
1,64,1000,32,0,743
1,64,1000,32,0,345
1,64,1000,32,0,656
1,64,1000,32,0,467
1,64,1000,32,0,477
1,64,1000,32,0,700
1,64,1000,32,0,757
1,64,1000,32,0,494
1,64,1000,32,0,386
1,64,1000,32,0,396
1,64,1000,32,0,599
1,64,1000,32,0,466
1,64,1000,32,0,747
1,64,1000,32,0,342
1,64,1000,32,0,658
1,64,1000,32,0,673
1,64,1000,32,0,424
1,64,1000,32,0,356
1,64,1000,32,0,359
1,64,1000,32,0,567
1,64,1000,32,0,642
1,64,1000,32,0,578
1,64,1000,32,0,607
1,64,1000,32,0,454
1,64,1000,32,0,638
1,64,1000,32,0,953
1,64,1000,32,0,876
1,64,1000,32,0,345
1,64,1000,32,0,591
1,64,1000,32,0,660
1,64,1000,32,0,362
1,64,1000,32,0,534
1,64,1000,32,0,941
1,64,1000,32,0,575
1,64,1000,32,0,417
1,64,1000,32,0,433
1,64,1000,32,0,446
1,64,1000,32,0,385
1,64,1000,32,0,541
1,64,1000,32,0,747
1,64,1000,32,0,863
1,64,1000,32,0,805
1,64,1000,32,0,389
1,64,1000,32,0,335
1,64,1000,32,0,515
1,64,1000,32,0,500
1,64,1000,32,0,641
1,64,1000,32,0,511
1,64,1000,32,0,440
1,64,1000,32,0,326
1,64,1000,32,0,543
1,64,1000,32,0,295
1,64,1000,32,0,462
1,64,1000,32,0,497
1,64,1000,32,0,851
1,64,1000,32,0,454
1,64,1000,32,0,585
1,64,1000,32,0,410
1,64,1000,32,0,444
1,64,1000,32,0,452
1,64,1000,32,0,429
1,64,1000,32,0,375
1,64,1000,32,0,396
1,64,1000,32,0,502
1,64,1000,32,0,576
1,64,1000,32,0,549
1,64,1000,32,0,340
1,64,1000,32,0,361
1,64,1000,32,0,440
1,64,1000,32,0,581
1,64,1000,32,0,450
