getter,peers,micros,payload,rcv_flag,delay
1,1024,1000000,32,0,3037839
1,1024,1000000,32,0,3037859
1,1024,1000000,32,0,3037862
1,1024,1000000,32,0,3037864
1,1024,1000000,32,0,3037867
1,1024,1000000,32,0,3037872
1,1024,1000000,32,0,3037874
1,1024,1000000,32,0,3037876
1,1024,1000000,32,0,3037878
1,1024,1000000,32,0,3037880
1,1024,1000000,32,0,3037883
1,1024,1000000,32,0,3037884
1,1024,1000000,32,0,3037886
1,1024,1000000,32,0,3037888
1,1024,1000000,32,0,3037890
1,1024,1000000,32,0,3037891
1,1024,1000000,32,0,3037893
1,1024,1000000,32,0,3037895
1,1024,1000000,32,0,3037897
1,1024,1000000,32,0,3037899
1,1024,1000000,32,0,3037900
1,1024,1000000,32,0,3037908
1,1024,1000000,32,0,3037910
1,1024,1000000,32,0,3037913
1,1024,1000000,32,0,3037915
1,1024,1000000,32,0,3037918
1,1024,1000000,32,0,3037921
1,1024,1000000,32,0,3037923
1,1024,1000000,32,0,3037926
1,1024,1000000,32,0,3037928
1,1024,1000000,32,0,3037931
1,1024,1000000,32,0,3037933
1,1024,1000000,32,0,3037935
1,1024,1000000,32,0,3037938
1,1024,1000000,32,0,3037940
1,1024,1000000,32,0,3037943
1,1024,1000000,32,0,3037945
1,1024,1000000,32,0,3037948
1,1024,1000000,32,0,3037950
1,1024,1000000,32,0,3037952
1,1024,1000000,32,0,3037955
1,1024,1000000,32,0,3037957
1,1024,1000000,32,0,3037960
1,1024,1000000,32,0,3037962
1,1024,1000000,32,0,3037965
1,1024,1000000,32,0,3037967
1,1024,1000000,32,0,3037970
1,1024,1000000,32,0,3037974
1,1024,1000000,32,0,3037976
1,1024,1000000,32,0,3037979
1,1024,1000000,32,0,3037981
1,1024,1000000,32,0,3037984
1,1024,1000000,32,0,3037987
1,1024,1000000,32,0,3037989
1,1024,1000000,32,0,3037992
1,1024,1000000,32,0,3037995
1,1024,1000000,32,0,3037997
1,1024,1000000,32,0,3038000
1,1024,1000000,32,0,3038002
1,1024,1000000,32,0,3038005
1,1024,1000000,32,0,3038007
1,1024,1000000,32,0,3038010
1,1024,1000000,32,0,3038012
1,1024,1000000,32,0,3038015
1,1024,1000000,32,0,3038017
1,1024,1000000,32,0,3038020
1,1024,1000000,32,0,3038022
1,1024,1000000,32,0,3038024
1,1024,1000000,32,0,3038027
1,1024,1000000,32,0,3038029
1,1024,1000000,32,0,3038032
1,1024,1000000,32,0,3038034
1,1024,1000000,32,0,3038037
1,1024,1000000,32,0,3038039
1,1024,1000000,32,0,3038041
1,1024,1000000,32,0,3038044
1,1024,1000000,32,0,3038046
1,1024,1000000,32,0,3038049
1,1024,1000000,32,0,3038051
1,1024,1000000,32,0,3038054
1,1024,1000000,32,0,3038056
1,1024,1000000,32,0,3038059
1,1024,1000000,32,0,3038061
1,1024,1000000,32,0,3038064
1,1024,1000000,32,0,3038066
1,1024,1000000,32,0,3038068
1,1024,1000000,32,0,3038071
1,1024,1000000,32,0,3038073
1,1024,1000000,32,0,3038076
1,1024,1000000,32,0,3038078
1,1024,1000000,32,0,3038081
1,1024,1000000,32,0,3038083
1,1024,1000000,32,0,3038085
1,1024,1000000,32,0,3038088
1,1024,1000000,32,0,3038090
1,1024,1000000,32,0,3038093
1,1024,1000000,32,0,3038095
1,1024,1000000,32,0,3038097
1,1024,1000000,32,0,3038100
1,1024,1000000,32,0,3038102
1,1024,1000000,32,0,3038105
1,1024,1000000,32,0,3038107
1,1024,1000000,32,0,3038109
1,1024,1000000,32,0,3038112
1,1024,1000000,32,0,3038114
1,1024,1000000,32,0,3038117
1,1024,1000000,32,0,3038119
1,1024,1000000,32,0,3038121
1,1024,1000000,32,0,3038124
1,1024,1000000,32,0,3038126
1,1024,1000000,32,0,3038129
1,1024,1000000,32,0,3038131
1,1024,1000000,32,0,3038134
1,1024,1000000,32,0,3038136
1,1024,1000000,32,0,3038139
1,1024,1000000,32,0,3038141
1,1024,1000000,32,0,3038143
1,1024,1000000,32,0,3038145
1,1024,1000000,32,0,3038148
1,1024,1000000,32,0,3038151
1,1024,1000000,32,0,3038153
1,1024,1000000,32,0,3038156
1,1024,1000000,32,0,3038158
1,1024,1000000,32,0,3038161
1,1024,1000000,32,0,3038163
1,1024,1000000,32,0,3038166
1,1024,1000000,32,0,3038168
1,1024,1000000,32,0,3038171
1,1024,1000000,32,0,3038173
1,1024,1000000,32,0,3038175
1,1024,1000000,32,0,3038178
1,1024,1000000,32,0,3038180
1,1024,1000000,32,0,3038183
1,1024,1000000,32,0,3038185
1,1024,1000000,32,0,3038187
1,1024,1000000,32,0,3038190
1,1024,1000000,32,0,3038192
1,1024,1000000,32,0,3038195
1,1024,1000000,32,0,3038197
1,1024,1000000,32,0,3038199
1,1024,1000000,32,0,3038202
1,1024,1000000,32,0,3038204
1,1024,1000000,32,0,3038207
1,1024,1000000,32,0,3038209
1,1024,1000000,32,0,3038211
1,1024,1000000,32,0,3038224
1,1024,1000000,32,0,3038227
1,1024,1000000,32,0,3038234
1,1024,1000000,32,0,3038237
1,1024,1000000,32,0,3038239
1,1024,1000000,32,0,3038242
1,1024,1000000,32,0,3038244
1,1024,1000000,32,0,3038247
1,1024,1000000,32,0,3038249
1,1024,1000000,32,0,3038252
1,1024,1000000,32,0,3038254
1,1024,1000000,32,0,3038257
1,1024,1000000,32,0,3038259
1,1024,1000000,32,0,3038262
1,1024,1000000,32,0,3038264
1,1024,1000000,32,0,3038266
1,1024,1000000,32,0,3038269
1,1024,1000000,32,0,3038271
1,1024,1000000,32,0,3038273
1,1024,1000000,32,0,3038276
1,1024,1000000,32,0,3038278
1,1024,1000000,32,0,3038281
1,1024,1000000,32,0,3038283
1,1024,1000000,32,0,3038285
1,1024,1000000,32,0,3038287
1,1024,1000000,32,0,3038289
1,1024,1000000,32,0,3038290
1,1024,1000000,32,0,3038292
1,1024,1000000,32,0,3038295
1,1024,1000000,32,0,3038297
1,1024,1000000,32,0,3038299
1,1024,1000000,32,0,3038302
1,1024,1000000,32,0,3038305
1,1024,1000000,32,0,3038307
1,1024,1000000,32,0,3038309
1,1024,1000000,32,0,3038312
1,1024,1000000,32,0,3038314
1,1024,1000000,32,0,3038316
1,1024,1000000,32,0,3038318
1,1024,1000000,32,0,3038321
1,1024,1000000,32,0,3038323
1,1024,1000000,32,0,3038326
1,1024,1000000,32,0,3038328
1,1024,1000000,32,0,3038330
1,1024,1000000,32,0,3038333
1,1024,1000000,32,0,3038335
1,1024,1000000,32,0,3038337
1,1024,1000000,32,0,3038340
1,1024,1000000,32,0,3038342
1,1024,1000000,32,0,3038345
1,1024,1000000,32,0,3038347
1,1024,1000000,32,0,3038349
1,1024,1000000,32,0,3038352
1,1024,1000000,32,0,3038354
1,1024,1000000,32,0,3038356
1,1024,1000000,32,0,3038359
1,1024,1000000,32,0,3038361
1,1024,1000000,32,0,3038364
1,1024,1000000,32,0,3038366
1,1024,1000000,32,0,3038368
1,1024,1000000,32,0,3038371
1,1024,1000000,32,0,3038373
1,1024,1000000,32,0,3038375
1,1024,1000000,32,0,3038378
1,1024,1000000,32,0,3038380
1,1024,1000000,32,0,3038382
1,1024,1000000,32,0,3038385
1,1024,1000000,32,0,3038387
1,1024,1000000,32,0,3038390
1,1024,1000000,32,0,3038392
1,1024,1000000,32,0,3038394
1,1024,1000000,32,0,3038397
1,1024,1000000,32,0,3038399
1,1024,1000000,32,0,3038401
1,1024,1000000,32,0,3038404
1,1024,1000000,32,0,3038406
1,1024,1000000,32,0,3038408
1,1024,1000000,32,0,3038411
1,1024,1000000,32,0,3038413
1,1024,1000000,32,0,3038416
1,1024,1000000,32,0,3038418
1,1024,1000000,32,0,3038420
1,1024,1000000,32,0,3038423
1,1024,1000000,32,0,3038425
1,1024,1000000,32,0,3038427
1,1024,1000000,32,0,3038430
1,1024,1000000,32,0,3038432
1,1024,1000000,32,0,3038435
1,1024,1000000,32,0,3038437
1,1024,1000000,32,0,3038439
1,1024,1000000,32,0,3038441
1,1024,1000000,32,0,3038443
1,1024,1000000,32,0,3038445
1,1024,1000000,32,0,3038448
1,1024,1000000,32,0,3038451
1,1024,1000000,32,0,3038453
1,1024,1000000,32,0,3038455
1,1024,1000000,32,0,3038458
1,1024,1000000,32,0,3038460
1,1024,1000000,32,0,3038462
1,1024,1000000,32,0,3038465
1,1024,1000000,32,0,3038467
1,1024,1000000,32,0,3038470
1,1024,1000000,32,0,3038472
1,1024,1000000,32,0,3038475
1,1024,1000000,32,0,3038477
1,1024,1000000,32,0,3038480
1,1024,1000000,32,0,3038482
1,1024,1000000,32,0,3038484
1,1024,1000000,32,0,3038487
1,1024,1000000,32,0,3038489
1,1024,1000000,32,0,3038491
1,1024,1000000,32,0,3038494
1,1024,1000000,32,0,3038496
1,1024,1000000,32,0,3038498
1,1024,1000000,32,0,3038501
1,1024,1000000,32,0,3038503
1,1024,1000000,32,0,3038505
1,1024,1000000,32,0,3038508
1,1024,1000000,32,0,3038510
1,1024,1000000,32,0,3038512
1,1024,1000000,32,0,3038515
1,1024,1000000,32,0,3038517
1,1024,1000000,32,0,3038519
1,1024,1000000,32,0,3038522
1,1024,1000000,32,0,3038524
1,1024,1000000,32,0,3038527
1,1024,1000000,32,0,3038529
1,1024,1000000,32,0,3038531
