getter,peers,micros,payload,rcv_flag,delay
1,512,100000,32,0,187089
1,512,100000,32,0,187102
1,512,100000,32,0,187104
1,512,100000,32,0,187106
1,512,100000,32,0,187109
1,512,100000,32,0,187111
1,512,100000,32,0,187113
1,512,100000,32,0,187115
1,512,100000,32,0,187116
1,512,100000,32,0,187118
1,512,100000,32,0,187120
1,512,100000,32,0,187121
1,512,100000,32,0,187130
1,512,100000,32,0,187134
1,512,100000,32,0,187137
1,512,100000,32,0,187139
1,512,100000,32,0,187141
1,512,100000,32,0,187143
1,512,100000,32,0,187146
1,512,100000,32,0,187148
1,512,100000,32,0,187150
1,512,100000,32,0,187152
1,512,100000,32,0,187155
1,512,100000,32,0,187158
1,512,100000,32,0,187161
1,512,100000,32,0,187162
1,512,100000,32,0,187164
1,512,100000,32,0,187167
1,512,100000,32,0,187168
1,512,100000,32,0,187170
1,512,100000,32,0,187172
1,512,100000,32,0,187175
1,512,100000,32,0,187178
1,512,100000,32,0,187181
1,512,100000,32,0,187184
1,512,100000,32,0,187186
1,512,100000,32,0,187189
1,512,100000,32,0,187191
1,512,100000,32,0,187194
1,512,100000,32,0,187196
1,512,100000,32,0,187199
1,512,100000,32,0,187201
1,512,100000,32,0,187205
1,512,100000,32,0,187208
1,512,100000,32,0,187210
1,512,100000,32,0,187213
1,512,100000,32,0,187215
1,512,100000,32,0,187218
1,512,100000,32,0,187220
1,512,100000,32,0,187222
1,512,100000,32,0,187225
1,512,100000,32,0,187229
1,512,100000,32,0,187232
1,512,100000,32,0,187234
1,512,100000,32,0,187237
1,512,100000,32,0,187239
1,512,100000,32,0,187242
1,512,100000,32,0,187244
1,512,100000,32,0,187246
1,512,100000,32,0,187249
1,512,100000,32,0,187253
1,512,100000,32,0,187256
1,512,100000,32,0,187258
1,512,100000,32,0,187260
1,512,100000,32,0,187263
1,512,100000,32,0,187265
1,512,100000,32,0,187268
1,512,100000,32,0,187270
1,512,100000,32,0,187273
1,512,100000,32,0,187276
1,512,100000,32,0,187279
1,512,100000,32,0,187282
1,512,100000,32,0,187284
1,512,100000,32,0,187287
1,512,100000,32,0,187289
1,512,100000,32,0,187291
1,512,100000,32,0,187294
1,512,100000,32,0,187296
1,512,100000,32,0,187300
1,512,100000,32,0,187303
1,512,100000,32,0,187306
1,512,100000,32,0,187308
1,512,100000,32,0,187310
1,512,100000,32,0,187313
1,512,100000,32,0,187315
1,512,100000,32,0,187317
1,512,100000,32,0,187320
1,512,100000,32,0,187323
1,512,100000,32,0,187326
1,512,100000,32,0,187329
1,512,100000,32,0,187331
1,512,100000,32,0,187334
1,512,100000,32,0,187336
1,512,100000,32,0,187338
1,512,100000,32,0,187341
1,512,100000,32,0,187343
1,512,100000,32,0,187347
1,512,100000,32,0,187350
1,512,100000,32,0,187352
1,512,100000,32,0,187355
1,512,100000,32,0,187357
1,512,100000,32,0,187360
1,512,100000,32,0,187362
1,512,100000,32,0,187364
1,512,100000,32,0,187366
1,512,100000,32,0,187370
1,512,100000,32,0,187373
1,512,100000,32,0,187376
1,512,100000,32,0,187378
1,512,100000,32,0,187380
1,512,100000,32,0,187383
1,512,100000,32,0,187386
1,512,100000,32,0,187388
1,512,100000,32,0,187391
1,512,100000,32,0,187395
1,512,100000,32,0,187398
1,512,100000,32,0,187401
1,512,100000,32,0,187403
1,512,100000,32,0,187405
1,512,100000,32,0,187408
1,512,100000,32,0,187410
1,512,100000,32,0,187413
1,512,100000,32,0,187415
1,512,100000,32,0,187419
1,512,100000,32,0,187422
1,512,100000,32,0,187424
1,512,100000,32,0,187427
1,512,100000,32,0,187429
1,512,100000,32,0,187431
1,512,100000,32,0,187434
1,512,100000,32,0,187446
1,512,100000,32,0,187448
1,512,100000,32,0,187451
1,512,100000,32,0,187454
1,512,100000,32,0,187456
1,512,100000,32,0,187459
1,512,100000,32,0,187461
1,512,100000,32,0,187464
1,512,100000,32,0,187468
1,512,100000,32,0,187470
1,512,100000,32,0,187473
1,512,100000,32,0,187475
1,512,100000,32,0,187477
1,512,100000,32,0,187480
1,512,100000,32,0,187482
1,512,100000,32,0,187485
1,512,100000,32,0,187487
1,512,100000,32,0,187491
1,512,100000,32,0,187494
1,512,100000,32,0,187496
1,512,100000,32,0,187499
1,512,100000,32,0,187501
1,512,100000,32,0,187504
1,512,100000,32,0,187506
1,512,100000,32,0,187508
1,512,100000,32,0,187511
1,512,100000,32,0,187515
1,512,100000,32,0,187517
1,512,100000,32,0,187523
1,512,100000,32,0,187530
1,512,100000,32,0,187532
1,512,100000,32,0,187535
1,512,100000,32,0,187539
1,512,100000,32,0,187546
1,512,100000,32,0,187548
1,512,100000,32,0,187551
1,512,100000,32,0,187554
1,512,100000,32,0,187556
1,512,100000,32,0,187559
1,512,100000,32,0,187563
1,512,100000,32,0,187566
1,512,100000,32,0,187572
1,512,100000,32,0,187575
1,512,100000,32,0,187577
1,512,100000,32,0,187579
1,512,100000,32,0,187582
1,512,100000,32,0,187586
1,512,100000,32,0,187589
1,512,100000,32,0,187591
1,512,100000,32,0,187594
1,512,100000,32,0,187596
1,512,100000,32,0,187598
