getter,peers,micros,payload,rcv_flag,delay
1,64,10,32,0,11048
1,64,10,32,0,11064
1,64,10,32,0,11066
1,64,10,32,0,11068
1,64,10,32,0,11070
1,64,10,32,0,11072
1,64,10,32,0,11073
1,64,10,32,0,11075
1,64,10,32,0,11077
1,64,10,32,0,11078
1,64,10,32,0,11080
1,64,10,32,0,11081
1,64,10,32,0,11083
1,64,10,32,0,11084
1,64,10,32,0,11086
1,64,10,32,0,11087
1,64,10,32,0,11089
1,64,10,32,0,11091
1,64,10,32,0,11092
1,64,10,32,0,11094
1,64,10,32,0,11095
1,64,10,32,0,11097
1,64,10,32,0,11098
1,64,10,32,0,11100
1,64,10,32,0,11101
1,64,10,32,0,11103
1,64,10,32,0,11105
1,64,10,32,0,11107
1,64,10,32,0,11108
1,64,10,32,0,11110
1,64,10,32,0,11111
1,64,10,32,0,11113
1,64,10,32,0,11115
1,64,10,32,0,11116
1,64,10,32,0,11118
1,64,10,32,0,11119
1,64,10,32,0,11121
1,64,10,32,0,11122
1,64,10,32,0,11124
1,64,10,32,0,11126
1,64,10,32,0,11132
1,64,10,32,0,11134
1,64,10,32,0,11135
1,64,10,32,0,11137
1,64,10,32,0,11139
1,64,10,32,0,11140
1,64,10,32,0,11142
1,64,10,32,0,11143
1,64,10,32,0,11145
1,64,10,32,0,11148
1,64,10,32,0,11150
1,64,10,32,0,11152
1,64,10,32,0,11153
1,64,10,32,0,11155
1,64,10,32,0,11156
1,64,10,32,0,11158
1,64,10,32,0,11159
1,64,10,32,0,11161
1,64,10,32,0,11163
1,64,10,32,0,11165
1,64,10,32,0,11166
1,64,10,32,0,11168
1,64,10,32,0,11169
1,64,10,32,0,11171
1,64,10,32,0,10798
1,64,10,32,0,10809
1,64,10,32,0,10811
1,64,10,32,0,10813
1,64,10,32,0,10814
1,64,10,32,0,10816
1,64,10,32,0,10818
1,64,10,32,0,10820
1,64,10,32,0,10822
1,64,10,32,0,10823
1,64,10,32,0,10825
1,64,10,32,0,10826
1,64,10,32,0,10828
1,64,10,32,0,10829
1,64,10,32,0,10831
1,64,10,32,0,10832
