getter,peers,micros,payload,rcv_flag,delay
1,64,1,32,0,10969
1,64,1,32,0,10984
1,64,1,32,0,10986
1,64,1,32,0,10988
1,64,1,32,0,10990
1,64,1,32,0,10992
1,64,1,32,0,10993
1,64,1,32,0,10995
1,64,1,32,0,10997
1,64,1,32,0,10998
1,64,1,32,0,11000
1,64,1,32,0,11002
1,64,1,32,0,11004
1,64,1,32,0,11005
1,64,1,32,0,11007
1,64,1,32,0,11008
1,64,1,32,0,11010
1,64,1,32,0,11012
1,64,1,32,0,11014
1,64,1,32,0,11016
1,64,1,32,0,11017
1,64,1,32,0,11019
1,64,1,32,0,11021
1,64,1,32,0,11022
1,64,1,32,0,11024
1,64,1,32,0,11025
1,64,1,32,0,11027
1,64,1,32,0,11029
1,64,1,32,0,11030
1,64,1,32,0,11032
1,64,1,32,0,11034
1,64,1,32,0,11035
1,64,1,32,0,11037
1,64,1,32,0,11038
1,64,1,32,0,11040
1,64,1,32,0,11042
1,64,1,32,0,11043
1,64,1,32,0,11045
1,64,1,32,0,11046
1,64,1,32,0,11048
1,64,1,32,0,11050
1,64,1,32,0,11051
1,64,1,32,0,11053
1,64,1,32,0,11054
1,64,1,32,0,11056
1,64,1,32,0,11057
1,64,1,32,0,11064
1,64,1,32,0,11066
1,64,1,32,0,11067
1,64,1,32,0,11069
1,64,1,32,0,11071
1,64,1,32,0,11072
1,64,1,32,0,11074
1,64,1,32,0,11076
1,64,1,32,0,11077
1,64,1,32,0,11079
1,64,1,32,0,11081
1,64,1,32,0,11082
1,64,1,32,0,11084
1,64,1,32,0,11085
1,64,1,32,0,11087
1,64,1,32,0,11089
1,64,1,32,0,11091
1,64,1,32,0,11093
1,64,1,32,0,12467
1,64,1,32,0,12478
1,64,1,32,0,12480
1,64,1,32,0,12482
1,64,1,32,0,12484
1,64,1,32,0,12485
1,64,1,32,0,12487
1,64,1,32,0,12490
1,64,1,32,0,12494
1,64,1,32,0,12496
1,64,1,32,0,12498
1,64,1,32,0,12499
1,64,1,32,0,12501
1,64,1,32,0,12503
1,64,1,32,0,12504
1,64,1,32,0,12506
1,64,1,32,0,12507
1,64,1,32,0,12509
1,64,1,32,0,12510
1,64,1,32,0,12512
1,64,1,32,0,12514
1,64,1,32,0,12515
1,64,1,32,0,12517
1,64,1,32,0,12519
1,64,1,32,0,12520
1,64,1,32,0,12522
1,64,1,32,0,12523
1,64,1,32,0,12525
1,64,1,32,0,12527
1,64,1,32,0,12528
1,64,1,32,0,12530
1,64,1,32,0,12531
1,64,1,32,0,12534
1,64,1,32,0,12536
1,64,1,32,0,12538
1,64,1,32,0,12540
1,64,1,32,0,12541
1,64,1,32,0,12543
1,64,1,32,0,12544
1,64,1,32,0,12546
1,64,1,32,0,12547
1,64,1,32,0,12549
1,64,1,32,0,12551
1,64,1,32,0,12552
1,64,1,32,0,12554
1,64,1,32,0,12556
1,64,1,32,0,12557
1,64,1,32,0,12559
1,64,1,32,0,12560
1,64,1,32,0,12562
1,64,1,32,0,12564
1,64,1,32,0,12565
1,64,1,32,0,12567
1,64,1,32,0,12568
1,64,1,32,0,12570
1,64,1,32,0,12571
1,64,1,32,0,12573
1,64,1,32,0,12575
1,64,1,32,0,12576
1,64,1,32,0,12578
1,64,1,32,0,12580
1,64,1,32,0,12582
1,64,1,32,0,12583
1,64,1,32,0,12585
1,64,1,32,0,10688
1,64,1,32,0,10700
1,64,1,32,0,10703
1,64,1,32,0,10704
1,64,1,32,0,10706
1,64,1,32,0,10708
1,64,1,32,0,10709
1,64,1,32,0,10711
1,64,1,32,0,10713
1,64,1,32,0,10714
1,64,1,32,0,10716
1,64,1,32,0,10717
1,64,1,32,0,10719
1,64,1,32,0,10721
1,64,1,32,0,10722
1,64,1,32,0,10724
1,64,1,32,0,10725
1,64,1,32,0,10727
1,64,1,32,0,10729
1,64,1,32,0,10730
1,64,1,32,0,10732
1,64,1,32,0,10733
1,64,1,32,0,10735
1,64,1,32,0,10737
1,64,1,32,0,10738
1,64,1,32,0,10740
1,64,1,32,0,10741
1,64,1,32,0,10743
1,64,1,32,0,10745
1,64,1,32,0,10747
1,64,1,32,0,10748
