getter,peers,micros,payload,rcv_flag,delay
1,64,10000,32,0,7766
1,64,10000,32,0,7805
1,64,10000,32,0,7808
1,64,10000,32,0,7811
1,64,10000,32,0,7814
1,64,10000,32,0,7819
1,64,10000,32,0,7822
1,64,10000,32,0,7827
1,64,10000,32,0,7829
1,64,10000,32,0,7832
1,64,10000,32,0,7836
1,64,10000,32,0,7841
1,64,10000,32,0,7844
1,64,10000,32,0,7847
1,64,10000,32,0,8740
1,64,10000,32,0,8753
1,64,10000,32,0,8769
1,64,10000,32,0,8782
1,64,10000,32,0,9550
1,64,10000,32,0,10041
1,64,10000,32,0,14222
1,64,10000,32,0,14249
1,64,10000,32,0,14252
1,64,10000,32,0,14255
1,64,10000,32,0,14258
1,64,10000,32,0,14262
1,64,10000,32,0,14264
1,64,10000,32,0,14267
1,64,10000,32,0,14269
1,64,10000,32,0,14272
1,64,10000,32,0,14274
1,64,10000,32,0,14276
1,64,10000,32,0,14279
1,64,10000,32,0,14281
1,64,10000,32,0,14283
1,64,10000,32,0,14286
1,64,10000,32,0,14288
1,64,10000,32,0,14290
1,64,10000,32,0,14293
1,64,10000,32,0,14295
1,64,10000,32,0,14298
1,64,10000,32,0,14300
1,64,10000,32,0,14302
1,64,10000,32,0,14306
1,64,10000,32,0,14308
1,64,10000,32,0,14311
1,64,10000,32,0,14313
1,64,10000,32,0,14315
1,64,10000,32,0,14318
1,64,10000,32,0,14320
1,64,10000,32,0,14322
1,64,10000,32,0,14325
1,64,10000,32,0,14327
1,64,10000,32,0,14329
1,64,10000,32,0,14332
1,64,10000,32,0,14410
1,64,10000,32,0,14422
1,64,10000,32,0,14443
1,64,10000,32,0,14458
1,64,10000,32,0,14507
1,64,10000,32,0,14557
1,64,10000,32,0,14689
1,64,10000,32,0,14861
1,64,10000,32,0,14875
1,64,10000,32,0,14969
1,64,10000,32,0,15080
1,64,10000,32,0,15168
1,64,10000,32,0,4458
1,64,10000,32,0,4489
1,64,10000,32,0,4492
1,64,10000,32,0,4494
1,64,10000,32,0,4497
1,64,10000,32,0,4499
1,64,10000,32,0,4501
1,64,10000,32,0,4504
1,64,10000,32,0,4506
1,64,10000,32,0,4508
1,64,10000,32,0,4510
1,64,10000,32,0,4513
1,64,10000,32,0,4515
1,64,10000,32,0,4517
1,64,10000,32,0,4519
1,64,10000,32,0,4520
1,64,10000,32,0,4522
1,64,10000,32,0,4523
1,64,10000,32,0,4525
1,64,10000,32,0,4526
1,64,10000,32,0,4528
1,64,10000,32,0,4529
1,64,10000,32,0,4531
1,64,10000,32,0,4533
1,64,10000,32,0,4536
