getter,peers,micros,payload,rcv_flag,delay
1,1024,10000,32,0,503531
1,1024,10000,32,0,503733
1,1024,10000,32,0,503789
1,1024,10000,32,0,503840
1,1024,10000,32,0,503888
1,1024,10000,32,0,503934
1,1024,10000,32,0,503981
1,1024,10000,32,0,504037
1,1024,10000,32,0,504084
1,1024,10000,32,0,504487
1,1024,10000,32,0,504540
1,1024,10000,32,0,504587
1,1024,10000,32,0,504632
1,1024,10000,32,0,504678
1,1024,10000,32,0,504734
1,1024,10000,32,0,504779
1,1024,10000,32,0,504832
1,1024,10000,32,0,505421
1,1024,10000,32,0,505490
1,1024,10000,32,0,505537
1,1024,10000,32,0,505582
1,1024,10000,32,0,505627
1,1024,10000,32,0,505672
1,1024,10000,32,0,505717
1,1024,10000,32,0,505763
1,1024,10000,32,0,506172
1,1024,10000,32,0,506225
1,1024,10000,32,0,506280
1,1024,10000,32,0,506338
1,1024,10000,32,0,506384
1,1024,10000,32,0,506429
1,1024,10000,32,0,506474
1,1024,10000,32,0,506519
1,1024,10000,32,0,506565
1,1024,10000,32,0,506952
1,1024,10000,32,0,506998
1,1024,10000,32,0,507043
1,1024,10000,32,0,507089
1,1024,10000,32,0,507135
1,1024,10000,32,0,507180
1,1024,10000,32,0,507226
1,1024,10000,32,0,507271
1,1024,10000,32,0,600947
1,1024,10000,32,0,600974
1,1024,10000,32,0,601007
1,1024,10000,32,0,601038
1,1024,10000,32,0,601069
1,1024,10000,32,0,601097
1,1024,10000,32,0,601101
1,1024,10000,32,0,601132
1,1024,10000,32,0,601164
1,1024,10000,32,0,601464
1,1024,10000,32,0,601491
1,1024,10000,32,0,601525
1,1024,10000,32,0,601551
1,1024,10000,32,0,601581
1,1024,10000,32,0,601623
1,1024,10000,32,0,601671
1,1024,10000,32,0,601695
1,1024,10000,32,0,601723
1,1024,10000,32,0,602029
1,1024,10000,32,0,602053
1,1024,10000,32,0,602080
1,1024,10000,32,0,602111
1,1024,10000,32,0,602145
1,1024,10000,32,0,602181
1,1024,10000,32,0,602212
1,1024,10000,32,0,602243
1,1024,10000,32,0,602546
1,1024,10000,32,0,602575
1,1024,10000,32,0,602605
1,1024,10000,32,0,602636
1,1024,10000,32,0,602664
1,1024,10000,32,0,602693
1,1024,10000,32,0,602724
1,1024,10000,32,0,602752
1,1024,10000,32,0,603040
1,1024,10000,32,0,603079
1,1024,10000,32,0,603116
1,1024,10000,32,0,603147
1,1024,10000,32,0,603176
1,1024,10000,32,0,603205
1,1024,10000,32,0,603237
1,1024,10000,32,0,603265
1,1024,10000,32,0,603583
1,1024,10000,32,0,603611
1,1024,10000,32,0,603643
