getter,peers,micros,payload,rcv_flag,delay
1,1024,1,32,0,432662
1,1024,1,32,0,432679
1,1024,1,32,0,432682
1,1024,1,32,0,432684
1,1024,1,32,0,432687
1,1024,1,32,0,432689
1,1024,1,32,0,432692
1,1024,1,32,0,432694
1,1024,1,32,0,432697
1,1024,1,32,0,432699
1,1024,1,32,0,432702
1,1024,1,32,0,432704
1,1024,1,32,0,432706
1,1024,1,32,0,432708
1,1024,1,32,0,432711
1,1024,1,32,0,432714
1,1024,1,32,0,432716
1,1024,1,32,0,432718
1,1024,1,32,0,432721
1,1024,1,32,0,432723
1,1024,1,32,0,432740
1,1024,1,32,0,432742
1,1024,1,32,0,432745
1,1024,1,32,0,432747
1,1024,1,32,0,432749
1,1024,1,32,0,432752
1,1024,1,32,0,432754
1,1024,1,32,0,432756
1,1024,1,32,0,432759
1,1024,1,32,0,432761
1,1024,1,32,0,432764
1,1024,1,32,0,432766
1,1024,1,32,0,432768
1,1024,1,32,0,432770
1,1024,1,32,0,583051
1,1024,1,32,0,583065
1,1024,1,32,0,583153
1,1024,1,32,0,583159
1,1024,1,32,0,583216
1,1024,1,32,0,583251
1,1024,1,32,0,583288
1,1024,1,32,0,583319
1,1024,1,32,0,583355
1,1024,1,32,0,583680
1,1024,1,32,0,583686
1,1024,1,32,0,583750
1,1024,1,32,0,583783
1,1024,1,32,0,583822
1,1024,1,32,0,583852
1,1024,1,32,0,583883
1,1024,1,32,0,583910
1,1024,1,32,0,584303
1,1024,1,32,0,584332
1,1024,1,32,0,584361
1,1024,1,32,0,584388
1,1024,1,32,0,584420
1,1024,1,32,0,584458
1,1024,1,32,0,584486
1,1024,1,32,0,584512
1,1024,1,32,0,584840
1,1024,1,32,0,584867
1,1024,1,32,0,584894
1,1024,1,32,0,584921
1,1024,1,32,0,584949
1,1024,1,32,0,584976
1,1024,1,32,0,585004
1,1024,1,32,0,585035
1,1024,1,32,0,585354
1,1024,1,32,0,585381
1,1024,1,32,0,585410
1,1024,1,32,0,585437
1,1024,1,32,0,585464
1,1024,1,32,0,585492
1,1024,1,32,0,585519
1,1024,1,32,0,585548
1,1024,1,32,0,585575
1,1024,1,32,0,585880
1,1024,1,32,0,585907
1,1024,1,32,0,585934
1,1024,1,32,0,585966
1,1024,1,32,0,585990
1,1024,1,32,0,586019
1,1024,1,32,0,586046
1,1024,1,32,0,586076
1,1024,1,32,0,586104
1,1024,1,32,0,586395
1,1024,1,32,0,586423
1,1024,1,32,0,586452
1,1024,1,32,0,586480
1,1024,1,32,0,586508
1,1024,1,32,0,586535
1,1024,1,32,0,586563
1,1024,1,32,0,586591
1,1024,1,32,0,586872
1,1024,1,32,0,586901
1,1024,1,32,0,586928
1,1024,1,32,0,586958
1,1024,1,32,0,586986
1,1024,1,32,0,587013
1,1024,1,32,0,587041
1,1024,1,32,0,587069
1,1024,1,32,0,587350
1,1024,1,32,0,587380
1,1024,1,32,0,587405
1,1024,1,32,0,587433
1,1024,1,32,0,587460
1,1024,1,32,0,587488
1,1024,1,32,0,587516
1,1024,1,32,0,587559
1,1024,1,32,0,587587
1,1024,1,32,0,587864
1,1024,1,32,0,587892
1,1024,1,32,0,587944
1,1024,1,32,0,587971
1,1024,1,32,0,587999
1,1024,1,32,0,588027
1,1024,1,32,0,588055
1,1024,1,32,0,588082
1,1024,1,32,0,588434
1,1024,1,32,0,588462
1,1024,1,32,0,588490
1,1024,1,32,0,588518
1,1024,1,32,0,588545
1,1024,1,32,0,588573
1,1024,1,32,0,588601
1,1024,1,32,0,588630
1,1024,1,32,0,588920
1,1024,1,32,0,588947
1,1024,1,32,0,588974
1,1024,1,32,0,589002
1,1024,1,32,0,589029
1,1024,1,32,0,589070
1,1024,1,32,0,589098
1,1024,1,32,0,589126
1,1024,1,32,0,589412
1,1024,1,32,0,589439
1,1024,1,32,0,589466
1,1024,1,32,0,589493
1,1024,1,32,0,589524
1,1024,1,32,0,589552
1,1024,1,32,0,589580
1,1024,1,32,0,589594
1,1024,1,32,0,589620
1,1024,1,32,0,589934
1,1024,1,32,0,589950
1,1024,1,32,0,589988
1,1024,1,32,0,590013
1,1024,1,32,0,590043
1,1024,1,32,0,590070
1,1024,1,32,0,590091
1,1024,1,32,0,590135
1,1024,1,32,0,590255
1,1024,1,32,0,590264
1,1024,1,32,0,590310
1,1024,1,32,0,590386
1,1024,1,32,0,590406
1,1024,1,32,0,590695
1,1024,1,32,0,590712
1,1024,1,32,0,590762
1,1024,1,32,0,590776
1,1024,1,32,0,590793
1,1024,1,32,0,590851
1,1024,1,32,0,590866
1,1024,1,32,0,590877
1,1024,1,32,0,591187
1,1024,1,32,0,591225
1,1024,1,32,0,591227
1,1024,1,32,0,591240
1,1024,1,32,0,591299
1,1024,1,32,0,591334
1,1024,1,32,0,591336
1,1024,1,32,0,591349
1,1024,1,32,0,591676
1,1024,1,32,0,591691
1,1024,1,32,0,591742
1,1024,1,32,0,591762
1,1024,1,32,0,591765
1,1024,1,32,0,591811
