getter,peers,micros,payload,rcv_flag,delay
1,8,1000,32,0,1707
1,8,1000,32,0,1734
1,8,1000,32,0,1737
1,8,1000,32,0,1740
1,8,1000,32,0,389
1,8,1000,32,0,401
1,8,1000,32,0,1214
1,8,1000,32,0,1240
1,8,1000,32,0,1292
1,8,1000,32,0,1319
1,8,1000,32,0,1346
1,8,1000,32,0,2627
1,8,1000,32,0,2637
1,8,1000,32,0,2640
1,8,1000,32,0,2666
1,8,1000,32,0,2669
1,8,1000,32,0,2674
1,8,1000,32,0,2676
1,8,1000,32,0,2714
1,8,1000,32,0,484
1,8,1000,32,0,2593
1,8,1000,32,0,2599
1,8,1000,32,0,2633
1,8,1000,32,0,2638
1,8,1000,32,0,2640
1,8,1000,32,0,2645
1,8,1000,32,0,2677
1,8,1000,32,0,1170
1,8,1000,32,0,1180
1,8,1000,32,0,1183
1,8,1000,32,0,1207
1,8,1000,32,0,1237
1,8,1000,32,0,1267
1,8,1000,32,0,1322
1,8,1000,32,0,1356
1,8,1000,32,0,2426
1,8,1000,32,0,2436
1,8,1000,32,0,2439
1,8,1000,32,0,2452
1,8,1000,32,0,2455
1,8,1000,32,0,2457
1,8,1000,32,0,2460
1,8,1000,32,0,2468
1,8,1000,32,0,347
1,8,1000,32,0,2412
1,8,1000,32,0,2423
1,8,1000,32,0,2425
1,8,1000,32,0,2427
1,8,1000,32,0,2429
1,8,1000,32,0,2431
1,8,1000,32,0,2433
1,8,1000,32,0,2475
1,8,1000,32,0,2486
1,8,1000,32,0,2489
1,8,1000,32,0,2490
1,8,1000,32,0,2492
1,8,1000,32,0,2499
1,8,1000,32,0,2500
1,8,1000,32,0,2505
1,8,1000,32,0,479
1,8,1000,32,0,2531
1,8,1000,32,0,2556
1,8,1000,32,0,2559
1,8,1000,32,0,2578
1,8,1000,32,0,2587
1,8,1000,32,0,2590
1,8,1000,32,0,2597
1,8,1000,32,0,2529
1,8,1000,32,0,2550
1,8,1000,32,0,2552
1,8,1000,32,0,2570
1,8,1000,32,0,2573
1,8,1000,32,0,2575
1,8,1000,32,0,2585
1,8,1000,32,0,2599
1,8,1000,32,0,498
1,8,1000,32,0,2520
1,8,1000,32,0,2534
1,8,1000,32,0,2537
1,8,1000,32,0,2540
1,8,1000,32,0,2542
1,8,1000,32,0,2545
1,8,1000,32,0,2548
