getter,peers,micros,payload,rcv_flag,span
1,64,1000000,32,0,122
1,64,1000000,32,0,219
1,64,1000000,32,0,89
1,64,1000000,32,0,62
1,64,1000000,32,0,77
1,64,1000000,32,0,86
1,64,1000000,32,0,65
1,64,1000000,32,0,218
1,64,1000000,32,0,67
1,64,100000,32,0,81
1,64,100000,32,0,83
1,64,100000,32,0,642
1,64,100000,32,0,147
1,64,100000,32,0,86
1,64,100000,32,0,71
1,64,100000,32,0,254
1,64,100000,32,0,83
1,64,100000,32,0,284
1,64,100000,32,0,96
1,64,100000,32,0,83
1,64,100000,32,0,73
1,64,100000,32,0,506
1,64,100000,32,0,54
1,64,100000,32,0,58
1,64,100000,32,0,53
1,64,100000,32,0,212
1,64,100000,32,0,60
1,64,100000,32,0,66
1,64,100000,32,0,87
1,64,100000,32,0,266
1,64,100000,32,0,168
1,64,100000,32,0,416
1,64,100000,32,0,81
1,64,100000,32,0,66
1,64,100000,32,0,60
1,64,100000,32,0,61
1,64,100000,32,0,61
1,64,100000,32,0,87
1,64,100000,32,0,63
1,64,100000,32,0,729
1,64,100000,32,0,95
1,64,100000,32,0,52
1,64,100000,32,0,1152
1,64,100000,32,0,52
1,64,100000,32,0,73
1,64,100000,32,0,57
1,64,100000,32,0,53
1,64,100000,32,0,97
1,64,100000,32,0,76
1,64,100000,32,0,61
1,64,100000,32,0,72
1,64,100000,32,0,80
1,64,100000,32,0,90
1,64,100000,32,0,194
1,64,100000,32,0,58
1,64,100000,32,0,54
1,64,100000,32,0,448
1,64,100000,32,0,70
1,64,100000,32,0,99
1,64,100000,32,0,64
1,64,100000,32,0,142
1,64,100000,32,0,62
1,64,100000,32,0,58
1,64,100000,32,0,97
1,64,100000,32,0,838
1,64,100000,32,0,70
1,64,100000,32,0,52
1,64,100000,32,0,85
1,64,100000,32,0,60
1,64,100000,32,0,57
1,64,100000,32,0,66
1,64,100000,32,0,60
1,64,100000,32,0,52
1,64,100000,32,0,53
1,64,100000,32,0,53
1,64,100000,32,0,75
1,64,100000,32,0,71
1,64,100000,32,0,273
1,64,100000,32,0,57
1,64,100000,32,0,68
1,64,100000,32,0,59
1,64,100000,32,0,67
1,64,100000,32,0,325
1,64,100000,32,0,75
1,64,100000,32,0,65
1,64,100000,32,0,67
1,64,100000,32,0,56
1,64,100000,32,0,366
1,64,100000,32,0,54
1,64,100000,32,0,576
1,64,100000,32,0,124
1,64,100000,32,0,74
1,64,100000,32,0,85
1,64,100000,32,0,88
1,64,100000,32,0,813
1,64,100000,32,0,97
1,64,100000,32,0,77
1,64,100000,32,0,77
1,64,100000,32,0,113
1,64,100000,32,0,88
1,64,10000,32,0,7060
1,64,10000,32,0,947
1,64,10000,32,0,71
1,64,10000,32,0,69
1,64,10000,32,0,113
1,64,10000,32,0,92
1,64,10000,32,0,717
1,64,10000,32,0,82
1,64,10000,32,0,766
1,64,10000,32,0,71
1,64,10000,32,0,182
1,64,10000,32,0,108
1,64,10000,32,0,77
1,64,10000,32,0,768
1,64,10000,32,0,62
1,64,10000,32,0,124
1,64,10000,32,0,401
1,64,10000,32,0,118
1,64,10000,32,0,76
1,64,10000,32,0,80
1,64,10000,32,0,1330
1,64,10000,32,0,359
1,64,10000,32,0,929
1,64,10000,32,0,57
1,64,10000,32,0,723
1,64,10000,32,0,83
1,64,10000,32,0,75
1,64,10000,32,0,416
1,64,10000,32,0,207
1,64,10000,32,0,60
1,64,10000,32,0,55
1,64,10000,32,0,66
1,64,10000,32,0,91
1,64,10000,32,0,132
1,64,10000,32,0,915
1,64,10000,32,0,88
1,64,10000,32,0,89
1,64,10000,32,0,111
1,64,10000,32,0,107
1,64,10000,32,0,514
1,64,10000,32,0,458
1,64,10000,32,0,60
1,64,10000,32,0,66
1,64,10000,32,0,839
1,64,10000,32,0,547
1,64,10000,32,0,93
1,64,10000,32,0,96
1,64,10000,32,0,85
1,64,10000,32,0,77
1,64,10000,32,0,93
1,64,10000,32,0,255
1,64,10000,32,0,200
1,64,10000,32,0,177
1,64,10000,32,0,206
1,64,10000,32,0,82
1,64,10000,32,0,169
1,64,10000,32,0,82
1,64,10000,32,0,79
1,64,10000,32,0,597
1,64,10000,32,0,73
1,64,10000,32,0,80
1,64,10000,32,0,61
1,64,10000,32,0,66
1,64,10000,32,0,80
1,64,10000,32,0,62
1,64,10000,32,0,118
1,64,10000,32,0,179
1,64,10000,32,0,67
1,64,10000,32,0,69
1,64,10000,32,0,69
1,64,10000,32,0,106
1,64,10000,32,0,59
1,64,10000,32,0,68
1,64,10000,32,0,84
1,64,10000,32,0,67
1,64,10000,32,0,62
1,64,10000,32,0,62
1,64,10000,32,0,58
1,64,10000,32,0,196
1,64,10000,32,0,249
1,64,10000,32,0,113
1,64,10000,32,0,83
1,64,10000,32,0,59
1,64,10000,32,0,66
1,64,10000,32,0,101
1,64,10000,32,0,278
1,64,10000,32,0,65
