getter,peers,micros,payload,rcv_flag,delay
1,1024,10000,32,0,549745
1,1024,10000,32,0,549763
1,1024,10000,32,0,549766
1,1024,10000,32,0,549769
1,1024,10000,32,0,549771
1,1024,10000,32,0,549773
1,1024,10000,32,0,549775
1,1024,10000,32,0,549777
1,1024,10000,32,0,549780
1,1024,10000,32,0,549782
1,1024,10000,32,0,549784
1,1024,10000,32,0,549787
1,1024,10000,32,0,549793
1,1024,10000,32,0,549795
1,1024,10000,32,0,549798
1,1024,10000,32,0,549800
1,1024,10000,32,0,549803
1,1024,10000,32,0,549805
1,1024,10000,32,0,549807
1,1024,10000,32,0,549809
1,1024,10000,32,0,549811
1,1024,10000,32,0,549814
1,1024,10000,32,0,549816
1,1024,10000,32,0,549818
1,1024,10000,32,0,549820
1,1024,10000,32,0,549823
1,1024,10000,32,0,549825
1,1024,10000,32,0,549827
1,1024,10000,32,0,549829
1,1024,10000,32,0,549831
1,1024,10000,32,0,549834
1,1024,10000,32,0,549836
1,1024,10000,32,0,549838
1,1024,10000,32,0,549840
1,1024,10000,32,0,549843
1,1024,10000,32,0,549845
1,1024,10000,32,0,549847
1,1024,10000,32,0,549849
1,1024,10000,32,0,549851
1,1024,10000,32,0,549854
1,1024,10000,32,0,549856
1,1024,10000,32,0,549858
1,1024,10000,32,0,549860
1,1024,10000,32,0,549865
1,1024,10000,32,0,549867
1,1024,10000,32,0,549869
1,1024,10000,32,0,549871
1,1024,10000,32,0,549873
1,1024,10000,32,0,549875
1,1024,10000,32,0,549878
1,1024,10000,32,0,549880
1,1024,10000,32,0,549882
1,1024,10000,32,0,549884
1,1024,10000,32,0,549886
1,1024,10000,32,0,549889
1,1024,10000,32,0,549891
1,1024,10000,32,0,549893
1,1024,10000,32,0,549895
1,1024,10000,32,0,549897
1,1024,10000,32,0,549899
1,1024,10000,32,0,549902
1,1024,10000,32,0,549904
1,1024,10000,32,0,549906
1,1024,10000,32,0,549908
1,1024,10000,32,0,549910
1,1024,10000,32,0,549912
1,1024,10000,32,0,549915
1,1024,10000,32,0,549917
1,1024,10000,32,0,549919
1,1024,10000,32,0,549921
1,1024,10000,32,0,549923
1,1024,10000,32,0,549926
1,1024,10000,32,0,549928
1,1024,10000,32,0,549930
1,1024,10000,32,0,549933
1,1024,10000,32,0,549935
1,1024,10000,32,0,549938
1,1024,10000,32,0,549940
1,1024,10000,32,0,549942
1,1024,10000,32,0,549944
1,1024,10000,32,0,549946
1,1024,10000,32,0,549949
1,1024,10000,32,0,549951
1,1024,10000,32,0,549953
1,1024,10000,32,0,549955
1,1024,10000,32,0,549957
1,1024,10000,32,0,549959
1,1024,10000,32,0,549962
1,1024,10000,32,0,549964
1,1024,10000,32,0,549966
1,1024,10000,32,0,549968
1,1024,10000,32,0,549970
1,1024,10000,32,0,549972
1,1024,10000,32,0,549975
1,1024,10000,32,0,549977
1,1024,10000,32,0,549980
1,1024,10000,32,0,549982
1,1024,10000,32,0,549984
1,1024,10000,32,0,549986
1,1024,10000,32,0,549988
1,1024,10000,32,0,549991
1,1024,10000,32,0,549993
1,1024,10000,32,0,549995
1,1024,10000,32,0,549997
1,1024,10000,32,0,549999
1,1024,10000,32,0,550002
1,1024,10000,32,0,550004
1,1024,10000,32,0,550006
1,1024,10000,32,0,550009
1,1024,10000,32,0,550012
1,1024,10000,32,0,550015
1,1024,10000,32,0,550017
1,1024,10000,32,0,550019
1,1024,10000,32,0,550021
1,1024,10000,32,0,550023
1,1024,10000,32,0,550026
1,1024,10000,32,0,550028
1,1024,10000,32,0,550030
1,1024,10000,32,0,550032
1,1024,10000,32,0,550034
1,1024,10000,32,0,550037
1,1024,10000,32,0,550039
1,1024,10000,32,0,550041
1,1024,10000,32,0,550043
1,1024,10000,32,0,550045
1,1024,10000,32,0,550047
1,1024,10000,32,0,550050
1,1024,10000,32,0,550052
1,1024,10000,32,0,550054
1,1024,10000,32,0,550056
1,1024,10000,32,0,550059
1,1024,10000,32,0,550061
1,1024,10000,32,0,550063
1,1024,10000,32,0,550065
1,1024,10000,32,0,550068
1,1024,10000,32,0,550070
1,1024,10000,32,0,550072
1,1024,10000,32,0,550074
1,1024,10000,32,0,550076
1,1024,10000,32,0,550078
1,1024,10000,32,0,550080
1,1024,10000,32,0,550083
1,1024,10000,32,0,550085
1,1024,10000,32,0,550087
1,1024,10000,32,0,550089
1,1024,10000,32,0,550091
1,1024,10000,32,0,550093
1,1024,10000,32,0,550095
1,1024,10000,32,0,550098
1,1024,10000,32,0,550100
1,1024,10000,32,0,550102
1,1024,10000,32,0,550104
1,1024,10000,32,0,550106
1,1024,10000,32,0,550109
1,1024,10000,32,0,550113
1,1024,10000,32,0,550115
1,1024,10000,32,0,550118
1,1024,10000,32,0,550120
1,1024,10000,32,0,550124
1,1024,10000,32,0,550126
1,1024,10000,32,0,550129
1,1024,10000,32,0,550131
1,1024,10000,32,0,550133
1,1024,10000,32,0,550147
1,1024,10000,32,0,550149
1,1024,10000,32,0,550152
1,1024,10000,32,0,550154
1,1024,10000,32,0,550157
1,1024,10000,32,0,550160
1,1024,10000,32,0,550162
1,1024,10000,32,0,550165
1,1024,10000,32,0,550167
1,1024,10000,32,0,550170
1,1024,10000,32,0,550172
1,1024,10000,32,0,550174
1,1024,10000,32,0,550177
1,1024,10000,32,0,550179
1,1024,10000,32,0,550182
1,1024,10000,32,0,550184
1,1024,10000,32,0,550186
1,1024,10000,32,0,550189
1,1024,10000,32,0,550191
1,1024,10000,32,0,550193
1,1024,10000,32,0,550196
1,1024,10000,32,0,550198
1,1024,10000,32,0,550201
1,1024,10000,32,0,550203
1,1024,10000,32,0,550205
1,1024,10000,32,0,550208
1,1024,10000,32,0,550210
1,1024,10000,32,0,550212
1,1024,10000,32,0,550215
1,1024,10000,32,0,550254
1,1024,10000,32,0,550258
1,1024,10000,32,0,550260
1,1024,10000,32,0,550262
1,1024,10000,32,0,550264
1,1024,10000,32,0,550267
1,1024,10000,32,0,550269
1,1024,10000,32,0,550271
1,1024,10000,32,0,550273
1,1024,10000,32,0,550275
1,1024,10000,32,0,550278
1,1024,10000,32,0,550280
1,1024,10000,32,0,550283
1,1024,10000,32,0,550285
