getter,peers,micros,payload,rcv_flag,delay
1,32,1000,32,0,1092
1,32,1000,32,0,1121
1,32,1000,32,0,1124
1,32,1000,32,0,1126
1,32,1000,32,0,1127
1,32,1000,32,0,1134
1,32,1000,32,0,1294
1,32,1000,32,0,1305
1,32,1000,32,0,1309
1,32,1000,32,0,1312
1,32,1000,32,0,1314
1,32,1000,32,0,1316
1,32,1000,32,0,1318
1,32,1000,32,0,1319
1,32,1000,32,0,1321
1,32,1000,32,0,1361
1,32,1000,32,0,495
1,32,1000,32,0,509
1,32,1000,32,0,512
1,32,1000,32,0,515
1,32,1000,32,0,517
1,32,1000,32,0,520
1,32,1000,32,0,522
1,32,1000,32,0,525
1,32,1000,32,0,528
1,32,1000,32,0,825
1,32,1000,32,0,874
1,32,1000,32,0,1009
1,32,1000,32,0,1026
1,32,1000,32,0,1072
1,32,1000,32,0,1081
1,32,1000,32,0,1084
1,32,1000,32,0,1127
1,32,1000,32,0,1137
1,32,1000,32,0,1645
1,32,1000,32,0,1652
1,32,1000,32,0,1655
1,32,1000,32,0,1657
1,32,1000,32,0,1659
1,32,1000,32,0,1998
1,32,1000,32,0,871
1,32,1000,32,0,888
1,32,1000,32,0,892
1,32,1000,32,0,895
1,32,1000,32,0,898
1,32,1000,32,0,900
1,32,1000,32,0,903
1,32,1000,32,0,905
1,32,1000,32,0,908
1,32,1000,32,0,911
1,32,1000,32,0,913
1,32,1000,32,0,917
1,32,1000,32,0,919
1,32,1000,32,0,922
1,32,1000,32,0,1163
1,32,1000,32,0,1181
1,32,1000,32,0,1184
1,32,1000,32,0,1627
1,32,1000,32,0,997
1,32,1000,32,0,1019
1,32,1000,32,0,1021
1,32,1000,32,0,1024
1,32,1000,32,0,1026
1,32,1000,32,0,1028
1,32,1000,32,0,1029
1,32,1000,32,0,1031
1,32,1000,32,0,1032
1,32,1000,32,0,1034
1,32,1000,32,0,1036
1,32,1000,32,0,1037
1,32,1000,32,0,1039
1,32,1000,32,0,1040
1,32,1000,32,0,1042
1,32,1000,32,0,1043
1,32,1000,32,0,1045
1,32,1000,32,0,1047
1,32,1000,32,0,1048
1,32,1000,32,0,1050
1,32,1000,32,0,1051
1,32,1000,32,0,1053
1,32,1000,32,0,1054
1,32,1000,32,0,1056
1,32,1000,32,0,1057
1,32,1000,32,0,1097
1,32,1000,32,0,1111
1,32,1000,32,0,1114
1,32,1000,32,0,1118
1,32,1000,32,0,1120
1,32,1000,32,0,1122
1,32,1000,32,0,1199
1,32,1000,32,0,1205
1,32,1000,32,0,1207
1,32,1000,32,0,1226
1,32,1000,32,0,1229
1,32,1000,32,0,1230
1,32,1000,32,0,1232
1,32,1000,32,0,1234
1,32,1000,32,0,1236
1,32,1000,32,0,1237
1,32,1000,32,0,1239
1,32,1000,32,0,1240
1,32,1000,32,0,1242
1,32,1000,32,0,1243
1,32,1000,32,0,1245
1,32,1000,32,0,1247
1,32,1000,32,0,1248
1,32,1000,32,0,1250
1,32,1000,32,0,1452
1,32,1000,32,0,1509
1,32,1000,32,0,882
1,32,1000,32,0,897
1,32,1000,32,0,902
1,32,1000,32,0,905
1,32,1000,32,0,907
1,32,1000,32,0,910
1,32,1000,32,0,912
1,32,1000,32,0,1009
1,32,1000,32,0,1016
1,32,1000,32,0,1018
1,32,1000,32,0,1019
1,32,1000,32,0,1021
1,32,1000,32,0,1023
1,32,1000,32,0,1025
1,32,1000,32,0,1026
1,32,1000,32,0,1029
1,32,1000,32,0,1031
1,32,1000,32,0,1033
1,32,1000,32,0,1035
1,32,1000,32,0,1036
1,32,1000,32,0,1038
1,32,1000,32,0,1041
1,32,1000,32,0,1044
1,32,1000,32,0,1047
1,32,1000,32,0,1049
1,32,1000,32,0,1055
1,32,1000,32,0,1066
1,32,1000,32,0,1077
1,32,1000,32,0,984
1,32,1000,32,0,1000
1,32,1000,32,0,1006
1,32,1000,32,0,1009
1,32,1000,32,0,1011
1,32,1000,32,0,1014
1,32,1000,32,0,1016
1,32,1000,32,0,1018
1,32,1000,32,0,1021
1,32,1000,32,0,1023
1,32,1000,32,0,1026
1,32,1000,32,0,1028
1,32,1000,32,0,1030
1,32,1000,32,0,1033
1,32,1000,32,0,1035
1,32,1000,32,0,1144
1,32,1000,32,0,1155
1,32,1000,32,0,1158
1,32,1000,32,0,1161
1,32,1000,32,0,1163
1,32,1000,32,0,1164
1,32,1000,32,0,1166
1,32,1000,32,0,1167
1,32,1000,32,0,1169
1,32,1000,32,0,1170
1,32,1000,32,0,1172
1,32,1000,32,0,1173
1,32,1000,32,0,1175
1,32,1000,32,0,1260
1,32,1000,32,0,1201
1,32,1000,32,0,1221
1,32,1000,32,0,1224
1,32,1000,32,0,1226
1,32,1000,32,0,1229
1,32,1000,32,0,1231
1,32,1000,32,0,1233
1,32,1000,32,0,1234
1,32,1000,32,0,1236
1,32,1000,32,0,1238
1,32,1000,32,0,1240
1,32,1000,32,0,1241
1,32,1000,32,0,1243
1,32,1000,32,0,1244
1,32,1000,32,0,1246
1,32,1000,32,0,1249
1,32,1000,32,0,1251
1,32,1000,32,0,1253
1,32,1000,32,0,1255
1,32,1000,32,0,1257
1,32,1000,32,0,1258
1,32,1000,32,0,1260
1,32,1000,32,0,1261
1,32,1000,32,0,1263
1,32,1000,32,0,1268
1,32,1000,32,0,1270
1,32,1000,32,0,1271
1,32,1000,32,0,1273
1,32,1000,32,0,1275
1,32,1000,32,0,1276
1,32,1000,32,0,1365
1,32,1000,32,0,1100
1,32,1000,32,0,1120
1,32,1000,32,0,1124
1,32,1000,32,0,1127
1,32,1000,32,0,1129
1,32,1000,32,0,1130
1,32,1000,32,0,1132
1,32,1000,32,0,1133
1,32,1000,32,0,1145
1,32,1000,32,0,1147
1,32,1000,32,0,1148
1,32,1000,32,0,1150
1,32,1000,32,0,1151
1,32,1000,32,0,1153
1,32,1000,32,0,1156
1,32,1000,32,0,1158
1,32,1000,32,0,1159
1,32,1000,32,0,1161
1,32,1000,32,0,1162
1,32,1000,32,0,1164
1,32,1000,32,0,1166
1,32,1000,32,0,1168
1,32,1000,32,0,1170
1,32,1000,32,0,1171
1,32,1000,32,0,1173
1,32,1000,32,0,1176
1,32,1000,32,0,1178
1,32,1000,32,0,1180
1,32,1000,32,0,1200
1,32,1000,32,0,1206
1,32,1000,32,0,1209
1,32,1000,32,0,1301
1,32,1000,32,0,1216
1,32,1000,32,0,1227
1,32,1000,32,0,1229
1,32,1000,32,0,1232
1,32,1000,32,0,1234
1,32,1000,32,0,1237
1,32,1000,32,0,1239
1,32,1000,32,0,1241
1,32,1000,32,0,1243
1,32,1000,32,0,1246
1,32,1000,32,0,1248
1,32,1000,32,0,1250
1,32,1000,32,0,1253
1,32,1000,32,0,1255
1,32,1000,32,0,1257
1,32,1000,32,0,1260
1,32,1000,32,0,1262
1,32,1000,32,0,1265
1,32,1000,32,0,1267
1,32,1000,32,0,1269
1,32,1000,32,0,1272
1,32,1000,32,0,1274
1,32,1000,32,0,1276
1,32,1000,32,0,1283
1,32,1000,32,0,1286
1,32,1000,32,0,1288
1,32,1000,32,0,1291
1,32,1000,32,0,1294
1,32,1000,32,0,1296
1,32,1000,32,0,1299
1,32,1000,32,0,1301
1,32,1000,32,0,1303
1,32,1000,32,0,1202
1,32,1000,32,0,1212
1,32,1000,32,0,1215
1,32,1000,32,0,1217
1,32,1000,32,0,1219
1,32,1000,32,0,1222
1,32,1000,32,0,1224
1,32,1000,32,0,1226
1,32,1000,32,0,1229
1,32,1000,32,0,1231
1,32,1000,32,0,1233
1,32,1000,32,0,1236
1,32,1000,32,0,1238
1,32,1000,32,0,1240
1,32,1000,32,0,1243
1,32,1000,32,0,1245
1,32,1000,32,0,1247
1,32,1000,32,0,1249
1,32,1000,32,0,1252
1,32,1000,32,0,1254
1,32,1000,32,0,1259
1,32,1000,32,0,1261
1,32,1000,32,0,1264
1,32,1000,32,0,1273
1,32,1000,32,0,1276
1,32,1000,32,0,1279
1,32,1000,32,0,1281
1,32,1000,32,0,1283
1,32,1000,32,0,1287
1,32,1000,32,0,1289
1,32,1000,32,0,1291
1,32,1000,32,0,1294
1,32,1000,32,0,1123
1,32,1000,32,0,1134
1,32,1000,32,0,1137
1,32,1000,32,0,1140
1,32,1000,32,0,1142
