getter,peers,micros,payload,rcv_flag,delay
1,1,100000,32,0,778
1,1,100000,32,0,810
1,1,100000,32,0,814
1,1,100000,32,0,817
1,1,100000,32,0,819
1,1,100000,32,0,821
1,1,100000,32,0,823
1,1,100000,32,0,826
1,1,100000,32,0,828
1,1,100000,32,0,830
1,1,100000,32,0,833
1,1,100000,32,0,835
1,1,100000,32,0,837
1,1,100000,32,0,839
1,1,100000,32,0,841
1,1,100000,32,0,844
1,1,100000,32,0,846
1,1,100000,32,0,848
1,1,100000,32,0,850
1,1,100000,32,0,852
1,1,100000,32,0,854
1,1,100000,32,0,857
1,1,100000,32,0,859
1,1,100000,32,0,861
1,1,100000,32,0,863
1,1,100000,32,0,867
1,1,100000,32,0,869
1,1,100000,32,0,871
1,1,100000,32,0,873
1,1,100000,32,0,876
1,1,100000,32,0,878
1,1,100000,32,0,880
1,1,100000,32,0,882
1,1,100000,32,0,884
1,1,100000,32,0,887
1,1,100000,32,0,889
1,1,100000,32,0,891
1,1,100000,32,0,893
1,1,100000,32,0,896
1,1,100000,32,0,898
1,1,100000,32,0,900
1,1,100000,32,0,902
1,1,100000,32,0,904
1,1,100000,32,0,907
1,1,100000,32,0,909
1,1,100000,32,0,911
1,1,100000,32,0,913
1,1,100000,32,0,916
1,1,100000,32,0,918
1,1,100000,32,0,920
1,1,100000,32,0,922
1,1,100000,32,0,924
1,1,100000,32,0,926
1,1,100000,32,0,929
1,1,100000,32,0,931
1,1,100000,32,0,933
1,1,100000,32,0,935
1,1,100000,32,0,937
1,1,100000,32,0,940
1,1,100000,32,0,942
1,1,100000,32,0,944
1,1,100000,32,0,947
1,1,100000,32,0,949
1,1,100000,32,0,951
1,1,100000,32,0,953
1,1,100000,32,0,956
1,1,100000,32,0,959
1,1,100000,32,0,961
1,1,100000,32,0,963
1,1,100000,32,0,966
1,1,100000,32,0,968
1,1,100000,32,0,971
1,1,100000,32,0,973
1,1,100000,32,0,975
1,1,100000,32,0,978
1,1,100000,32,0,980
1,1,100000,32,0,982
1,1,100000,32,0,985
1,1,100000,32,0,987
1,1,100000,32,0,989
1,1,100000,32,0,992
