getter,peers,micros,payload,rcv_flag,span
1,1024,1000000,32,0,9547
1,1024,1000000,32,0,2391048
1,1024,1000000,32,0,115926
1,1024,1000000,32,0,710
1,1024,100000,32,0,1650
1,1024,100000,32,0,7611
1,1024,100000,32,0,13710
1,1024,100000,32,0,15880
1,1024,100000,32,0,8883
1,1024,100000,32,0,9768
1,1024,100000,32,0,10752
1,1024,100000,32,0,33360
1,1024,100000,32,0,66114
1,1024,100000,32,0,9479
1,1024,100000,32,0,29848
1,1024,100000,32,0,70342
1,1024,100000,32,0,26205
1,1024,10000,32,0,8568
1,1024,10000,32,0,44864
1,1024,10000,32,0,7649
1,1024,10000,32,0,24450
1,1024,10000,32,0,11128
1,1024,10000,32,0,8122
1,1024,10000,32,0,5705
1,1024,10000,32,0,139847
1,1024,10000,32,0,8233
1,1024,10000,32,0,1908
1,1024,10000,32,0,8983
1,1024,10000,32,0,31397
1,1024,10000,32,0,9825
1,1024,10000,32,0,17347
1,1024,10000,32,0,50408
1,1024,10000,32,0,5553
1,1024,1000,32,0,9350
1,1024,1000,32,0,13859
1,1024,1000,32,0,15511
1,1024,1000,32,0,82307
1,1024,1000,32,0,13184
1,1024,1000,32,0,10593
1,1024,1000,32,0,23222
1,1024,1000,32,0,88772
1,1024,1000,32,0,63723
1,1024,1000,32,0,6704
1,1024,1000,32,0,46962
1,1024,1000,32,0,18141
1,1024,1000,32,0,13575
1,1024,100,32,0,7681
1,1024,100,32,0,1049
1,1024,100,32,0,24965
1,1024,100,32,0,91674
1,1024,100,32,0,9003
1,1024,100,32,0,29703
1,1024,100,32,0,6231
1,1024,100,32,0,7003
1,1024,100,32,0,5867
1,1024,100,32,0,7103
1,1024,100,32,0,10077
1,1024,100,32,0,15258
1,1024,100,32,0,24443
1,1024,100,32,0,2920
1,1024,100,32,0,21979
1,1024,100,32,0,17901
1,1024,10,32,0,7208
1,1024,10,32,0,2145
1,1024,10,32,0,130661
1,1024,10,32,0,2443988
1,1024,10,32,0,9013
1,1024,10,32,0,13154
1,1024,10,32,0,6582
1,1024,10,32,0,9235
1,1024,10,32,0,8762
1,1024,10,32,0,15544
1,1024,1,32,0,95917
1,1024,1,32,0,27045
1,1024,1,32,0,25549
1,1024,1,32,0,8371
1,1024,1,32,0,21942
1,1024,1,32,0,2354627
1,1024,1,32,0,19584
1,1024,1,32,0,1795
1,1024,0,32,0,18798
1,1024,0,32,0,22267
1,1024,0,32,0,9438
1,1024,0,32,0,14016
1,1024,0,32,0,69597
1,1024,0,32,0,85573
1,1024,0,32,0,10822
1,1024,0,32,0,7115
1,1024,0,32,0,2173
1,1024,0,32,0,1650
1,1024,0,32,0,15633
1,1024,0,32,0,23693
1,1024,0,32,0,4089
1,1024,0,32,0,36080
1,1024,0,32,0,100376
1,1024,0,32,0,7372
