SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,3,2692,1310,1360
2,3,2071,1684,1248
2,4,4024,2663,654
2,4,2839,3224,524
2,3,2897,1760,1534
2,3,1878,1741,1449
2,4,4284,2377,604
2,4,3426,3781,844
2,2,2549,0,1011
2,2,1490,0,807
2,2,1718,0,1181
2,2,1451,0,1037
2,3,1724,1353,1238
2,3,1539,1496,1349
2,3,1718,1273,1323
2,3,1539,1238,1388
2,4,2935,2339,522
2,4,2730,2420,533
2,2,1513,0,958
2,2,1778,0,876
2,3,2074,2095,1310
2,3,1615,1435,1153
2,4,3365,3483,579
2,4,3862,2614,569
2,2,1824,0,1010
2,2,1787,0,1333
2,2,1764,0,760
2,2,1838,0,847
2,3,1729,1620,1321
2,3,1620,1449,1302
2,3,1649,1466,1097
2,3,1710,1444,1191
2,4,3283,2809,563
2,4,3888,3142,586
2,2,1703,0,818
2,2,1796,0,804
2,3,1875,1925,1798
2,3,1728,1920,1315
2,4,3431,2685,575
2,4,2783,3036,542
2,2,2061,0,1066
2,2,1541,0,1125
2,2,1658,0,793
2,2,1566,0,914
2,3,1814,1641,1072
2,3,1628,1450,1090
2,3,1527,1267,1091
2,3,1705,1465,1282
2,4,3230,2890,551
2,4,3332,2932,605
2,2,2015,0,929
2,2,1748,0,825
2,3,1761,1570,1312
2,3,1635,1654,1319
2,4,3537,3208,661
2,4,3418,2908,573
2,2,2319,0,1446
2,2,1709,0,862
2,2,1559,0,879
2,2,1460,0,837
2,3,1699,1462,1327
2,3,1646,1188,1344
2,3,1524,1189,1030
2,3,1548,1289,1362
2,4,2796,2506,539
2,4,2905,2684,601
2,2,1548,0,956
2,2,1652,0,780
2,3,1846,1587,1866
2,3,1544,1328,1250
2,4,3344,3012,573
2,4,3347,2514,615
2,2,1485,0,850
2,2,1679,0,921
2,2,1451,0,948
2,2,1736,0,1121
2,3,1842,1500,1141
2,3,1516,1344,1186
2,3,1590,1380,1385
2,3,1552,1341,1154
2,4,2609,2756,761
2,3,3440,1837,1922
2,3,1927,1733,1477
2,4,4120,2358,685
2,4,2744,3016,829
2,2,2689,0,1108
2,2,1694,0,888
2,2,1755,0,965
2,3,1443,1198,1107
2,3,1630,1188,1029
2,3,1488,1286,1070
2,4,2882,2298,561
2,4,2818,2325,559
2,2,1421,0,939
2,2,1447,0,946
2,3,2351,1666,1909
2,3,1627,1559,1480
2,4,2909,2481,662
2,4,2763,2346,780
2,2,1846,0,1130
2,2,1644,0,794
2,2,1497,0,814
2,3,1598,1270,1135
2,3,1873,1260,1203
2,3,1529,1246,1304
2,4,2781,4209,852
2,4,4083,3474,666
2,2,1724,0,957
2,2,1805,0,994
2,3,1764,1611,1507
2,3,1679,1412,1191
2,4,3462,3505,637
2,4,4289,2754,583
2,2,1624,0,808
2,2,1813,0,841
2,2,1541,0,763
2,3,1642,1524,1059
2,3,1628,1758,1075
2,3,1647,1463,1133
2,4,2919,2806,571
2,4,4735,3441,604
2,2,1804,0,792
2,2,1589,0,959
2,3,1845,1812,1315
2,3,1881,1560,1517
2,4,3771,2923,629
2,4,3951,3166,553
2,2,1634,0,1032
2,2,1587,0,751
2,2,1633,0,902
2,3,1640,1501,1268
2,3,1724,1399,1256
2,3,1778,1846,1095
2,4,3046,2682,566
2,4,3008,2827,571
2,2,1685,0,1045
2,2,1572,0,783
2,3,2546,1699,1356
2,3,1639,1620,1507
2,4,3254,3147,585
2,1,4,0,1265
2,1,3,0,844
2,4,3873,2821,562
2,1,2,0,803
2,1,2,0,892
2,2,1660,0,875
2,1,1,0,689
2,2,1971,0,984
2,1,3,0,980
2,2,1966,0,1186
2,3,1596,1225,1056
2,3,1452,1208,1055
2,3,1770,1421,1088
2,4,2688,2648,542
2,4,2636,2665,671
2,2,1477,0,859
2,2,1609,0,771
2,1,3,0,941
2,1,2,0,782
2,1,2,0,711
2,1,2,0,862
2,1,2,0,805
2,1,2,0,779
2,3,1925,1609,1380
2,3,1655,1463,1213
2,4,2849,2995,571
2,4,3414,2525,601
2,2,1663,0,905
2,2,1911,0,868
2,2,2163,0,893
2,1,2,0,822
2,3,1648,1364,1296
2,1,2,0,811
2,1,4,0,993
2,3,1483,1536,1176
2,1,2,0,786
2,1,2,0,1169
2,3,2041,1565,1241
2,1,2,0,825
2,4,2986,2470,594
2,4,2756,2724,659
2,2,1552,0,978
2,2,1463,0,1014
2,1,3,0,1045
2,1,3,0,978
2,1,2,0,997
2,1,2,0,760
2,1,2,0,723
2,1,2,0,1054
2,3,1605,1277,1461
2,3,1469,1294,1286
2,4,3168,2433,557
2,4,3259,2661,565
2,2,1561,0,1039
2,2,2118,0,1461
2,2,1669,0,804
2,3,1470,1218,1103
2,3,1835,1463,1498
2,3,1865,1462,1375
2,4,2771,2728,539
2,4,2717,3138,584
2,2,1445,0,1179
2,2,1597,0,827
2,1,3,0,995
2,1,2,0,1016
2,1,3,0,819
2,1,1,0,662
2,1,2,0,1001
2,1,2,0,955
2,3,1925,1411,1408
2,3,1467,1858,1105
2,1,3,0,1100
2,1,4,0,1088
2,4,3387,3456,575
2,1,2,0,803
2,1,2,0,847
2,4,3701,3651,855
2,1,4,0,1378
2,1,3,0,926
2,2,1699,0,1032
2,2,1465,0,759
2,2,1499,0,943
2,3,1400,1173,1245
2,3,1667,1146,1062
2,3,1541,1371,1338
2,4,3180,3178,579
2,4,2712,2961,568
2,2,1524,0,819
2,2,1685,0,1150
2,1,2,0,1191
2,1,2,0,875
2,1,2,0,869
2,1,2,0,1058
2,1,3,0,1038
2,1,2,0,732
2,3,1559,1351,1282
2,3,1608,1757,1229
2,4,2808,2827,570
2,4,3236,2471,585
2,2,2062,0,1548
2,1,4,0,1039
2,2,1929,0,826
2,1,3,0,823
2,1,4,0,930
2,2,1561,0,942
2,1,3,0,750
2,1,2,0,1157
2,3,1929,1740,1339
2,1,4,0,1186
2,3,1537,1370,1223
2,3,1470,1221,1358
2,4,3005,2400,554
2,4,2649,2409,546
2,2,1554,0,924
2,2,1616,0,839
2,1,1,0,700
2,1,3,0,873
2,1,2,0,982
2,1,1,0,685
2,1,1,0,645
2,1,2,0,685
2,3,1800,1540,1608
2,3,1451,1252,1304
2,4,3573,2921,548
2,4,2857,2223,564
2,2,1502,0,937
2,2,1727,0,1174
2,2,1421,0,771
2,3,1501,1364,1123
2,3,1461,1463,1244
2,3,1461,1300,1351
2,4,2792,2746,602
2,4,3076,3647,559
2,1,2,0,717
2,2,1845,0,1158
2,1,3,0,1313
2,2,1514,0,1261
2,1,3,0,790
2,1,2,0,873
2,1,2,0,919
2,1,3,0,1005
2,1,2,0,787
2,3,1939,1585,1939
2,1,3,0,1406
2,3,1642,1265,1302
2,1,3,0,849
2,1,4,0,1225
2,1,4,0,1084
2,4,3901,3657,843
2,1,2,0,822
2,4,3750,2829,818
2,2,1542,0,909
2,2,1462,0,814
2,2,1445,0,860
2,3,1612,1350,1229
2,3,1549,1197,1182
2,3,1643,1326,1352
2,4,3473,2774,600
2,4,2697,2455,572
2,2,1529,0,924
2,2,1782,0,948
2,1,2,0,737
2,1,2,0,997
2,1,2,0,1005
2,1,3,0,796
2,1,3,0,985
2,1,2,0,735
2,3,1814,1498,1325
2,3,1885,1345,1396
2,4,3301,2838,626
2,4,3299,2785,680
2,2,1616,0,894
2,2,1534,0,1036
2,1,2,0,764
2,2,1560,0,1000
2,1,2,0,734
2,1,3,0,1082
2,3,2233,1650,1376
2,1,3,0,811
2,1,4,0,946
2,3,1964,1500,1098
2,1,2,0,729
2,3,1682,1230,1187
2,4,3053,2548,641
2,4,2663,2315,536
2,2,1548,0,780
2,2,1834,0,786
2,1,2,0,1151
