SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2000,1,3,0,1037
2000,1,2,0,789
2000,1,3,0,929
2000,1,3,0,877
2000,1,2,0,713
2000,1,2,0,952
2000,3,538,387,1034
2000,3,626,439,1078
2000,4,910,703,499
2000,4,733,501,378
2000,2,666,0,942
2000,2,473,0,940
2000,2,493,0,789
2000,2,525,0,847
2000,3,620,462,843
2000,3,549,440,1179
2000,3,486,348,771
2000,3,558,463,793
2000,4,934,791,448
2000,4,851,761,524
2000,2,532,0,901
2000,2,447,0,847
2000,3,729,365,1115
2000,3,522,337,858
2000,4,1067,655,437
2000,4,1431,1152,549
2000,2,649,0,779
2000,2,571,0,1061
2000,2,637,0,815
2000,3,522,344,1092
2000,3,430,279,789
2000,3,618,400,890
2000,4,809,503,386
2000,4,892,522,415
2000,2,557,0,778
2000,2,484,0,837
2000,1,2,0,789
2000,1,2,0,870
2000,1,1,0,678
2000,1,3,0,864
2000,1,3,0,1140
2000,1,3,0,1015
2000,3,1043,521,1132
2000,3,817,355,995
2000,4,974,852,499
2000,4,886,583,433
2000,2,573,0,818
2000,2,519,0,872
2000,2,528,0,791
2000,2,497,0,741
2000,3,460,276,1003
2000,3,430,293,805
2000,3,451,355,823
2000,3,478,328,978
2000,4,884,519,386
2000,4,1685,545,451
2000,2,553,0,783
2000,2,589,0,808
2000,3,458,420,1135
2000,3,460,367,1209
2000,4,802,552,442
2000,4,1016,602,481
2000,2,494,0,883
2000,2,588,0,874
2000,2,492,0,924
2000,3,548,314,827
2000,3,570,434,1133
2000,3,447,290,957
2000,4,882,507,421
2000,4,876,573,400
2000,2,483,0,693
2000,2,489,0,840
2000,3,503,438,990
2000,3,462,301,789
2000,3,522,293,867
2000,3,942,402,1176
2000,4,810,631,480
2000,4,885,552,477
2000,2,480,0,900
2000,2,1379,0,1194
2000,3,598,351,809
2000,3,643,441,1169
2000,4,929,609,544
2000,4,770,517,368
2000,2,470,0,982
2000,2,479,0,1137
2000,2,621,0,946
2000,2,412,0,1008
2000,3,527,401,1010
2000,3,430,370,999
2000,3,519,447,923
2000,3,825,1228,1332
2000,4,870,601,431
2000,4,718,478,384
2000,2,607,0,729
2000,2,500,0,994
2000,3,615,430,1028
2000,3,629,470,1417
2000,4,908,645,416
2000,4,744,619,422
2000,2,505,0,891
2000,2,516,0,981
2000,2,482,0,809
2000,2,806,0,892
2000,1,2,0,699
2000,1,2,0,759
2000,1,2,0,740
2000,1,3,0,896
2000,3,746,707,847
2000,3,489,307,806
2000,3,559,305,1263
2000,4,895,602,512
2000,4,930,686,401
2000,2,483,0,909
2000,2,590,0,774
2000,3,441,398,863
2000,3,564,372,955
2000,4,918,843,521
2000,4,816,533,424
2000,2,411,0,1119
2000,2,464,0,662
2000,2,463,0,797
2000,3,486,392,1154
2000,3,530,355,979
2000,3,567,313,834
2000,4,866,501,389
2000,4,828,509,396
2000,2,517,0,854
2000,2,604,0,869
2000,3,669,333,1035
2000,3,451,299,1289
2000,4,840,607,429
2000,4,726,526,377
2000,2,495,0,1166
2000,2,584,0,1003
2000,2,460,0,752
2000,1,2,0,790
2000,1,2,0,809
2000,1,2,0,847
2000,1,3,0,807
2000,1,3,0,876
2000,1,3,0,887
2000,1,2,0,899
2000,1,2,0,657
2000,1,3,0,938
2000,1,2,0,795
2000,3,479,295,890
2000,3,535,439,1084
2000,4,1432,688,563
2000,4,1158,668,658
2000,2,470,0,1008
